profile,workload_name,algorithm,allocation_policy,memory_frames,process_id,trials,mean_ns,median_ns,std_ns,cv,min_ns,max_ns,range_ns
pressure_pinned,high_locality,FIFO,GlobalAllocation,105,0,8,182037.5,181600.0,2659.72,0.014611,178800.0,187000.0,8200.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,105,1,8,186775.0,184250.0,7283.2,0.038995,182400.0,204600.0,22200.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,131,0,8,203512.5,181700.0,61668.97,0.303023,179400.0,356100.0,176700.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,131,1,8,208425.0,184750.0,65865.42,0.316015,181500.0,371300.0,189800.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,157,0,8,229525.0,195650.0,65965.48,0.2874,180500.0,334700.0,154200.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,157,1,8,226750.0,185850.0,66397.1,0.292821,183700.0,357800.0,174100.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,196,0,8,196962.5,181950.0,44576.35,0.226319,179100.0,307200.0,128100.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,196,1,8,183600.0,183250.0,2651.15,0.01444,179500.0,188500.0,9000.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,241,0,8,209900.0,187750.0,69626.6,0.331713,179000.0,381900.0,202900.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,241,1,8,212512.5,185950.0,73421.92,0.345495,182400.0,393800.0,211400.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,241,2,8,217425.0,192650.0,72760.7,0.334647,184600.0,396800.0,212200.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,241,3,8,215887.5,188100.0,76405.77,0.353915,187000.0,404900.0,217900.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,301,0,8,182475.0,182700.0,1083.32,0.005937,180900.0,183600.0,2700.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,301,1,8,182525.0,182800.0,1827.37,0.010012,180000.0,185200.0,5200.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,301,2,8,186312.5,185750.0,2785.39,0.01495,183100.0,190900.0,7800.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,301,3,8,188850.0,188300.0,2127.37,0.011265,185800.0,192500.0,6700.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,361,0,8,224962.5,181600.0,86685.46,0.385333,179300.0,413600.0,234300.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,361,1,8,225650.0,185000.0,75424.61,0.334255,179100.0,359800.0,180700.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,361,2,8,226962.5,186200.0,77580.67,0.341822,182300.0,362900.0,180600.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,361,3,8,233250.0,190350.0,82727.0,0.354671,185600.0,390100.0,204500.0
pressure_pinned,high_locality,FIFO,GlobalAllocation,452,0,8,224937.5,184650.0,77432.66,0.344241,179100.0,352100.0,173000.0
