workload_label,workload_kind,trace_name,algorithm,allocation_policy,memory_frames,repetition_id,process_id,t_isolated_ms,t_shared_ms,slowdown,page_faults,replacements,disk_reads,disk_writes
high_locality,synthetic,,FIFO,GlobalAllocation,105,0,0,0.1827,0.5077,2.778872468527641,101,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,0,1,0.1845,0.6114,3.3138211382113822,102,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,1,0,0.1844,0.4796,2.6008676789587852,96,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,1,1,0.184,0.5868,3.1891304347826086,104,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,2,0,0.1788,0.4828,2.7002237136465324,103,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,2,1,0.1837,0.5832,3.174741426238432,106,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,3,0,0.1801,0.4815,2.673514714047751,93,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,3,1,0.2046,0.577,2.820136852394917,100,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,4,0,0.1811,0.4797,2.6488128106018776,89,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,4,1,0.1859,0.5989,3.221624529316837,117,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,5,0,0.1801,0.4792,2.6607440310938366,92,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,5,1,0.1824,0.5842,3.2028508771929824,96,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,6,0,0.187,0.4789,2.56096256684492,101,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,6,1,0.1854,0.5844,3.1521035598705502,99,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,7,0,0.1821,0.4835,2.6551345414607357,99,,,
high_locality,synthetic,,FIFO,GlobalAllocation,105,7,1,0.1837,0.5874,3.197604790419162,115,,,
high_locality,synthetic,,FIFO,LocalAllocation,105,0,0,0.1806,0.3578,1.9811738648947952,97,44,97,30
high_locality,synthetic,,FIFO,LocalAllocation,105,0,1,0.182,0.3678,2.020879120879121,104,52,104,38
high_locality,synthetic,,FIFO,LocalAllocation,105,1,0,0.1809,0.3524,1.9480375898286346,92,39,92,29
high_locality,synthetic,,FIFO,LocalAllocation,105,1,1,0.1823,0.3719,2.040043883708173,120,68,120,42
high_locality,synthetic,,FIFO,LocalAllocation,105,2,0,0.1797,0.3685,2.050639955481358,96,43,96,29
high_locality,synthetic,,FIFO,LocalAllocation,105,2,1,0.1849,0.3759,2.032990805840995,109,57,109,34
high_locality,synthetic,,FIFO,LocalAllocation,105,3,0,0.3189,0.728,2.2828472875509562,92,39,92,29
high_locality,synthetic,,FIFO,LocalAllocation,105,3,1,0.3748,0.7544,2.0128068303094984,101,49,101,32
high_locality,synthetic,,FIFO,LocalAllocation,105,4,0,0.1806,0.3807,2.10797342192691,87,34,87,26
high_locality,synthetic,,FIFO,LocalAllocation,105,4,1,0.1862,0.4225,2.26906552094522,142,90,142,63
high_locality,synthetic,,FIFO,LocalAllocation,105,5,0,0.1763,0.3469,1.9676687464549063,89,36,89,25
high_locality,synthetic,,FIFO,LocalAllocation,105,5,1,0.1796,0.3593,2.000556792873051,101,49,101,33
high_locality,synthetic,,FIFO,LocalAllocation,105,6,0,0.1834,0.3578,1.95092693565976,98,45,98,35
high_locality,synthetic,,FIFO,LocalAllocation,105,6,1,0.1851,0.3616,1.9535386277687736,102,50,102,38
high_locality,synthetic,,FIFO,LocalAllocation,105,7,0,0.1812,0.3487,1.92439293598234,94,41,94,29
high_locality,synthetic,,FIFO,LocalAllocation,105,7,1,0.1848,0.3783,2.0470779220779223,135,83,135,59
high_locality,synthetic,,LRU,GlobalAllocation,105,0,0,0.2978,0.6637,2.2286769644056412,78,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,0,1,0.304,0.8025,2.6398026315789473,83,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,1,0,0.3039,0.6592,2.1691345837446527,79,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,1,1,0.2993,0.8009,2.675910457734714,88,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,2,0,0.3016,0.6695,2.2198275862068964,84,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,2,1,0.3008,0.8117,2.698470744680851,89,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,3,0,0.2987,0.6696,2.2417140944091063,76,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,3,1,0.3005,0.8069,2.6851913477537437,80,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,4,0,0.2963,0.6517,2.1994600067499155,73,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,4,1,0.2993,0.8046,2.688272636151019,96,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,5,0,0.2957,0.6462,2.185322962461955,72,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,5,1,0.2995,0.7801,2.6046744574290486,84,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,6,0,0.2992,0.6395,2.1373663101604277,82,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,6,1,0.3007,0.7906,2.6291985367475887,81,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,7,0,0.299,0.6639,2.220401337792642,80,,,
high_locality,synthetic,,LRU,GlobalAllocation,105,7,1,0.298,0.7971,2.6748322147651007,93,,,
high_locality,synthetic,,LRU,LocalAllocation,105,0,0,0.2947,0.4956,1.6817102137767221,77,24,77,5
high_locality,synthetic,,LRU,LocalAllocation,105,0,1,0.2982,0.5001,1.6770623742454729,86,34,86,16
high_locality,synthetic,,LRU,LocalAllocation,105,1,0,0.3013,0.6104,2.025887819449054,78,25,78,9
high_locality,synthetic,,LRU,LocalAllocation,105,1,1,0.2985,0.6137,2.0559463986599664,90,38,90,10
high_locality,synthetic,,LRU,LocalAllocation,105,2,0,0.3001,4.5284,15.08963678773742,81,28,81,10
high_locality,synthetic,,LRU,LocalAllocation,105,2,1,0.3013,0.502,1.6661135081314304,93,41,93,11
high_locality,synthetic,,LRU,LocalAllocation,105,3,0,0.3005,0.4784,1.5920133111480865,74,21,74,8
high_locality,synthetic,,LRU,LocalAllocation,105,3,1,0.3035,0.4821,1.5884678747940693,81,29,81,11
high_locality,synthetic,,LRU,LocalAllocation,105,4,0,0.2973,0.4693,1.5785401950891356,69,16,69,8
high_locality,synthetic,,LRU,LocalAllocation,105,4,1,0.3038,0.4996,1.6445029624753127,110,58,110,26
high_locality,synthetic,,LRU,LocalAllocation,105,5,0,0.2982,0.488,1.636485580147552,70,17,70,5
high_locality,synthetic,,LRU,LocalAllocation,105,5,1,0.3028,0.5037,1.6634742404227212,87,35,87,15
high_locality,synthetic,,LRU,LocalAllocation,105,6,0,0.3757,0.4825,1.284269363854139,82,29,82,14
high_locality,synthetic,,LRU,LocalAllocation,105,6,1,0.3008,0.4888,1.625,81,29,81,14
high_locality,synthetic,,LRU,LocalAllocation,105,7,0,0.2993,0.4768,1.5930504510524557,80,27,80,7
high_locality,synthetic,,LRU,LocalAllocation,105,7,1,0.3089,0.4902,1.5869213337649726,97,45,97,20
high_locality,synthetic,,WSClock,GlobalAllocation,105,0,0,0.5426,1.326,2.443789163287873,80,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,0,1,0.597,1.5681,2.6266331658291455,85,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,1,0,0.2832,0.6156,2.1737288135593222,78,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,1,1,0.2693,0.7515,2.7905681396212403,88,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,2,0,0.2642,0.6091,2.305450416351249,82,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,2,1,0.2744,0.7729,2.816690962099125,95,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,3,0,0.5084,1.3095,2.5757277734067663,74,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,3,1,0.5755,1.5563,2.7042571676802782,80,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,4,0,0.2666,0.6206,2.3278319579894973,72,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,4,1,0.2788,0.8846,3.172883787661406,100,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,5,0,0.2682,0.6234,2.324384787472036,77,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,5,1,0.2682,0.7486,2.791200596569724,81,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,6,0,0.2689,0.5999,2.230940870211975,84,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,6,1,0.2663,0.731,2.7450244085617723,79,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,7,0,0.2648,0.6178,2.333081570996979,75,,,
high_locality,synthetic,,WSClock,GlobalAllocation,105,7,1,0.2735,0.7346,2.685923217550274,89,,,
high_locality,synthetic,,WSClock,LocalAllocation,105,0,0,0.2619,0.4438,1.6945399007254678,76,23,76,0
high_locality,synthetic,,WSClock,LocalAllocation,105,0,1,0.2846,0.5484,1.926914968376669,90,38,90,3
high_locality,synthetic,,WSClock,LocalAllocation,105,1,0,0.2619,0.4529,1.7292859870179458,74,21,74,0
high_locality,synthetic,,WSClock,LocalAllocation,105,1,1,0.2713,0.4709,1.7357169185403611,89,37,89,0
high_locality,synthetic,,WSClock,LocalAllocation,105,2,0,0.2651,0.4441,1.6752168992832894,79,26,79,0
high_locality,synthetic,,WSClock,LocalAllocation,105,2,1,0.2716,0.4633,1.7058173784977908,95,43,95,0
