mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
isolation,0,high_locality,FIFO,GlobalAllocation,105,0,182700,{'trace_kind': 'synthetic'},0.1827
isolation,1,high_locality,FIFO,GlobalAllocation,105,0,184500,{'trace_kind': 'synthetic'},0.1845
isolation,0,high_locality,FIFO,GlobalAllocation,105,1,184400,{'trace_kind': 'synthetic'},0.1844
isolation,1,high_locality,FIFO,GlobalAllocation,105,1,184000,{'trace_kind': 'synthetic'},0.184
isolation,0,high_locality,FIFO,GlobalAllocation,105,2,178800,{'trace_kind': 'synthetic'},0.1788
isolation,1,high_locality,FIFO,GlobalAllocation,105,2,183700,{'trace_kind': 'synthetic'},0.1837
isolation,0,high_locality,FIFO,GlobalAllocation,105,3,180100,{'trace_kind': 'synthetic'},0.1801
isolation,1,high_locality,FIFO,GlobalAllocation,105,3,204600,{'trace_kind': 'synthetic'},0.2046
isolation,0,high_locality,FIFO,GlobalAllocation,105,4,181100,{'trace_kind': 'synthetic'},0.1811
isolation,1,high_locality,FIFO,GlobalAllocation,105,4,185900,{'trace_kind': 'synthetic'},0.1859
isolation,0,high_locality,FIFO,GlobalAllocation,105,5,180100,{'trace_kind': 'synthetic'},0.1801
isolation,1,high_locality,FIFO,GlobalAllocation,105,5,182400,{'trace_kind': 'synthetic'},0.1824
isolation,0,high_locality,FIFO,GlobalAllocation,105,6,187000,{'trace_kind': 'synthetic'},0.187
isolation,1,high_locality,FIFO,GlobalAllocation,105,6,185400,{'trace_kind': 'synthetic'},0.1854
isolation,0,high_locality,FIFO,GlobalAllocation,105,7,182100,{'trace_kind': 'synthetic'},0.1821
isolation,1,high_locality,FIFO,GlobalAllocation,105,7,183700,{'trace_kind': 'synthetic'},0.1837
isolation,0,high_locality,FIFO,LocalAllocation,105,0,180600,{'trace_kind': 'synthetic'},0.1806
isolation,1,high_locality,FIFO,LocalAllocation,105,0,182000,{'trace_kind': 'synthetic'},0.182
isolation,0,high_locality,FIFO,LocalAllocation,105,1,180900,{'trace_kind': 'synthetic'},0.1809
isolation,1,high_locality,FIFO,LocalAllocation,105,1,182300,{'trace_kind': 'synthetic'},0.1823
isolation,0,high_locality,FIFO,LocalAllocation,105,2,179700,{'trace_kind': 'synthetic'},0.1797
isolation,1,high_locality,FIFO,LocalAllocation,105,2,184900,{'trace_kind': 'synthetic'},0.1849
isolation,0,high_locality,FIFO,LocalAllocation,105,3,318900,{'trace_kind': 'synthetic'},0.3189
isolation,1,high_locality,FIFO,LocalAllocation,105,3,374800,{'trace_kind': 'synthetic'},0.3748
isolation,0,high_locality,FIFO,LocalAllocation,105,4,180600,{'trace_kind': 'synthetic'},0.1806
isolation,1,high_locality,FIFO,LocalAllocation,105,4,186200,{'trace_kind': 'synthetic'},0.1862
isolation,0,high_locality,FIFO,LocalAllocation,105,5,176300,{'trace_kind': 'synthetic'},0.1763
isolation,1,high_locality,FIFO,LocalAllocation,105,5,179600,{'trace_kind': 'synthetic'},0.1796
isolation,0,high_locality,FIFO,LocalAllocation,105,6,183400,{'trace_kind': 'synthetic'},0.1834
isolation,1,high_locality,FIFO,LocalAllocation,105,6,185100,{'trace_kind': 'synthetic'},0.1851
isolation,0,high_locality,FIFO,LocalAllocation,105,7,181200,{'trace_kind': 'synthetic'},0.1812
isolation,1,high_locality,FIFO,LocalAllocation,105,7,184800,{'trace_kind': 'synthetic'},0.1848
isolation,0,high_locality,LRU,GlobalAllocation,105,0,297800,{'trace_kind': 'synthetic'},0.2978
isolation,1,high_locality,LRU,GlobalAllocation,105,0,304000,{'trace_kind': 'synthetic'},0.304
isolation,0,high_locality,LRU,GlobalAllocation,105,1,303900,{'trace_kind': 'synthetic'},0.3039
isolation,1,high_locality,LRU,GlobalAllocation,105,1,299300,{'trace_kind': 'synthetic'},0.2993
isolation,0,high_locality,LRU,GlobalAllocation,105,2,301600,{'trace_kind': 'synthetic'},0.3016
isolation,1,high_locality,LRU,GlobalAllocation,105,2,300800,{'trace_kind': 'synthetic'},0.3008
isolation,0,high_locality,LRU,GlobalAllocation,105,3,298700,{'trace_kind': 'synthetic'},0.2987
isolation,1,high_locality,LRU,GlobalAllocation,105,3,300500,{'trace_kind': 'synthetic'},0.3005
