mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared_total,,high_locality,FIFO,GlobalAllocation,105,0,1463000,{'interleave': 'random'},1.463
shared,0,high_locality,FIFO,GlobalAllocation,105,0,507700,{'interleave': 'random'},0.5077
shared,1,high_locality,FIFO,GlobalAllocation,105,0,611400,{'interleave': 'random'},0.6114
shared_total,,high_locality,FIFO,GlobalAllocation,105,1,1395500,{'interleave': 'random'},1.3955
shared,0,high_locality,FIFO,GlobalAllocation,105,1,479600,{'interleave': 'random'},0.4796
shared,1,high_locality,FIFO,GlobalAllocation,105,1,586800,{'interleave': 'random'},0.5868
shared_total,,high_locality,FIFO,GlobalAllocation,105,2,1384900,{'interleave': 'random'},1.3849
shared,0,high_locality,FIFO,GlobalAllocation,105,2,482800,{'interleave': 'random'},0.4828
shared,1,high_locality,FIFO,GlobalAllocation,105,2,583200,{'interleave': 'random'},0.5832
shared_total,,high_locality,FIFO,GlobalAllocation,105,3,1379500,{'interleave': 'random'},1.3795
shared,0,high_locality,FIFO,GlobalAllocation,105,3,481500,{'interleave': 'random'},0.4815
shared,1,high_locality,FIFO,GlobalAllocation,105,3,577000,{'interleave': 'random'},0.577
shared_total,,high_locality,FIFO,GlobalAllocation,105,4,1399000,{'interleave': 'random'},1.399
shared,0,high_locality,FIFO,GlobalAllocation,105,4,479700,{'interleave': 'random'},0.4797
shared,1,high_locality,FIFO,GlobalAllocation,105,4,598900,{'interleave': 'random'},0.5989
shared_total,,high_locality,FIFO,GlobalAllocation,105,5,1385200,{'interleave': 'random'},1.3852
shared,0,high_locality,FIFO,GlobalAllocation,105,5,479200,{'interleave': 'random'},0.4792
shared,1,high_locality,FIFO,GlobalAllocation,105,5,584200,{'interleave': 'random'},0.5842
shared_total,,high_locality,FIFO,GlobalAllocation,105,6,1384300,{'interleave': 'random'},1.3843
shared,0,high_locality,FIFO,GlobalAllocation,105,6,478900,{'interleave': 'random'},0.4789
shared,1,high_locality,FIFO,GlobalAllocation,105,6,584400,{'interleave': 'random'},0.5844
shared_total,,high_locality,FIFO,GlobalAllocation,105,7,1398600,{'interleave': 'random'},1.3986
shared,0,high_locality,FIFO,GlobalAllocation,105,7,483500,{'interleave': 'random'},0.4835
shared,1,high_locality,FIFO,GlobalAllocation,105,7,587400,{'interleave': 'random'},0.5874
shared_total,,high_locality,FIFO,LocalAllocation,105,0,1045400,{'interleave': 'random'},1.0454
shared,0,high_locality,FIFO,LocalAllocation,105,0,357800,{'interleave': 'random'},0.3578
shared,1,high_locality,FIFO,LocalAllocation,105,0,367800,{'interleave': 'random'},0.3678
shared_total,,high_locality,FIFO,LocalAllocation,105,1,1038800,{'interleave': 'random'},1.0388
shared,0,high_locality,FIFO,LocalAllocation,105,1,352400,{'interleave': 'random'},0.3524
shared,1,high_locality,FIFO,LocalAllocation,105,1,371900,{'interleave': 'random'},0.3719
shared_total,,high_locality,FIFO,LocalAllocation,105,2,1070200,{'interleave': 'random'},1.0702
shared,0,high_locality,FIFO,LocalAllocation,105,2,368500,{'interleave': 'random'},0.3685
shared,1,high_locality,FIFO,LocalAllocation,105,2,375900,{'interleave': 'random'},0.3759
shared_total,,high_locality,FIFO,LocalAllocation,105,3,2110800,{'interleave': 'random'},2.1108
shared,0,high_locality,FIFO,LocalAllocation,105,3,728000,{'interleave': 'random'},0.728
shared,1,high_locality,FIFO,LocalAllocation,105,3,754400,{'interleave': 'random'},0.7544
shared_total,,high_locality,FIFO,LocalAllocation,105,4,1138300,{'interleave': 'random'},1.1383
shared,0,high_locality,FIFO,LocalAllocation,105,4,380700,{'interleave': 'random'},0.3807
shared,1,high_locality,FIFO,LocalAllocation,105,4,422500,{'interleave': 'random'},0.4225
shared_total,,high_locality,FIFO,LocalAllocation,105,5,1019800,{'interleave': 'random'},1.0198
shared,0,high_locality,FIFO,LocalAllocation,105,5,346900,{'interleave': 'random'},0.3469
shared,1,high_locality,FIFO,LocalAllocation,105,5,359300,{'interleave': 'random'},0.3593
shared_total,,high_locality,FIFO,LocalAllocation,105,6,1038000,{'interleave': 'random'},1.038
shared,0,high_locality,FIFO,LocalAllocation,105,6,357800,{'interleave': 'random'},0.3578
shared,1,high_locality,FIFO,LocalAllocation,105,6,361600,{'interleave': 'random'},0.3616
shared_total,,high_locality,FIFO,LocalAllocation,105,7,1036000,{'interleave': 'random'},1.036
shared,0,high_locality,FIFO,LocalAllocation,105,7,348700,{'interleave': 'random'},0.3487
shared,1,high_locality,FIFO,LocalAllocation,105,7,378300,{'interleave': 'random'},0.3783
shared_total,,high_locality,LRU,GlobalAllocation,105,0,1798100,{'interleave': 'random'},1.7981
shared,0,high_locality,LRU,GlobalAllocation,105,0,663700,{'interleave': 'random'},0.6637
shared,1,high_locality,LRU,GlobalAllocation,105,0,802500,{'interleave': 'random'},0.8025
shared_total,,high_locality,LRU,GlobalAllocation,105,1,1792300,{'interleave': 'random'},1.7923
shared,0,high_locality,LRU,GlobalAllocation,105,1,659200,{'interleave': 'random'},0.6592
shared,1,high_locality,LRU,GlobalAllocation,105,1,800900,{'interleave': 'random'},0.8009
shared_total,,high_locality,LRU,GlobalAllocation,105,2,1813400,{'interleave': 'random'},1.8134
shared,0,high_locality,LRU,GlobalAllocation,105,2,669500,{'interleave': 'random'},0.6695
shared,1,high_locality,LRU,GlobalAllocation,105,2,811700,{'interleave': 'random'},0.8117
shared_total,,high_locality,LRU,GlobalAllocation,105,3,1822500,{'interleave': 'random'},1.8225
shared,0,high_locality,LRU,GlobalAllocation,105,3,669600,{'interleave': 'random'},0.6696
shared,1,high_locality,LRU,GlobalAllocation,105,3,806900,{'interleave': 'random'},0.8069
shared_total,,high_locality,LRU,GlobalAllocation,105,4,1788000,{'interleave': 'random'},1.788
shared,0,high_locality,LRU,GlobalAllocation,105,4,651700,{'interleave': 'random'},0.6517
shared,1,high_locality,LRU,GlobalAllocation,105,4,804600,{'interleave': 'random'},0.8046
shared_total,,high_locality,LRU,GlobalAllocation,105,5,1759800,{'interleave': 'random'},1.7598
shared,0,high_locality,LRU,GlobalAllocation,105,5,646200,{'interleave': 'random'},0.6462
shared,1,high_locality,LRU,GlobalAllocation,105,5,780100,{'interleave': 'random'},0.7801
shared_total,,high_locality,LRU,GlobalAllocation,105,6,1756900,{'interleave': 'random'},1.7569
shared,0,high_locality,LRU,GlobalAllocation,105,6,639500,{'interleave': 'random'},0.6395
shared,1,high_locality,LRU,GlobalAllocation,105,6,790600,{'interleave': 'random'},0.7906
shared_total,,high_locality,LRU,GlobalAllocation,105,7,1788000,{'interleave': 'random'},1.788
shared,0,high_locality,LRU,GlobalAllocation,105,7,663900,{'interleave': 'random'},0.6639
shared,1,high_locality,LRU,GlobalAllocation,105,7,797100,{'interleave': 'random'},0.7971
shared_total,,high_locality,LRU,LocalAllocation,105,0,1340100,{'interleave': 'random'},1.3401
shared,0,high_locality,LRU,LocalAllocation,105,0,495600,{'interleave': 'random'},0.4956
shared,1,high_locality,LRU,LocalAllocation,105,0,500100,{'interleave': 'random'},0.5001
shared_total,,high_locality,LRU,LocalAllocation,105,1,1638400,{'interleave': 'random'},1.6384
shared,0,high_locality,LRU,LocalAllocation,105,1,610400,{'interleave': 'random'},0.6104
shared,1,high_locality,LRU,LocalAllocation,105,1,613700,{'interleave': 'random'},0.6137
shared_total,,high_locality,LRU,LocalAllocation,105,2,5400300,{'interleave': 'random'},5.4003
shared,0,high_locality,LRU,LocalAllocation,105,2,4528400,{'interleave': 'random'},4.5284
shared,1,high_locality,LRU,LocalAllocation,105,2,502000,{'interleave': 'random'},0.502
shared_total,,high_locality,LRU,LocalAllocation,105,3,1303900,{'interleave': 'random'},1.3039
shared,0,high_locality,LRU,LocalAllocation,105,3,478400,{'interleave': 'random'},0.4784
shared,1,high_locality,LRU,LocalAllocation,105,3,482100,{'interleave': 'random'},0.4821
shared_total,,high_locality,LRU,LocalAllocation,105,4,1314600,{'interleave': 'random'},1.3146
shared,0,high_locality,LRU,LocalAllocation,105,4,469300,{'interleave': 'random'},0.4693
shared,1,high_locality,LRU,LocalAllocation,105,4,499600,{'interleave': 'random'},0.4996
shared_total,,high_locality,LRU,LocalAllocation,105,5,1332300,{'interleave': 'random'},1.3323
shared,0,high_locality,LRU,LocalAllocation,105,5,488000,{'interleave': 'random'},0.488
shared,1,high_locality,LRU,LocalAllocation,105,5,503700,{'interleave': 'random'},0.5037
shared_total,,high_locality,LRU,LocalAllocation,105,6,1318600,{'interleave': 'random'},1.3186
shared,0,high_locality,LRU,LocalAllocation,105,6,482500,{'interleave': 'random'},0.4825
shared,1,high_locality,LRU,LocalAllocation,105,6,488800,{'interleave': 'random'},0.4888
shared_total,,high_locality,LRU,LocalAllocation,105,7,1316900,{'interleave': 'random'},1.3169
shared,0,high_locality,LRU,LocalAllocation,105,7,476800,{'interleave': 'random'},0.4768
shared,1,high_locality,LRU,LocalAllocation,105,7,490200,{'interleave': 'random'},0.4902
shared_total,,high_locality,WSClock,GlobalAllocation,105,0,3576500,{'interleave': 'random'},3.5765
shared,0,high_locality,WSClock,GlobalAllocation,105,0,1326000,{'interleave': 'random'},1.326
shared,1,high_locality,WSClock,GlobalAllocation,105,0,1568100,{'interleave': 'random'},1.5681
shared_total,,high_locality,WSClock,GlobalAllocation,105,1,1695600,{'interleave': 'random'},1.6956
shared,0,high_locality,WSClock,GlobalAllocation,105,1,615600,{'interleave': 'random'},0.6156
shared,1,high_locality,WSClock,GlobalAllocation,105,1,751500,{'interleave': 'random'},0.7515
shared_total,,high_locality,WSClock,GlobalAllocation,105,2,1713000,{'interleave': 'random'},1.713
shared,0,high_locality,WSClock,GlobalAllocation,105,2,609100,{'interleave': 'random'},0.6091
shared,1,high_locality,WSClock,GlobalAllocation,105,2,772900,{'interleave': 'random'},0.7729
shared_total,,high_locality,WSClock,GlobalAllocation,105,3,3538900,{'interleave': 'random'},3.5389
shared,0,high_locality,WSClock,GlobalAllocation,105,3,1309500,{'interleave': 'random'},1.3095
shared,1,high_locality,WSClock,GlobalAllocation,105,3,1556300,{'interleave': 'random'},1.5563
shared_total,,high_locality,WSClock,GlobalAllocation,105,4,1841900,{'interleave': 'random'},1.8419
shared,0,high_locality,WSClock,GlobalAllocation,105,4,620600,{'interleave': 'random'},0.6206
shared,1,high_locality,WSClock,GlobalAllocation,105,4,884600,{'interleave': 'random'},0.8846
shared_total,,high_locality,WSClock,GlobalAllocation,105,5,1690500,{'interleave': 'random'},1.6905
shared,0,high_locality,WSClock,GlobalAllocation,105,5,623400,{'interleave': 'random'},0.6234
shared,1,high_locality,WSClock,GlobalAllocation,105,5,748600,{'interleave': 'random'},0.7486
shared_total,,high_locality,WSClock,GlobalAllocation,105,6,1652500,{'interleave': 'random'},1.6525
shared,0,high_locality,WSClock,GlobalAllocation,105,6,599900,{'interleave': 'random'},0.5999
shared,1,high_locality,WSClock,GlobalAllocation,105,6,731000,{'interleave': 'random'},0.731
shared_total,,high_locality,WSClock,GlobalAllocation,105,7,1674900,{'interleave': 'random'},1.6749
shared,0,high_locality,WSClock,GlobalAllocation,105,7,617800,{'interleave': 'random'},0.6178
shared,1,high_locality,WSClock,GlobalAllocation,105,7,734600,{'interleave': 'random'},0.7346
shared_total,,high_locality,WSClock,LocalAllocation,105,0,1323600,{'interleave': 'random'},1.3236
shared,0,high_locality,WSClock,LocalAllocation,105,0,443800,{'interleave': 'random'},0.4438
shared,1,high_locality,WSClock,LocalAllocation,105,0,548400,{'interleave': 'random'},0.5484
shared_total,,high_locality,WSClock,LocalAllocation,105,1,1246300,{'interleave': 'random'},1.2463
shared,0,high_locality,WSClock,LocalAllocation,105,1,452900,{'interleave': 'random'},0.4529
shared,1,high_locality,WSClock,LocalAllocation,105,1,470900,{'interleave': 'random'},0.4709
shared_total,,high_locality,WSClock,LocalAllocation,105,2,1240100,{'interleave': 'random'},1.2401
shared,0,high_locality,WSClock,LocalAllocation,105,2,444100,{'interleave': 'random'},0.4441
shared,1,high_locality,WSClock,LocalAllocation,105,2,463300,{'interleave': 'random'},0.4633
shared_total,,high_locality,WSClock,LocalAllocation,105,3,1214500,{'interleave': 'random'},1.2145
shared,0,high_locality,WSClock,LocalAllocation,105,3,442800,{'interleave': 'random'},0.4428
shared,1,high_locality,WSClock,LocalAllocation,105,3,445600,{'interleave': 'random'},0.4456
shared_total,,high_locality,WSClock,LocalAllocation,105,4,1429700,{'interleave': 'random'},1.4297
shared,0,high_locality,WSClock,LocalAllocation,105,4,438600,{'interleave': 'random'},0.4386
shared,1,high_locality,WSClock,LocalAllocation,105,4,654700,{'interleave': 'random'},0.6547
shared_total,,high_locality,WSClock,LocalAllocation,105,5,1238000,{'interleave': 'random'},1.238
shared,0,high_locality,WSClock,LocalAllocation,105,5,441800,{'interleave': 'random'},0.4418
shared,1,high_locality,WSClock,LocalAllocation,105,5,463700,{'interleave': 'random'},0.4637
shared_total,,high_locality,WSClock,LocalAllocation,105,6,1241400,{'interleave': 'random'},1.2414
shared,0,high_locality,WSClock,LocalAllocation,105,6,458700,{'interleave': 'random'},0.4587
shared,1,high_locality,WSClock,LocalAllocation,105,6,450000,{'interleave': 'random'},0.45
shared_total,,high_locality,WSClock,LocalAllocation,105,7,1351300,{'interleave': 'random'},1.3513
shared,0,high_locality,WSClock,LocalAllocation,105,7,439200,{'interleave': 'random'},0.4392
shared,1,high_locality,WSClock,LocalAllocation,105,7,581600,{'interleave': 'random'},0.5816
shared_total,,high_locality,FIFO,GlobalAllocation,131,0,1367000,{'interleave': 'random'},1.367
shared,0,high_locality,FIFO,GlobalAllocation,131,0,462300,{'interleave': 'random'},0.4623
shared,1,high_locality,FIFO,GlobalAllocation,131,0,581700,{'interleave': 'random'},0.5817
shared_total,,high_locality,FIFO,GlobalAllocation,131,1,1360000,{'interleave': 'random'},1.36
shared,0,high_locality,FIFO,GlobalAllocation,131,1,468900,{'interleave': 'random'},0.4689
shared,1,high_locality,FIFO,GlobalAllocation,131,1,572700,{'interleave': 'random'},0.5727
shared_total,,high_locality,FIFO,GlobalAllocation,131,2,1377500,{'interleave': 'random'},1.3775
shared,0,high_locality,FIFO,GlobalAllocation,131,2,465000,{'interleave': 'random'},0.465
shared,1,high_locality,FIFO,GlobalAllocation,131,2,590700,{'interleave': 'random'},0.5907
shared_total,,high_locality,FIFO,GlobalAllocation,131,3,2865400,{'interleave': 'random'},2.8654
shared,0,high_locality,FIFO,GlobalAllocation,131,3,998100,{'interleave': 'random'},0.9981
shared,1,high_locality,FIFO,GlobalAllocation,131,3,1198000,{'interleave': 'random'},1.198
shared_total,,high_locality,FIFO,GlobalAllocation,131,4,1364800,{'interleave': 'random'},1.3648
shared,0,high_locality,FIFO,GlobalAllocation,131,4,468200,{'interleave': 'random'},0.4682
shared,1,high_locality,FIFO,GlobalAllocation,131,4,573400,{'interleave': 'random'},0.5734
shared_total,,high_locality,FIFO,GlobalAllocation,131,5,1345300,{'interleave': 'random'},1.3453
shared,0,high_locality,FIFO,GlobalAllocation,131,5,461300,{'interleave': 'random'},0.4613
shared,1,high_locality,FIFO,GlobalAllocation,131,5,564800,{'interleave': 'random'},0.5648
shared_total,,high_locality,FIFO,GlobalAllocation,131,6,1365100,{'interleave': 'random'},1.3651
shared,0,high_locality,FIFO,GlobalAllocation,131,6,467900,{'interleave': 'random'},0.4679
shared,1,high_locality,FIFO,GlobalAllocation,131,6,572000,{'interleave': 'random'},0.572
shared_total,,high_locality,FIFO,GlobalAllocation,131,7,1367500,{'interleave': 'random'},1.3675
shared,0,high_locality,FIFO,GlobalAllocation,131,7,464400,{'interleave': 'random'},0.4644
shared,1,high_locality,FIFO,GlobalAllocation,131,7,574900,{'interleave': 'random'},0.5749
shared_total,,high_locality,FIFO,LocalAllocation,131,0,1009800,{'interleave': 'random'},1.0098
shared,0,high_locality,FIFO,LocalAllocation,131,0,341400,{'interleave': 'random'},0.3414
shared,1,high_locality,FIFO,LocalAllocation,131,0,350000,{'interleave': 'random'},0.35
shared_total,,high_locality,FIFO,LocalAllocation,131,1,990200,{'interleave': 'random'},0.9902
shared,0,high_locality,FIFO,LocalAllocation,131,1,330600,{'interleave': 'random'},0.3306
shared,1,high_locality,FIFO,LocalAllocation,131,1,355300,{'interleave': 'random'},0.3553
shared_total,,high_locality,FIFO,LocalAllocation,131,2,994000,{'interleave': 'random'},0.994
shared,0,high_locality,FIFO,LocalAllocation,131,2,334200,{'interleave': 'random'},0.3342
shared,1,high_locality,FIFO,LocalAllocation,131,2,353500,{'interleave': 'random'},0.3535
shared_total,,high_locality,FIFO,LocalAllocation,131,3,980400,{'interleave': 'random'},0.9804
shared,0,high_locality,FIFO,LocalAllocation,131,3,328000,{'interleave': 'random'},0.328
shared,1,high_locality,FIFO,LocalAllocation,131,3,345300,{'interleave': 'random'},0.3453
shared_total,,high_locality,FIFO,LocalAllocation,131,4,999900,{'interleave': 'random'},0.9999
shared,0,high_locality,FIFO,LocalAllocation,131,4,329900,{'interleave': 'random'},0.3299
shared,1,high_locality,FIFO,LocalAllocation,131,4,359200,{'interleave': 'random'},0.3592
shared_total,,high_locality,FIFO,LocalAllocation,131,5,998400,{'interleave': 'random'},0.9984
shared,0,high_locality,FIFO,LocalAllocation,131,5,331700,{'interleave': 'random'},0.3317
shared,1,high_locality,FIFO,LocalAllocation,131,5,350000,{'interleave': 'random'},0.35
shared_total,,high_locality,FIFO,LocalAllocation,131,6,1012900,{'interleave': 'random'},1.0129
shared,0,high_locality,FIFO,LocalAllocation,131,6,350000,{'interleave': 'random'},0.35
shared,1,high_locality,FIFO,LocalAllocation,131,6,353500,{'interleave': 'random'},0.3535
shared_total,,high_locality,FIFO,LocalAllocation,131,7,1009800,{'interleave': 'random'},1.0098
shared,0,high_locality,FIFO,LocalAllocation,131,7,338800,{'interleave': 'random'},0.3388
shared,1,high_locality,FIFO,LocalAllocation,131,7,359900,{'interleave': 'random'},0.3599
shared_total,,high_locality,LRU,GlobalAllocation,131,0,2068500,{'interleave': 'random'},2.0685
shared,0,high_locality,LRU,GlobalAllocation,131,0,758100,{'interleave': 'random'},0.7581
shared,1,high_locality,LRU,GlobalAllocation,131,0,911000,{'interleave': 'random'},0.911
shared_total,,high_locality,LRU,GlobalAllocation,131,1,1743100,{'interleave': 'random'},1.7431
shared,0,high_locality,LRU,GlobalAllocation,131,1,649200,{'interleave': 'random'},0.6492
shared,1,high_locality,LRU,GlobalAllocation,131,1,767900,{'interleave': 'random'},0.7679
shared_total,,high_locality,LRU,GlobalAllocation,131,2,1741200,{'interleave': 'random'},1.7412
shared,0,high_locality,LRU,GlobalAllocation,131,2,642700,{'interleave': 'random'},0.6427
shared,1,high_locality,LRU,GlobalAllocation,131,2,772100,{'interleave': 'random'},0.7721
shared_total,,high_locality,LRU,GlobalAllocation,131,3,1725700,{'interleave': 'random'},1.7257
shared,0,high_locality,LRU,GlobalAllocation,131,3,633000,{'interleave': 'random'},0.633
shared,1,high_locality,LRU,GlobalAllocation,131,3,758100,{'interleave': 'random'},0.7581
shared_total,,high_locality,LRU,GlobalAllocation,131,4,1720100,{'interleave': 'random'},1.7201
shared,0,high_locality,LRU,GlobalAllocation,131,4,630100,{'interleave': 'random'},0.6301
shared,1,high_locality,LRU,GlobalAllocation,131,4,761100,{'interleave': 'random'},0.7611
shared_total,,high_locality,LRU,GlobalAllocation,131,5,1750200,{'interleave': 'random'},1.7502
shared,0,high_locality,LRU,GlobalAllocation,131,5,644200,{'interleave': 'random'},0.6442
shared,1,high_locality,LRU,GlobalAllocation,131,5,761600,{'interleave': 'random'},0.7616
shared_total,,high_locality,LRU,GlobalAllocation,131,6,1721000,{'interleave': 'random'},1.721
shared,0,high_locality,LRU,GlobalAllocation,131,6,616300,{'interleave': 'random'},0.6163
shared,1,high_locality,LRU,GlobalAllocation,131,6,774600,{'interleave': 'random'},0.7746
shared_total,,high_locality,LRU,GlobalAllocation,131,7,1729100,{'interleave': 'random'},1.7291
shared,0,high_locality,LRU,GlobalAllocation,131,7,645100,{'interleave': 'random'},0.6451
shared,1,high_locality,LRU,GlobalAllocation,131,7,758700,{'interleave': 'random'},0.7587
shared_total,,high_locality,LRU,LocalAllocation,131,0,1267100,{'interleave': 'random'},1.2671
shared,0,high_locality,LRU,LocalAllocation,131,0,460300,{'interleave': 'random'},0.4603
shared,1,high_locality,LRU,LocalAllocation,131,0,462600,{'interleave': 'random'},0.4626
shared_total,,high_locality,LRU,LocalAllocation,131,1,1306700,{'interleave': 'random'},1.3067
shared,0,high_locality,LRU,LocalAllocation,131,1,481700,{'interleave': 'random'},0.4817
shared,1,high_locality,LRU,LocalAllocation,131,1,489600,{'interleave': 'random'},0.4896
shared_total,,high_locality,LRU,LocalAllocation,131,2,1293600,{'interleave': 'random'},1.2936
shared,0,high_locality,LRU,LocalAllocation,131,2,477800,{'interleave': 'random'},0.4778
shared,1,high_locality,LRU,LocalAllocation,131,2,495100,{'interleave': 'random'},0.4951
shared_total,,high_locality,LRU,LocalAllocation,131,3,1257600,{'interleave': 'random'},1.2576
shared,0,high_locality,LRU,LocalAllocation,131,3,450900,{'interleave': 'random'},0.4509
shared,1,high_locality,LRU,LocalAllocation,131,3,457500,{'interleave': 'random'},0.4575
shared_total,,high_locality,LRU,LocalAllocation,131,4,1310500,{'interleave': 'random'},1.3105
shared,0,high_locality,LRU,LocalAllocation,131,4,471500,{'interleave': 'random'},0.4715
shared,1,high_locality,LRU,LocalAllocation,131,4,500200,{'interleave': 'random'},0.5002
shared_total,,high_locality,LRU,LocalAllocation,131,5,1299900,{'interleave': 'random'},1.2999
shared,0,high_locality,LRU,LocalAllocation,131,5,482500,{'interleave': 'random'},0.4825
shared,1,high_locality,LRU,LocalAllocation,131,5,485300,{'interleave': 'random'},0.4853
shared_total,,high_locality,LRU,LocalAllocation,131,6,1416100,{'interleave': 'random'},1.4161
shared,0,high_locality,LRU,LocalAllocation,131,6,525000,{'interleave': 'random'},0.525
