workload_label,workload_kind,trace_name,algorithm,allocation_policy,memory_frames,repetition_id,process_id,t_isolated_ms,t_shared_ms,slowdown,page_faults,replacements,disk_reads,disk_writes
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,0,0,0.0038,0.0039,1.0263157894736843,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,0,1,0.0033,0.0058,1.7575757575757576,3,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,1,0,0.0025,0.0028,1.12,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,1,1,0.0031,0.004,1.2903225806451613,3,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,2,0,0.0026,0.003,1.1538461538461537,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,2,1,0.0029,0.004,1.3793103448275863,3,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,3,0,0.0024,0.0027,1.125,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,3,1,0.0028,0.0035,1.25,3,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,4,0,0.0023,0.0027,1.173913043478261,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,4,1,0.003,0.0035,1.1666666666666667,3,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,5,0,0.0023,0.0027,1.173913043478261,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,5,1,0.0028,0.0037,1.3214285714285714,3,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,6,0,0.0023,0.003,1.3043478260869565,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,6,1,0.0027,0.0038,1.4074074074074074,3,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,7,0,0.0023,0.0031,1.3478260869565217,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,7,1,0.0029,0.0036,1.2413793103448276,3,,,
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,0,0,0.0026,0.0027,1.0384615384615385,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,0,1,0.0028,0.0031,1.1071428571428572,3,1,3,1
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,1,0,0.0024,0.0023,0.9583333333333334,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,1,1,0.0029,0.0027,0.9310344827586207,3,1,3,1
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,2,0,0.0024,0.0025,1.0416666666666667,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,2,1,0.0027,0.0024,0.8888888888888888,3,1,3,1
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,3,0,0.0024,0.0024,1.0,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,3,1,0.0028,0.0023,0.8214285714285714,3,1,3,1
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,4,0,0.0024,0.0022,0.9166666666666666,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,4,1,0.0027,0.0025,0.9259259259259259,3,1,3,1
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,5,0,0.0024,0.0025,1.0416666666666667,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,5,1,0.0027,0.0026,0.9629629629629629,3,1,3,1
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,6,0,0.0026,0.0022,0.8461538461538461,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,6,1,0.0028,0.0023,0.8214285714285714,3,1,3,1
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,7,0,0.0022,0.0026,1.1818181818181819,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,7,1,0.0026,0.0025,0.9615384615384616,3,1,3,1
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,0,0,0.0031,0.0029,0.9354838709677419,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,0,1,0.0028,0.0028,1.0,3,1,3,1
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,1,0,0.0049,0.0024,0.4897959183673469,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,1,1,0.0031,0.004,1.2903225806451613,3,1,3,1
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,2,0,0.0024,0.0028,1.1666666666666667,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,2,1,0.0028,0.0028,1.0,3,1,3,1
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,3,0,0.0023,0.0024,1.0434782608695652,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,3,1,0.0028,0.0025,0.8928571428571429,3,1,3,1
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,4,0,0.003,0.0033,1.1,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,4,1,0.0034,0.0031,0.9117647058823529,3,1,3,1
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,5,0,0.0026,0.0028,1.0769230769230769,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,5,1,0.0028,0.0032,1.1428571428571428,3,1,3,1
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,6,0,0.0024,0.0027,1.125,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,6,1,0.0027,0.0025,0.9259259259259259,3,1,3,1
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,7,0,0.0025,0.0021,0.84,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,7,1,0.0028,0.0025,0.8928571428571429,3,1,3,1
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,0,0,0.0034,0.0041,1.2058823529411764,2,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,0,1,0.0037,0.0062,1.6756756756756757,3,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,1,0,0.0033,0.0037,1.121212121212121,2,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,1,1,0.0035,0.0048,1.3714285714285714,3,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,2,0,0.006,0.0036,0.6,2,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,2,1,0.0035,0.0045,1.2857142857142858,3,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,3,0,0.0038,0.0042,1.105263157894737,2,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,3,1,0.003,0.0053,1.7666666666666666,3,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,4,0,0.0028,0.0033,1.1785714285714286,2,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,4,1,0.003,0.0045,1.5,3,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,5,0,0.0029,0.0033,1.1379310344827587,2,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,5,1,0.003,0.0042,1.4,3,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,6,0,0.0042,0.0042,1.0,2,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,6,1,0.003,0.0051,1.7,3,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,7,0,0.0029,0.0046,1.5862068965517242,2,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,7,1,0.003,0.0062,2.066666666666667,3,,,
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,0,0,0.003,0.0035,1.1666666666666667,2,0,2,0
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,0,1,0.0029,0.0034,1.1724137931034482,3,1,3,1
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,1,0,0.0027,0.0031,1.1481481481481481,2,0,2,0
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,1,1,0.003,0.0033,1.1,3,1,3,1
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,2,0,0.0026,0.0027,1.0384615384615385,2,0,2,0
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,2,1,0.0028,0.0032,1.1428571428571428,3,1,3,1
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,3,0,0.0026,0.003,1.1538461538461537,2,0,2,0
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,3,1,0.0029,0.0029,1.0,3,1,3,1
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,4,0,0.0026,0.0027,1.0384615384615385,2,0,2,0
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,4,1,0.0038,0.0029,0.7631578947368421,3,1,3,1
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,5,0,0.0047,0.005,1.0638297872340425,2,0,2,0
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,5,1,0.0028,0.0061,2.1785714285714284,3,1,3,1
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,6,0,0.0045,0.004,0.8888888888888888,2,0,2,0
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,6,1,0.0042,0.0054,1.2857142857142858,3,1,3,1
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,7,0,0.004,0.0037,0.925,2,0,2,0
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,7,1,0.0045,0.0052,1.1555555555555554,3,1,3,1
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,0,0,0.0047,0.0051,1.0851063829787233,2,0,2,0
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,0,1,0.005,0.0057,1.14,3,1,3,1
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,1,0,0.0047,0.0047,1.0,2,0,2,0
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,1,1,0.0048,0.0056,1.1666666666666667,3,1,3,1
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,2,0,0.0043,0.0044,1.0232558139534884,2,0,2,0
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,2,1,0.0049,0.0054,1.1020408163265305,3,1,3,1
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,3,0,0.0043,0.004,0.9302325581395349,2,0,2,0
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,3,1,0.0049,0.0052,1.0612244897959184,3,1,3,1
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,4,0,0.0042,0.004,0.9523809523809523,2,0,2,0
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,4,1,0.005,0.0054,1.08,3,1,3,1
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,5,0,0.0044,0.0038,0.8636363636363636,2,0,2,0
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,5,1,0.0051,0.0054,1.0588235294117647,3,1,3,1
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,6,0,0.0044,0.0039,0.8863636363636364,2,0,2,0
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,6,1,0.005,0.0053,1.06,3,1,3,1
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,7,0,0.0042,0.004,0.9523809523809523,2,0,2,0
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,7,1,0.0049,0.0052,1.0612244897959184,3,1,3,1
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,0,0,0.0057,0.0065,1.1403508771929824,2,,,
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,0,1,0.0061,0.0115,1.8852459016393444,3,,,
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,1,0,0.0058,0.006,1.0344827586206897,2,,,
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,1,1,0.0061,0.01,1.639344262295082,3,,,
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,2,0,0.0067,0.006,0.8955223880597015,2,,,
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,2,1,0.0058,0.0095,1.6379310344827587,3,,,
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,3,0,0.005,0.0053,1.06,2,,,
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,3,1,0.0053,0.0087,1.6415094339622642,3,,,
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,4,0,0.0046,0.005,1.0869565217391304,2,,,
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,4,1,0.0051,0.0087,1.7058823529411764,3,,,
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,5,0,0.0048,0.0049,1.0208333333333333,2,,,
