mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
isolation,0,sample_trace,FIFO,GlobalAllocation,4,0,3800,{'trace_kind': 'trace'},0.0038
isolation,1,sample_trace,FIFO,GlobalAllocation,4,0,3300,{'trace_kind': 'trace'},0.0033
isolation,0,sample_trace,FIFO,GlobalAllocation,4,1,2500,{'trace_kind': 'trace'},0.0025
isolation,1,sample_trace,FIFO,GlobalAllocation,4,1,3100,{'trace_kind': 'trace'},0.0031
isolation,0,sample_trace,FIFO,GlobalAllocation,4,2,2600,{'trace_kind': 'trace'},0.0026
isolation,1,sample_trace,FIFO,GlobalAllocation,4,2,2900,{'trace_kind': 'trace'},0.0029
isolation,0,sample_trace,FIFO,GlobalAllocation,4,3,2400,{'trace_kind': 'trace'},0.0024
isolation,1,sample_trace,FIFO,GlobalAllocation,4,3,2800,{'trace_kind': 'trace'},0.0028
isolation,0,sample_trace,FIFO,GlobalAllocation,4,4,2300,{'trace_kind': 'trace'},0.0023
isolation,1,sample_trace,FIFO,GlobalAllocation,4,4,3000,{'trace_kind': 'trace'},0.003
isolation,0,sample_trace,FIFO,GlobalAllocation,4,5,2300,{'trace_kind': 'trace'},0.0023
isolation,1,sample_trace,FIFO,GlobalAllocation,4,5,2800,{'trace_kind': 'trace'},0.0028
isolation,0,sample_trace,FIFO,GlobalAllocation,4,6,2300,{'trace_kind': 'trace'},0.0023
isolation,1,sample_trace,FIFO,GlobalAllocation,4,6,2700,{'trace_kind': 'trace'},0.0027
isolation,0,sample_trace,FIFO,GlobalAllocation,4,7,2300,{'trace_kind': 'trace'},0.0023
isolation,1,sample_trace,FIFO,GlobalAllocation,4,7,2900,{'trace_kind': 'trace'},0.0029
isolation,0,sample_trace,FIFO,LocalAllocation,4,0,2600,{'trace_kind': 'trace'},0.0026
isolation,1,sample_trace,FIFO,LocalAllocation,4,0,2800,{'trace_kind': 'trace'},0.0028
isolation,0,sample_trace,FIFO,LocalAllocation,4,1,2400,{'trace_kind': 'trace'},0.0024
isolation,1,sample_trace,FIFO,LocalAllocation,4,1,2900,{'trace_kind': 'trace'},0.0029
isolation,0,sample_trace,FIFO,LocalAllocation,4,2,2400,{'trace_kind': 'trace'},0.0024
isolation,1,sample_trace,FIFO,LocalAllocation,4,2,2700,{'trace_kind': 'trace'},0.0027
isolation,0,sample_trace,FIFO,LocalAllocation,4,3,2400,{'trace_kind': 'trace'},0.0024
isolation,1,sample_trace,FIFO,LocalAllocation,4,3,2800,{'trace_kind': 'trace'},0.0028
isolation,0,sample_trace,FIFO,LocalAllocation,4,4,2400,{'trace_kind': 'trace'},0.0024
isolation,1,sample_trace,FIFO,LocalAllocation,4,4,2700,{'trace_kind': 'trace'},0.0027
isolation,0,sample_trace,FIFO,LocalAllocation,4,5,2400,{'trace_kind': 'trace'},0.0024
isolation,1,sample_trace,FIFO,LocalAllocation,4,5,2700,{'trace_kind': 'trace'},0.0027
isolation,0,sample_trace,FIFO,LocalAllocation,4,6,2600,{'trace_kind': 'trace'},0.0026
isolation,1,sample_trace,FIFO,LocalAllocation,4,6,2800,{'trace_kind': 'trace'},0.0028
isolation,0,sample_trace,FIFO,LocalAllocation,4,7,2200,{'trace_kind': 'trace'},0.0022
isolation,1,sample_trace,FIFO,LocalAllocation,4,7,2600,{'trace_kind': 'trace'},0.0026
isolation,0,sample_trace,FIFO,ProportionalAllocation,4,0,3100,{'trace_kind': 'trace'},0.0031
isolation,1,sample_trace,FIFO,ProportionalAllocation,4,0,2800,{'trace_kind': 'trace'},0.0028
isolation,0,sample_trace,FIFO,ProportionalAllocation,4,1,4900,{'trace_kind': 'trace'},0.0049
isolation,1,sample_trace,FIFO,ProportionalAllocation,4,1,3100,{'trace_kind': 'trace'},0.0031
isolation,0,sample_trace,FIFO,ProportionalAllocation,4,2,2400,{'trace_kind': 'trace'},0.0024
isolation,1,sample_trace,FIFO,ProportionalAllocation,4,2,2800,{'trace_kind': 'trace'},0.0028
isolation,0,sample_trace,FIFO,ProportionalAllocation,4,3,2300,{'trace_kind': 'trace'},0.0023
isolation,1,sample_trace,FIFO,ProportionalAllocation,4,3,2800,{'trace_kind': 'trace'},0.0028
isolation,0,sample_trace,FIFO,ProportionalAllocation,4,4,3000,{'trace_kind': 'trace'},0.003
isolation,1,sample_trace,FIFO,ProportionalAllocation,4,4,3400,{'trace_kind': 'trace'},0.0034
isolation,0,sample_trace,FIFO,ProportionalAllocation,4,5,2600,{'trace_kind': 'trace'},0.0026
isolation,1,sample_trace,FIFO,ProportionalAllocation,4,5,2800,{'trace_kind': 'trace'},0.0028
isolation,0,sample_trace,FIFO,ProportionalAllocation,4,6,2400,{'trace_kind': 'trace'},0.0024
isolation,1,sample_trace,FIFO,ProportionalAllocation,4,6,2700,{'trace_kind': 'trace'},0.0027
isolation,0,sample_trace,FIFO,ProportionalAllocation,4,7,2500,{'trace_kind': 'trace'},0.0025
isolation,1,sample_trace,FIFO,ProportionalAllocation,4,7,2800,{'trace_kind': 'trace'},0.0028
isolation,0,sample_trace,LRU,GlobalAllocation,4,0,3400,{'trace_kind': 'trace'},0.0034
isolation,1,sample_trace,LRU,GlobalAllocation,4,0,3700,{'trace_kind': 'trace'},0.0037
isolation,0,sample_trace,LRU,GlobalAllocation,4,1,3300,{'trace_kind': 'trace'},0.0033
isolation,1,sample_trace,LRU,GlobalAllocation,4,1,3500,{'trace_kind': 'trace'},0.0035
isolation,0,sample_trace,LRU,GlobalAllocation,4,2,6000,{'trace_kind': 'trace'},0.006
isolation,1,sample_trace,LRU,GlobalAllocation,4,2,3500,{'trace_kind': 'trace'},0.0035
isolation,0,sample_trace,LRU,GlobalAllocation,4,3,3800,{'trace_kind': 'trace'},0.0038
isolation,1,sample_trace,LRU,GlobalAllocation,4,3,3000,{'trace_kind': 'trace'},0.003
isolation,0,sample_trace,LRU,GlobalAllocation,4,4,2800,{'trace_kind': 'trace'},0.0028
isolation,1,sample_trace,LRU,GlobalAllocation,4,4,3000,{'trace_kind': 'trace'},0.003
isolation,0,sample_trace,LRU,GlobalAllocation,4,5,2900,{'trace_kind': 'trace'},0.0029
isolation,1,sample_trace,LRU,GlobalAllocation,4,5,3000,{'trace_kind': 'trace'},0.003
isolation,0,sample_trace,LRU,GlobalAllocation,4,6,4200,{'trace_kind': 'trace'},0.0042
isolation,1,sample_trace,LRU,GlobalAllocation,4,6,3000,{'trace_kind': 'trace'},0.003
isolation,0,sample_trace,LRU,GlobalAllocation,4,7,2900,{'trace_kind': 'trace'},0.0029
isolation,1,sample_trace,LRU,GlobalAllocation,4,7,3000,{'trace_kind': 'trace'},0.003
isolation,0,sample_trace,LRU,LocalAllocation,4,0,3000,{'trace_kind': 'trace'},0.003
isolation,1,sample_trace,LRU,LocalAllocation,4,0,2900,{'trace_kind': 'trace'},0.0029
isolation,0,sample_trace,LRU,LocalAllocation,4,1,2700,{'trace_kind': 'trace'},0.0027
isolation,1,sample_trace,LRU,LocalAllocation,4,1,3000,{'trace_kind': 'trace'},0.003
isolation,0,sample_trace,LRU,LocalAllocation,4,2,2600,{'trace_kind': 'trace'},0.0026
isolation,1,sample_trace,LRU,LocalAllocation,4,2,2800,{'trace_kind': 'trace'},0.0028
isolation,0,sample_trace,LRU,LocalAllocation,4,3,2600,{'trace_kind': 'trace'},0.0026
isolation,1,sample_trace,LRU,LocalAllocation,4,3,2900,{'trace_kind': 'trace'},0.0029
isolation,0,sample_trace,LRU,LocalAllocation,4,4,2600,{'trace_kind': 'trace'},0.0026
isolation,1,sample_trace,LRU,LocalAllocation,4,4,3800,{'trace_kind': 'trace'},0.0038
isolation,0,sample_trace,LRU,LocalAllocation,4,5,4700,{'trace_kind': 'trace'},0.0047
isolation,1,sample_trace,LRU,LocalAllocation,4,5,2800,{'trace_kind': 'trace'},0.0028
isolation,0,sample_trace,LRU,LocalAllocation,4,6,4500,{'trace_kind': 'trace'},0.0045
isolation,1,sample_trace,LRU,LocalAllocation,4,6,4200,{'trace_kind': 'trace'},0.0042
isolation,0,sample_trace,LRU,LocalAllocation,4,7,4000,{'trace_kind': 'trace'},0.004
isolation,1,sample_trace,LRU,LocalAllocation,4,7,4500,{'trace_kind': 'trace'},0.0045
isolation,0,sample_trace,LRU,ProportionalAllocation,4,0,4700,{'trace_kind': 'trace'},0.0047
isolation,1,sample_trace,LRU,ProportionalAllocation,4,0,5000,{'trace_kind': 'trace'},0.005
isolation,0,sample_trace,LRU,ProportionalAllocation,4,1,4700,{'trace_kind': 'trace'},0.0047
isolation,1,sample_trace,LRU,ProportionalAllocation,4,1,4800,{'trace_kind': 'trace'},0.0048
isolation,0,sample_trace,LRU,ProportionalAllocation,4,2,4300,{'trace_kind': 'trace'},0.0043
isolation,1,sample_trace,LRU,ProportionalAllocation,4,2,4900,{'trace_kind': 'trace'},0.0049
isolation,0,sample_trace,LRU,ProportionalAllocation,4,3,4300,{'trace_kind': 'trace'},0.0043
isolation,1,sample_trace,LRU,ProportionalAllocation,4,3,4900,{'trace_kind': 'trace'},0.0049
isolation,0,sample_trace,LRU,ProportionalAllocation,4,4,4200,{'trace_kind': 'trace'},0.0042
isolation,1,sample_trace,LRU,ProportionalAllocation,4,4,5000,{'trace_kind': 'trace'},0.005
isolation,0,sample_trace,LRU,ProportionalAllocation,4,5,4400,{'trace_kind': 'trace'},0.0044
isolation,1,sample_trace,LRU,ProportionalAllocation,4,5,5100,{'trace_kind': 'trace'},0.0051
isolation,0,sample_trace,LRU,ProportionalAllocation,4,6,4400,{'trace_kind': 'trace'},0.0044
isolation,1,sample_trace,LRU,ProportionalAllocation,4,6,5000,{'trace_kind': 'trace'},0.005
isolation,0,sample_trace,LRU,ProportionalAllocation,4,7,4200,{'trace_kind': 'trace'},0.0042
isolation,1,sample_trace,LRU,ProportionalAllocation,4,7,4900,{'trace_kind': 'trace'},0.0049
isolation,0,sample_trace,NRU,GlobalAllocation,4,0,5700,{'trace_kind': 'trace'},0.0057
isolation,1,sample_trace,NRU,GlobalAllocation,4,0,6100,{'trace_kind': 'trace'},0.0061
isolation,0,sample_trace,NRU,GlobalAllocation,4,1,5800,{'trace_kind': 'trace'},0.0058
isolation,1,sample_trace,NRU,GlobalAllocation,4,1,6100,{'trace_kind': 'trace'},0.0061
isolation,0,sample_trace,NRU,GlobalAllocation,4,2,6700,{'trace_kind': 'trace'},0.0067
isolation,1,sample_trace,NRU,GlobalAllocation,4,2,5800,{'trace_kind': 'trace'},0.0058
isolation,0,sample_trace,NRU,GlobalAllocation,4,3,5000,{'trace_kind': 'trace'},0.005
isolation,1,sample_trace,NRU,GlobalAllocation,4,3,5300,{'trace_kind': 'trace'},0.0053
isolation,0,sample_trace,NRU,GlobalAllocation,4,4,4600,{'trace_kind': 'trace'},0.0046
isolation,1,sample_trace,NRU,GlobalAllocation,4,4,5100,{'trace_kind': 'trace'},0.0051
isolation,0,sample_trace,NRU,GlobalAllocation,4,5,4800,{'trace_kind': 'trace'},0.0048
