mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared_total,,trace-driven,FIFO,GlobalAllocation,4,0,19000,{'interleave': 'trace-order'},0.019
shared,0,sample_trace,FIFO,GlobalAllocation,4,0,3900,{'interleave': 'trace-order'},0.0039
shared,1,sample_trace,FIFO,GlobalAllocation,4,0,5800,{'interleave': 'trace-order'},0.0058
shared_total,,trace-driven,FIFO,GlobalAllocation,4,1,12000,{'interleave': 'trace-order'},0.012
shared,0,sample_trace,FIFO,GlobalAllocation,4,1,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,FIFO,GlobalAllocation,4,1,4000,{'interleave': 'trace-order'},0.004
shared_total,,trace-driven,FIFO,GlobalAllocation,4,2,11500,{'interleave': 'trace-order'},0.0115
shared,0,sample_trace,FIFO,GlobalAllocation,4,2,3000,{'interleave': 'trace-order'},0.003
shared,1,sample_trace,FIFO,GlobalAllocation,4,2,4000,{'interleave': 'trace-order'},0.004
shared_total,,trace-driven,FIFO,GlobalAllocation,4,3,10300,{'interleave': 'trace-order'},0.0103
shared,0,sample_trace,FIFO,GlobalAllocation,4,3,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,FIFO,GlobalAllocation,4,3,3500,{'interleave': 'trace-order'},0.0035
shared_total,,trace-driven,FIFO,GlobalAllocation,4,4,9900,{'interleave': 'trace-order'},0.0099
shared,0,sample_trace,FIFO,GlobalAllocation,4,4,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,FIFO,GlobalAllocation,4,4,3500,{'interleave': 'trace-order'},0.0035
shared_total,,trace-driven,FIFO,GlobalAllocation,4,5,10300,{'interleave': 'trace-order'},0.0103
shared,0,sample_trace,FIFO,GlobalAllocation,4,5,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,FIFO,GlobalAllocation,4,5,3700,{'interleave': 'trace-order'},0.0037
shared_total,,trace-driven,FIFO,GlobalAllocation,4,6,11000,{'interleave': 'trace-order'},0.011
shared,0,sample_trace,FIFO,GlobalAllocation,4,6,3000,{'interleave': 'trace-order'},0.003
shared,1,sample_trace,FIFO,GlobalAllocation,4,6,3800,{'interleave': 'trace-order'},0.0038
shared_total,,trace-driven,FIFO,GlobalAllocation,4,7,10300,{'interleave': 'trace-order'},0.0103
shared,0,sample_trace,FIFO,GlobalAllocation,4,7,3100,{'interleave': 'trace-order'},0.0031
shared,1,sample_trace,FIFO,GlobalAllocation,4,7,3600,{'interleave': 'trace-order'},0.0036
shared_total,,trace-driven,FIFO,LocalAllocation,4,0,12700,{'interleave': 'trace-order'},0.0127
shared,0,sample_trace,FIFO,LocalAllocation,4,0,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,FIFO,LocalAllocation,4,0,3100,{'interleave': 'trace-order'},0.0031
shared_total,,trace-driven,FIFO,LocalAllocation,4,1,9400,{'interleave': 'trace-order'},0.0094
shared,0,sample_trace,FIFO,LocalAllocation,4,1,2300,{'interleave': 'trace-order'},0.0023
shared,1,sample_trace,FIFO,LocalAllocation,4,1,2700,{'interleave': 'trace-order'},0.0027
shared_total,,trace-driven,FIFO,LocalAllocation,4,2,9100,{'interleave': 'trace-order'},0.0091
shared,0,sample_trace,FIFO,LocalAllocation,4,2,2500,{'interleave': 'trace-order'},0.0025
shared,1,sample_trace,FIFO,LocalAllocation,4,2,2400,{'interleave': 'trace-order'},0.0024
shared_total,,trace-driven,FIFO,LocalAllocation,4,3,8700,{'interleave': 'trace-order'},0.0087
shared,0,sample_trace,FIFO,LocalAllocation,4,3,2400,{'interleave': 'trace-order'},0.0024
shared,1,sample_trace,FIFO,LocalAllocation,4,3,2300,{'interleave': 'trace-order'},0.0023
shared_total,,trace-driven,FIFO,LocalAllocation,4,4,8400,{'interleave': 'trace-order'},0.0084
shared,0,sample_trace,FIFO,LocalAllocation,4,4,2200,{'interleave': 'trace-order'},0.0022
shared,1,sample_trace,FIFO,LocalAllocation,4,4,2500,{'interleave': 'trace-order'},0.0025
shared_total,,trace-driven,FIFO,LocalAllocation,4,5,8900,{'interleave': 'trace-order'},0.0089
shared,0,sample_trace,FIFO,LocalAllocation,4,5,2500,{'interleave': 'trace-order'},0.0025
shared,1,sample_trace,FIFO,LocalAllocation,4,5,2600,{'interleave': 'trace-order'},0.0026
shared_total,,trace-driven,FIFO,LocalAllocation,4,6,9300,{'interleave': 'trace-order'},0.0093
shared,0,sample_trace,FIFO,LocalAllocation,4,6,2200,{'interleave': 'trace-order'},0.0022
shared,1,sample_trace,FIFO,LocalAllocation,4,6,2300,{'interleave': 'trace-order'},0.0023
shared_total,,trace-driven,FIFO,LocalAllocation,4,7,8900,{'interleave': 'trace-order'},0.0089
shared,0,sample_trace,FIFO,LocalAllocation,4,7,2600,{'interleave': 'trace-order'},0.0026
shared,1,sample_trace,FIFO,LocalAllocation,4,7,2500,{'interleave': 'trace-order'},0.0025
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,0,11200,{'interleave': 'trace-order'},0.0112
shared,0,sample_trace,FIFO,ProportionalAllocation,4,0,2900,{'interleave': 'trace-order'},0.0029
shared,1,sample_trace,FIFO,ProportionalAllocation,4,0,2800,{'interleave': 'trace-order'},0.0028
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,1,11300,{'interleave': 'trace-order'},0.0113
shared,0,sample_trace,FIFO,ProportionalAllocation,4,1,2400,{'interleave': 'trace-order'},0.0024
shared,1,sample_trace,FIFO,ProportionalAllocation,4,1,4000,{'interleave': 'trace-order'},0.004
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,2,11200,{'interleave': 'trace-order'},0.0112
shared,0,sample_trace,FIFO,ProportionalAllocation,4,2,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,FIFO,ProportionalAllocation,4,2,2800,{'interleave': 'trace-order'},0.0028
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,3,9300,{'interleave': 'trace-order'},0.0093
shared,0,sample_trace,FIFO,ProportionalAllocation,4,3,2400,{'interleave': 'trace-order'},0.0024
shared,1,sample_trace,FIFO,ProportionalAllocation,4,3,2500,{'interleave': 'trace-order'},0.0025
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,4,11800,{'interleave': 'trace-order'},0.0118
shared,0,sample_trace,FIFO,ProportionalAllocation,4,4,3300,{'interleave': 'trace-order'},0.0033
