workload_label,workload_kind,trace_name,algorithm,allocation_policy,memory_frames,repetition_id,process_id,t_isolated_ms,t_shared_ms,slowdown,page_faults,replacements,disk_reads,disk_writes
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,0,0,0.0038,0.0039,1.0263157894736843,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,0,1,0.0034,0.006,1.7647058823529411,3,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,1,0,0.0027,0.0028,1.037037037037037,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,1,1,0.0027,0.0038,1.4074074074074074,3,,,
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,0,0,0.0029,0.0027,0.9310344827586207,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,0,1,0.0029,0.0031,1.0689655172413792,3,1,3,1
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,1,0,0.0026,0.0025,0.9615384615384616,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,1,1,0.0028,0.0027,0.9642857142857143,3,1,3,1
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,0,0,0.0027,0.0028,1.037037037037037,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,0,1,0.0028,0.0027,0.9642857142857143,3,1,3,1
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,1,0,0.0023,0.0028,1.2173913043478262,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,1,1,0.0027,0.0027,1.0,3,1,3,1
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,0,0,0.0035,0.0043,1.2285714285714286,2,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,0,1,0.0036,0.0071,1.9722222222222223,3,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,1,0,0.0034,0.004,1.1764705882352942,2,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,1,1,0.0036,0.0049,1.3611111111111112,3,,,
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,0,0,0.0047,0.0037,0.7872340425531915,2,0,2,0
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,0,1,0.0035,0.0036,1.0285714285714285,3,1,3,1
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,1,0,0.0035,0.0032,0.9142857142857143,2,0,2,0
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,1,1,0.0029,0.003,1.0344827586206897,3,1,3,1
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,0,0,0.0029,0.0032,1.103448275862069,2,0,2,0
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,0,1,0.0031,0.0033,1.064516129032258,3,1,3,1
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,1,0,0.0027,0.0026,0.9629629629629629,2,0,2,0
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,1,1,0.003,0.0031,1.0333333333333334,3,1,3,1
