workload_label,workload_kind,trace_name,algorithm,allocation_policy,memory_frames,repetition_id,process_id,t_isolated_ms,t_shared_ms,slowdown,page_faults,replacements,disk_reads,disk_writes
mixed,synthetic,,LRU,GlobalAllocation,332,0,0,0.3158,0.7841,2.4829005699810005,97,,,
mixed,synthetic,,LRU,GlobalAllocation,332,0,1,0.3108,0.8287,2.6663449163449164,112,,,
mixed,synthetic,,LRU,GlobalAllocation,332,0,2,0.3172,0.8422,2.6551071878940733,124,,,
mixed,synthetic,,LRU,GlobalAllocation,332,0,3,0.2687,0.7874,2.9304056568663936,13,,,
mixed,synthetic,,LRU,GlobalAllocation,332,1,0,0.6215,1.3239,2.1301689460981494,91,,,
mixed,synthetic,,LRU,GlobalAllocation,332,1,1,0.6204,1.4386,2.3188265635074146,112,,,
mixed,synthetic,,LRU,GlobalAllocation,332,1,2,0.6295,1.4419,2.29054805401112,124,,,
mixed,synthetic,,LRU,GlobalAllocation,332,1,3,0.5714,1.3755,2.4072453622681134,13,,,
mixed,synthetic,,LRU,LocalAllocation,332,0,0,0.3083,0.5594,1.8144664288031138,97,14,97,5
mixed,synthetic,,LRU,LocalAllocation,332,0,1,0.3119,0.8432,2.703430586726515,486,403,486,173
mixed,synthetic,,LRU,LocalAllocation,332,0,2,0.3231,0.8825,2.7313525224388733,542,459,542,231
mixed,synthetic,,LRU,LocalAllocation,332,0,3,0.4198,0.5217,1.2427346355407336,13,0,13,0
mixed,synthetic,,LRU,LocalAllocation,332,1,0,0.3129,0.5699,1.821348673697667,91,8,91,7
mixed,synthetic,,LRU,LocalAllocation,332,1,1,0.3135,0.8656,2.761084529505582,497,414,497,182
mixed,synthetic,,LRU,LocalAllocation,332,1,2,0.3187,0.9314,2.922497646689677,525,442,525,236
mixed,synthetic,,LRU,LocalAllocation,332,1,3,0.2739,0.5394,1.9693318729463307,13,0,13,0
mixed,synthetic,,WSClock,GlobalAllocation,332,0,0,0.327,0.8897,2.720795107033639,96,,,
mixed,synthetic,,WSClock,GlobalAllocation,332,0,1,0.2934,0.9344,3.1847307430129517,118,,,
mixed,synthetic,,WSClock,GlobalAllocation,332,0,2,0.3186,0.9106,2.8581293157564343,129,,,
mixed,synthetic,,WSClock,GlobalAllocation,332,0,3,0.2557,0.6715,2.626124364489636,13,,,
mixed,synthetic,,WSClock,GlobalAllocation,332,1,0,0.2831,0.8505,3.004238784881667,93,,,
mixed,synthetic,,WSClock,GlobalAllocation,332,1,1,0.2955,0.8985,3.0406091370558377,117,,,
mixed,synthetic,,WSClock,GlobalAllocation,332,1,2,0.3101,0.9038,2.9145436955820703,125,,,
mixed,synthetic,,WSClock,GlobalAllocation,332,1,3,0.2294,0.6592,2.873583260680035,13,,,
mixed,synthetic,,WSClock,LocalAllocation,332,0,0,0.2868,0.4871,1.6983960948396095,99,16,99,0
mixed,synthetic,,WSClock,LocalAllocation,332,0,1,0.2931,6.2487,21.319344933469807,481,398,481,144
mixed,synthetic,,WSClock,LocalAllocation,332,0,2,0.3106,8.3902,27.01287830006439,542,459,542,195
mixed,synthetic,,WSClock,LocalAllocation,332,0,3,0.2306,0.4138,1.7944492627927147,13,0,13,0
mixed,synthetic,,WSClock,LocalAllocation,332,1,0,0.2793,0.4871,1.7440028643036163,94,11,94,0
mixed,synthetic,,WSClock,LocalAllocation,332,1,1,0.291,6.3377,21.779037800687284,465,382,465,147
mixed,synthetic,,WSClock,LocalAllocation,332,1,2,0.3123,8.9834,28.765289785462695,540,457,540,205
mixed,synthetic,,WSClock,LocalAllocation,332,1,3,0.2307,0.4167,1.8062418725617686,13,0,13,0
