mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
isolation,0,high_locality,LRU,GlobalAllocation,332,0,315800,{'trace_kind': 'synthetic'},0.3158
isolation,1,streaming,LRU,GlobalAllocation,332,0,310800,{'trace_kind': 'synthetic'},0.3108
isolation,2,random,LRU,GlobalAllocation,332,0,317200,{'trace_kind': 'synthetic'},0.3172
isolation,3,loop,LRU,GlobalAllocation,332,0,268700,{'trace_kind': 'synthetic'},0.2687
isolation,0,high_locality,LRU,GlobalAllocation,332,1,621500,{'trace_kind': 'synthetic'},0.6215
isolation,1,streaming,LRU,GlobalAllocation,332,1,620400,{'trace_kind': 'synthetic'},0.6204
isolation,2,random,LRU,GlobalAllocation,332,1,629500,{'trace_kind': 'synthetic'},0.6295
isolation,3,loop,LRU,GlobalAllocation,332,1,571400,{'trace_kind': 'synthetic'},0.5714
isolation,0,high_locality,LRU,LocalAllocation,332,0,308300,{'trace_kind': 'synthetic'},0.3083
isolation,1,streaming,LRU,LocalAllocation,332,0,311900,{'trace_kind': 'synthetic'},0.3119
isolation,2,random,LRU,LocalAllocation,332,0,323100,{'trace_kind': 'synthetic'},0.3231
isolation,3,loop,LRU,LocalAllocation,332,0,419800,{'trace_kind': 'synthetic'},0.4198
isolation,0,high_locality,LRU,LocalAllocation,332,1,312900,{'trace_kind': 'synthetic'},0.3129
isolation,1,streaming,LRU,LocalAllocation,332,1,313500,{'trace_kind': 'synthetic'},0.3135
isolation,2,random,LRU,LocalAllocation,332,1,318700,{'trace_kind': 'synthetic'},0.3187
isolation,3,loop,LRU,LocalAllocation,332,1,273900,{'trace_kind': 'synthetic'},0.2739
isolation,0,high_locality,WSClock,GlobalAllocation,332,0,327000,{'trace_kind': 'synthetic'},0.327
isolation,1,streaming,WSClock,GlobalAllocation,332,0,293400,{'trace_kind': 'synthetic'},0.2934
isolation,2,random,WSClock,GlobalAllocation,332,0,318600,{'trace_kind': 'synthetic'},0.3186
isolation,3,loop,WSClock,GlobalAllocation,332,0,255700,{'trace_kind': 'synthetic'},0.2557
isolation,0,high_locality,WSClock,GlobalAllocation,332,1,283100,{'trace_kind': 'synthetic'},0.2831
isolation,1,streaming,WSClock,GlobalAllocation,332,1,295500,{'trace_kind': 'synthetic'},0.2955
isolation,2,random,WSClock,GlobalAllocation,332,1,310100,{'trace_kind': 'synthetic'},0.3101
isolation,3,loop,WSClock,GlobalAllocation,332,1,229400,{'trace_kind': 'synthetic'},0.2294
isolation,0,high_locality,WSClock,LocalAllocation,332,0,286800,{'trace_kind': 'synthetic'},0.2868
isolation,1,streaming,WSClock,LocalAllocation,332,0,293100,{'trace_kind': 'synthetic'},0.2931
isolation,2,random,WSClock,LocalAllocation,332,0,310600,{'trace_kind': 'synthetic'},0.3106
isolation,3,loop,WSClock,LocalAllocation,332,0,230600,{'trace_kind': 'synthetic'},0.2306
isolation,0,high_locality,WSClock,LocalAllocation,332,1,279300,{'trace_kind': 'synthetic'},0.2793
isolation,1,streaming,WSClock,LocalAllocation,332,1,291000,{'trace_kind': 'synthetic'},0.291
isolation,2,random,WSClock,LocalAllocation,332,1,312300,{'trace_kind': 'synthetic'},0.3123
isolation,3,loop,WSClock,LocalAllocation,332,1,230700,{'trace_kind': 'synthetic'},0.2307
