mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared_total,,mixed,LRU,GlobalAllocation,332,0,3964700,{'interleave': 'random'},3.9647
shared,0,high_locality,LRU,GlobalAllocation,332,0,784100,{'interleave': 'random'},0.7841
shared,1,streaming,LRU,GlobalAllocation,332,0,828700,{'interleave': 'random'},0.8287
shared,2,random,LRU,GlobalAllocation,332,0,842200,{'interleave': 'random'},0.8422
shared,3,loop,LRU,GlobalAllocation,332,0,787400,{'interleave': 'random'},0.7874
shared_total,,mixed,LRU,GlobalAllocation,332,1,6843400,{'interleave': 'random'},6.8434
shared,0,high_locality,LRU,GlobalAllocation,332,1,1323900,{'interleave': 'random'},1.3239
shared,1,streaming,LRU,GlobalAllocation,332,1,1438600,{'interleave': 'random'},1.4386
shared,2,random,LRU,GlobalAllocation,332,1,1441900,{'interleave': 'random'},1.4419
shared,3,loop,LRU,GlobalAllocation,332,1,1375500,{'interleave': 'random'},1.3755
shared_total,,mixed,LRU,LocalAllocation,332,0,3504300,{'interleave': 'random'},3.5043
shared,0,high_locality,LRU,LocalAllocation,332,0,559400,{'interleave': 'random'},0.5594
shared,1,streaming,LRU,LocalAllocation,332,0,843200,{'interleave': 'random'},0.8432
shared,2,random,LRU,LocalAllocation,332,0,882500,{'interleave': 'random'},0.8825
shared,3,loop,LRU,LocalAllocation,332,0,521700,{'interleave': 'random'},0.5217
shared_total,,mixed,LRU,LocalAllocation,332,1,3677400,{'interleave': 'random'},3.6774
shared,0,high_locality,LRU,LocalAllocation,332,1,569900,{'interleave': 'random'},0.5699
shared,1,streaming,LRU,LocalAllocation,332,1,865600,{'interleave': 'random'},0.8656
shared,2,random,LRU,LocalAllocation,332,1,931400,{'interleave': 'random'},0.9314
shared,3,loop,LRU,LocalAllocation,332,1,539400,{'interleave': 'random'},0.5394
shared_total,,mixed,WSClock,GlobalAllocation,332,0,4131600,{'interleave': 'random'},4.1316
shared,0,high_locality,WSClock,GlobalAllocation,332,0,889700,{'interleave': 'random'},0.8897
shared,1,streaming,WSClock,GlobalAllocation,332,0,934400,{'interleave': 'random'},0.9344
shared,2,random,WSClock,GlobalAllocation,332,0,910600,{'interleave': 'random'},0.9106
shared,3,loop,WSClock,GlobalAllocation,332,0,671500,{'interleave': 'random'},0.6715
shared_total,,mixed,WSClock,GlobalAllocation,332,1,4014300,{'interleave': 'random'},4.0143
shared,0,high_locality,WSClock,GlobalAllocation,332,1,850500,{'interleave': 'random'},0.8505
shared,1,streaming,WSClock,GlobalAllocation,332,1,898500,{'interleave': 'random'},0.8985
shared,2,random,WSClock,GlobalAllocation,332,1,903800,{'interleave': 'random'},0.9038
shared,3,loop,WSClock,GlobalAllocation,332,1,659200,{'interleave': 'random'},0.6592
shared_total,,mixed,WSClock,LocalAllocation,332,0,16264700,{'interleave': 'random'},16.2647
shared,0,high_locality,WSClock,LocalAllocation,332,0,487100,{'interleave': 'random'},0.4871
shared,1,streaming,WSClock,LocalAllocation,332,0,6248700,{'interleave': 'random'},6.2487
shared,2,random,WSClock,LocalAllocation,332,0,8390200,{'interleave': 'random'},8.3902
shared,3,loop,WSClock,LocalAllocation,332,0,413800,{'interleave': 'random'},0.4138
shared_total,,mixed,WSClock,LocalAllocation,332,1,16933800,{'interleave': 'random'},16.9338
shared,0,high_locality,WSClock,LocalAllocation,332,1,487100,{'interleave': 'random'},0.4871
shared,1,streaming,WSClock,LocalAllocation,332,1,6337700,{'interleave': 'random'},6.3377
shared,2,random,WSClock,LocalAllocation,332,1,8983400,{'interleave': 'random'},8.9834
shared,3,loop,WSClock,LocalAllocation,332,1,416700,{'interleave': 'random'},0.4167
