workload_label,workload_kind,trace_name,algorithm,allocation_policy,memory_frames,repetition_id,process_id,t_isolated_ms,t_shared_ms,slowdown,page_faults,replacements,disk_reads,disk_writes
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,0,0,0.0038,0.004,1.0526315789473684,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,0,1,0.003,0.0062,2.066666666666667,3,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,1,0,0.0027,0.003,1.1111111111111112,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,4,1,1,0.0027,0.004,1.4814814814814814,3,,,
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,0,0,0.0029,0.0026,0.896551724137931,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,0,1,0.0027,0.0031,1.1481481481481481,3,1,3,1
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,1,0,0.0023,0.0025,1.0869565217391304,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,4,1,1,0.0026,0.0024,0.9230769230769231,3,1,3,1
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,0,0,0.0026,0.0028,1.0769230769230769,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,0,1,0.0026,0.003,1.1538461538461537,3,1,3,1
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,1,0,0.0024,0.0024,1.0,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,4,1,1,0.0027,0.003,1.1111111111111112,3,1,3,1
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,0,0,0.0036,0.0045,1.25,2,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,0,1,0.0037,0.007,1.8918918918918919,3,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,1,0,0.0035,0.0042,1.2,2,,,
trace-driven,trace,sample_trace,LRU,GlobalAllocation,4,1,1,0.0034,0.005,1.4705882352941178,3,,,
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,0,0,0.0044,0.0033,0.75,2,0,2,0
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,0,1,0.0036,0.0036,1.0,3,1,3,1
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,1,0,0.0033,0.0027,0.8181818181818182,2,0,2,0
trace-driven,trace,sample_trace,LRU,LocalAllocation,4,1,1,0.003,0.0032,1.0666666666666667,3,1,3,1
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,0,0,0.0027,0.0034,1.2592592592592593,2,0,2,0
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,0,1,0.0029,0.0034,1.1724137931034482,3,1,3,1
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,1,0,0.0026,0.0026,1.0,2,0,2,0
trace-driven,trace,sample_trace,LRU,ProportionalAllocation,4,1,1,0.0029,0.003,1.0344827586206897,3,1,3,1
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,0,0,0.0036,0.0041,1.1388888888888888,2,,,
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,0,1,0.0035,0.0071,2.0285714285714285,3,,,
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,1,0,0.0033,0.0045,1.3636363636363635,2,,,
trace-driven,trace,sample_trace,NRU,GlobalAllocation,4,1,1,0.0033,0.006,1.8181818181818181,3,,,
trace-driven,trace,sample_trace,NRU,LocalAllocation,4,0,0,0.005,0.0037,0.74,2,0,2,0
trace-driven,trace,sample_trace,NRU,LocalAllocation,4,0,1,0.0033,0.0048,1.4545454545454546,3,1,3,1
trace-driven,trace,sample_trace,NRU,LocalAllocation,4,1,0,0.0056,0.0068,1.2142857142857142,2,0,2,0
trace-driven,trace,sample_trace,NRU,LocalAllocation,4,1,1,0.0048,0.0067,1.3958333333333333,3,1,3,1
trace-driven,trace,sample_trace,NRU,ProportionalAllocation,4,0,0,0.004,0.0046,1.15,2,0,2,0
trace-driven,trace,sample_trace,NRU,ProportionalAllocation,4,0,1,0.0048,0.0067,1.3958333333333333,3,1,3,1
trace-driven,trace,sample_trace,NRU,ProportionalAllocation,4,1,0,0.0037,0.0048,1.2972972972972974,2,0,2,0
trace-driven,trace,sample_trace,NRU,ProportionalAllocation,4,1,1,0.0045,0.0068,1.511111111111111,3,1,3,1
trace-driven,trace,sample_trace,SecondChance,GlobalAllocation,4,0,0,0.0034,0.0041,1.2058823529411764,2,,,
trace-driven,trace,sample_trace,SecondChance,GlobalAllocation,4,0,1,0.0035,0.0068,1.9428571428571428,3,,,
trace-driven,trace,sample_trace,SecondChance,GlobalAllocation,4,1,0,0.0032,0.0039,1.21875,2,,,
trace-driven,trace,sample_trace,SecondChance,GlobalAllocation,4,1,1,0.0034,0.0053,1.5588235294117647,3,,,
trace-driven,trace,sample_trace,SecondChance,LocalAllocation,4,0,0,0.0071,0.0061,0.8591549295774648,2,0,2,0
trace-driven,trace,sample_trace,SecondChance,LocalAllocation,4,0,1,0.0058,0.0072,1.2413793103448276,3,1,3,1
trace-driven,trace,sample_trace,SecondChance,LocalAllocation,4,1,0,0.0053,0.0044,0.8301886792452831,2,0,2,0
trace-driven,trace,sample_trace,SecondChance,LocalAllocation,4,1,1,0.0049,0.006,1.2244897959183674,3,1,3,1
trace-driven,trace,sample_trace,SecondChance,ProportionalAllocation,4,0,0,0.0046,0.0051,1.108695652173913,2,0,2,0
trace-driven,trace,sample_trace,SecondChance,ProportionalAllocation,4,0,1,0.005,0.0063,1.26,3,1,3,1
trace-driven,trace,sample_trace,SecondChance,ProportionalAllocation,4,1,0,0.0046,0.0044,0.9565217391304348,2,0,2,0
trace-driven,trace,sample_trace,SecondChance,ProportionalAllocation,4,1,1,0.005,0.0058,1.16,3,1,3,1
trace-driven,trace,sample_trace,WSClock,GlobalAllocation,4,0,0,0.0063,0.0074,1.1746031746031746,2,,,
trace-driven,trace,sample_trace,WSClock,GlobalAllocation,4,0,1,0.0067,0.0125,1.8656716417910448,3,,,
trace-driven,trace,sample_trace,WSClock,GlobalAllocation,4,1,0,0.0054,0.0191,3.537037037037037,2,,,
trace-driven,trace,sample_trace,WSClock,GlobalAllocation,4,1,1,0.0051,0.0119,2.3333333333333335,3,,,
trace-driven,trace,sample_trace,WSClock,LocalAllocation,4,0,0,0.0065,0.0048,0.7384615384615385,2,0,2,0
trace-driven,trace,sample_trace,WSClock,LocalAllocation,4,0,1,0.0048,0.0071,1.4791666666666667,3,1,3,1
trace-driven,trace,sample_trace,WSClock,LocalAllocation,4,1,0,0.0044,0.0041,0.9318181818181818,2,0,2,0
trace-driven,trace,sample_trace,WSClock,LocalAllocation,4,1,1,0.0044,0.0062,1.4090909090909092,3,1,3,1
trace-driven,trace,sample_trace,WSClock,ProportionalAllocation,4,0,0,0.0025,0.0029,1.16,2,0,2,0
trace-driven,trace,sample_trace,WSClock,ProportionalAllocation,4,0,1,0.0028,0.0043,1.5357142857142858,3,1,3,1
trace-driven,trace,sample_trace,WSClock,ProportionalAllocation,4,1,0,0.0025,0.0026,1.04,2,0,2,0
trace-driven,trace,sample_trace,WSClock,ProportionalAllocation,4,1,1,0.0027,0.0041,1.5185185185185186,3,1,3,1
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,5,0,0,0.0031,0.0036,1.1612903225806452,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,5,0,1,0.0034,0.0046,1.3529411764705883,3,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,5,1,0,0.0032,0.0031,0.96875,2,,,
trace-driven,trace,sample_trace,FIFO,GlobalAllocation,5,1,1,0.0033,0.0038,1.1515151515151516,3,,,
trace-driven,trace,sample_trace,FIFO,LocalAllocation,5,0,0,0.0049,0.0033,0.673469387755102,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,5,0,1,0.0031,0.0034,1.096774193548387,3,1,3,1
trace-driven,trace,sample_trace,FIFO,LocalAllocation,5,1,0,0.0032,0.0028,0.875,2,0,2,0
trace-driven,trace,sample_trace,FIFO,LocalAllocation,5,1,1,0.0029,0.0028,0.9655172413793104,3,1,3,1
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,5,0,0,0.0026,0.0027,1.0384615384615385,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,5,0,1,0.003,0.0022,0.7333333333333333,3,0,3,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,5,1,0,0.0026,0.0024,0.9230769230769231,2,0,2,0
trace-driven,trace,sample_trace,FIFO,ProportionalAllocation,5,1,1,0.0028,0.0021,0.75,3,0,3,0
