mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared_total,,trace-driven,FIFO,GlobalAllocation,4,0,21900,{'interleave': 'trace-order'},0.0219
shared,0,sample_trace,FIFO,GlobalAllocation,4,0,4000,{'interleave': 'trace-order'},0.004
shared,1,sample_trace,FIFO,GlobalAllocation,4,0,6200,{'interleave': 'trace-order'},0.0062
shared_total,,trace-driven,FIFO,GlobalAllocation,4,1,13700,{'interleave': 'trace-order'},0.0137
shared,0,sample_trace,FIFO,GlobalAllocation,4,1,3000,{'interleave': 'trace-order'},0.003
shared,1,sample_trace,FIFO,GlobalAllocation,4,1,4000,{'interleave': 'trace-order'},0.004
shared_total,,trace-driven,FIFO,LocalAllocation,4,0,12300,{'interleave': 'trace-order'},0.0123
shared,0,sample_trace,FIFO,LocalAllocation,4,0,2600,{'interleave': 'trace-order'},0.0026
shared,1,sample_trace,FIFO,LocalAllocation,4,0,3100,{'interleave': 'trace-order'},0.0031
shared_total,,trace-driven,FIFO,LocalAllocation,4,1,12200,{'interleave': 'trace-order'},0.0122
shared,0,sample_trace,FIFO,LocalAllocation,4,1,2500,{'interleave': 'trace-order'},0.0025
shared,1,sample_trace,FIFO,LocalAllocation,4,1,2400,{'interleave': 'trace-order'},0.0024
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,0,11800,{'interleave': 'trace-order'},0.0118
shared,0,sample_trace,FIFO,ProportionalAllocation,4,0,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,FIFO,ProportionalAllocation,4,0,3000,{'interleave': 'trace-order'},0.003
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,1,10100,{'interleave': 'trace-order'},0.0101
shared,0,sample_trace,FIFO,ProportionalAllocation,4,1,2400,{'interleave': 'trace-order'},0.0024
shared,1,sample_trace,FIFO,ProportionalAllocation,4,1,3000,{'interleave': 'trace-order'},0.003
shared_total,,trace-driven,LRU,GlobalAllocation,4,0,18300,{'interleave': 'trace-order'},0.0183
shared,0,sample_trace,LRU,GlobalAllocation,4,0,4500,{'interleave': 'trace-order'},0.0045
shared,1,sample_trace,LRU,GlobalAllocation,4,0,7000,{'interleave': 'trace-order'},0.007
shared_total,,trace-driven,LRU,GlobalAllocation,4,1,13700,{'interleave': 'trace-order'},0.0137
shared,0,sample_trace,LRU,GlobalAllocation,4,1,4200,{'interleave': 'trace-order'},0.0042
shared,1,sample_trace,LRU,GlobalAllocation,4,1,5000,{'interleave': 'trace-order'},0.005
shared_total,,trace-driven,LRU,LocalAllocation,4,0,12600,{'interleave': 'trace-order'},0.0126
shared,0,sample_trace,LRU,LocalAllocation,4,0,3300,{'interleave': 'trace-order'},0.0033
shared,1,sample_trace,LRU,LocalAllocation,4,0,3600,{'interleave': 'trace-order'},0.0036
shared_total,,trace-driven,LRU,LocalAllocation,4,1,10400,{'interleave': 'trace-order'},0.0104
shared,0,sample_trace,LRU,LocalAllocation,4,1,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,LRU,LocalAllocation,4,1,3200,{'interleave': 'trace-order'},0.0032
shared_total,,trace-driven,LRU,ProportionalAllocation,4,0,12400,{'interleave': 'trace-order'},0.0124
shared,0,sample_trace,LRU,ProportionalAllocation,4,0,3400,{'interleave': 'trace-order'},0.0034
shared,1,sample_trace,LRU,ProportionalAllocation,4,0,3400,{'interleave': 'trace-order'},0.0034
shared_total,,trace-driven,LRU,ProportionalAllocation,4,1,9700,{'interleave': 'trace-order'},0.0097
shared,0,sample_trace,LRU,ProportionalAllocation,4,1,2600,{'interleave': 'trace-order'},0.0026
shared,1,sample_trace,LRU,ProportionalAllocation,4,1,3000,{'interleave': 'trace-order'},0.003
shared_total,,trace-driven,NRU,GlobalAllocation,4,0,17700,{'interleave': 'trace-order'},0.0177
shared,0,sample_trace,NRU,GlobalAllocation,4,0,4100,{'interleave': 'trace-order'},0.0041
shared,1,sample_trace,NRU,GlobalAllocation,4,0,7100,{'interleave': 'trace-order'},0.0071
shared_total,,trace-driven,NRU,GlobalAllocation,4,1,15100,{'interleave': 'trace-order'},0.0151
shared,0,sample_trace,NRU,GlobalAllocation,4,1,4500,{'interleave': 'trace-order'},0.0045
shared,1,sample_trace,NRU,GlobalAllocation,4,1,6000,{'interleave': 'trace-order'},0.006
shared_total,,trace-driven,NRU,LocalAllocation,4,0,14800,{'interleave': 'trace-order'},0.0148
shared,0,sample_trace,NRU,LocalAllocation,4,0,3700,{'interleave': 'trace-order'},0.0037
shared,1,sample_trace,NRU,LocalAllocation,4,0,4800,{'interleave': 'trace-order'},0.0048
