config_label,workload_kind,workload_label,trace_name,algorithm,allocation_policy,total_frames,process_count,source_file_count,trial_count,page_fault_total,page_fault_rate_mean,page_fault_rate_median,page_fault_rate_std,page_fault_rate_ci_low,page_fault_rate_ci_high,page_faults_mean,page_faults_median,page_faults_std,page_faults_ci_low,page_faults_ci_high,page_faults_sum,page_replacements_mean,disk_reads_mean,disk_writes_mean,total_disk_io_mean,runtime_ms_mean,throughput_mean,worst_case_slowdown_mean,mean_slowdown_mean,aggregate_wss_mean,aggregate_wss_median,aggregate_wss_std,aggregate_wss_ci_low,aggregate_wss_ci_high,aggregate_wss_sum,memory_ratio_to_wss_mean,memory_ratio_to_wss_median,memory_ratio_to_wss_std,memory_ratio_to_wss_ci_low,memory_ratio_to_wss_ci_high,memory_ratio_to_wss_sum,fairness_jains_index_mean,fairness_variance_mean,fairness_cv_mean,fairness_max_ratio_mean,fairness_mean_mean,fairness_std_mean,fairness_min_mean,fairness_max_mean,outlier_trial_count,validation_issue_count,source_files
synthetic | high_locality | FIFO | GlobalAllocation | f1048 | p8,synthetic,high_locality,,FIFO,GlobalAllocation,1048,8,1,10,0.0,0.06546666666666667,0.06554166666666666,0.0010402991022884828,0.0648218826028989,0.06611145073043445,785.6,786.5,12.483589227461788,777.8625912347867,793.3374087652134,7856.0,0.0,785.6,0.0,785.6,5.97846,2017509.7269370921,3.137418286275786,3.0069933914781455,702.8,700.5,8.328265125462806,697.6380877961747,707.9619122038252,7028.0,1.4913840411312727,1.4960749949052374,0.017376714894726922,1.4806138416568055,1.5021542406057398,14.913840411312728,0.9990256906418319,0.009856954040288203,0.030683809929890865,1.1068685571583206,3.0069933914781455,0.0922506428678182,2.8349389391653417,3.137418286275786,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p8_f1048.json
synthetic | high_locality | FIFO | GlobalAllocation | f110 | p2,synthetic,high_locality,,FIFO,GlobalAllocation,110,2,1,10,0.0,0.06526666666666667,0.06516666666666666,0.002112397269033981,0.06395738927478636,0.06657594405854697,195.8,195.5,6.337191807101944,191.8721678243591,199.7278321756409,1958.0,85.8,195.8,60.0,255.8,1.43098,2097767.3857109994,3.1748897507747933,2.9053768337884587,134.2,133.5,3.4,132.09265816726378,136.3073418327362,1342.0,0.8201914992682949,0.8240740740740741,0.020505367236886073,0.8074821409818512,0.8329008575547386,8.20191499268295,0.9913035952591555,0.15013378005763375,0.09243417864313482,1.204324682996927,2.9053768337884587,0.2695129169863344,2.6358639168021245,3.1748897507747933,0,20,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f110.json
synthetic | high_locality | FIFO | GlobalAllocation | f138 | p2,synthetic,high_locality,,FIFO,GlobalAllocation,138,2,1,10,0.0,0.054966666666666664,0.05733333333333333,0.006139942091655987,0.0511610911312771,0.05877224220205623,164.9,172.0,18.41982627496796,153.48327339383133,176.3167266061687,1649.0,26.9,164.9,25.1,190.0,1.58199,2001410.6756291557,2.871181939460996,2.6542923983022684,134.2,133.5,3.4,132.09265816726378,136.3073418327362,1342.0,1.028967517263861,1.0338383838383838,0.025724915260820724,1.0130230495954136,1.0449119849323085,10.28967517263861,0.9929999528527692,0.10278034517620362,0.08110257056321366,1.1777144053020496,2.6542923983022684,0.21688954115872808,2.43740285714354,2.871181939460996,2,22,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f138.json
synthetic | high_locality | FIFO | GlobalAllocation | f166 | p2,synthetic,high_locality,,FIFO,GlobalAllocation,166,2,1,10,0.0,0.048,0.04816666666666666,0.0012995725793078618,0.04719451657027872,0.04880548342972128,144.0,144.5,3.898717737923586,141.58354971083617,146.41645028916383,1440.0,0.0,144.0,0.0,144.0,1.3529900000000001,2218725.7509882534,2.99520152039406,2.7406789212230067,134.2,133.5,3.4,132.09265816726378,136.3073418327362,1342.0,1.237743535259427,1.2436026936026936,0.030944463284755325,1.2185639582089758,1.2569231123098783,12.377435352594269,0.991278655098071,0.13230553099188733,0.09288806928936025,1.2052722684901418,2.7406789212230067,0.25452259917105335,2.4861563220519534,2.99520152039406,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f166.json
synthetic | high_locality | FIFO | GlobalAllocation | f207 | p2,synthetic,high_locality,,FIFO,GlobalAllocation,207,2,1,10,0.0,0.048,0.04816666666666666,0.0012995725793078618,0.04719451657027872,0.04880548342972128,144.0,144.5,3.898717737923586,141.58354971083617,146.41645028916383,1440.0,0.0,144.0,0.0,144.0,1.35216,2220028.3697254644,2.974683513177828,2.7326714939975507,134.2,133.5,3.4,132.09265816726378,136.3073418327362,1342.0,1.5434512758957915,1.5507575757575758,0.03858737289123108,1.5195345743931201,1.5673679773984628,15.434512758957915,0.9921269749380754,0.11838652895361608,0.08860817930277536,1.1946751904603983,2.7326714939975507,0.2420120191802772,2.4906594748172735,2.974683513177828,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f207.json
synthetic | high_locality | FIFO | GlobalAllocation | f236 | p4,synthetic,high_locality,,FIFO,GlobalAllocation,236,4,1,10,0.0,0.07493333333333334,0.07508333333333334,0.00224746771080501,0.07354033841430296,0.07632632825236371,449.6,450.5,13.484806264830059,441.2420304858178,457.95796951418225,4496.0,213.6,449.6,143.0,592.6,3.0145,1995695.4932597582,3.289306329662484,3.13710035806601,295.6,295.5,7.939773296511683,290.6788775264174,300.52112247358264,2956.0,0.7989494331546885,0.7986669415240844,0.021349597506541765,0.7857168155259778,0.8121820507833991,7.989494331546885,0.9967894351258025,0.040266832681566604,0.05136065624923044,1.144283151238715,3.13710035806601,0.16183456447290218,2.876505477048995,3.289306329662484,2,22,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p4_f236.json
synthetic | high_locality | FIFO | GlobalAllocation | f295 | p4,synthetic,high_locality,,FIFO,GlobalAllocation,295,4,1,10,0.0,0.06723333333333334,0.06791666666666667,0.002591867623505834,0.06562687713688381,0.06883978952978287,403.4,407.5,15.551205741035002,393.76126282130275,413.0387371786972,4034.0,108.4,403.4,92.7,496.1,2.88786,2078087.8493756428,3.0998218757668763,2.9896516394833292,295.6,295.5,7.939773296511683,290.6788775264174,300.52112247358264,2956.0,0.9986867914433606,0.9983336769051054,0.026686996883177206,0.9821460194074724,1.015227563479249,9.986867914433606,0.9978000596319747,0.0238775442801858,0.04446220798388261,1.120889624266117,2.9896516394833292,0.132862039514102,2.766038141349934,3.0998218757668763,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p4_f295.json
synthetic | high_locality | FIFO | GlobalAllocation | f354 | p4,synthetic,high_locality,,FIFO,GlobalAllocation,354,4,1,10,0.0,0.05418333333333333,0.05425,0.0009499999999999996,0.05359451723300998,0.054772149433656686,325.1,325.5,5.7,321.5671033980599,328.63289660194016,3251.0,0.0,325.1,0.0,325.1,3.04951,2053396.1526327678,3.2066949262697055,2.992038284263977,295.6,295.5,7.939773296511683,290.6788775264174,300.52112247358264,2956.0,1.1984241497320327,1.1980004122861265,0.03202439625981262,1.1785752232889668,1.2182730761750986,11.984241497320326,0.9901003878835656,0.1989777813234854,0.06582487867102005,1.2040713094522735,2.992038284263977,0.22450216821862903,2.6628037290825484,3.2066949262697055,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p4_f354.json
synthetic | high_locality | FIFO | GlobalAllocation | f442 | p4,synthetic,high_locality,,FIFO,GlobalAllocation,442,4,1,10,0.0,0.05418333333333333,0.05425,0.0009499999999999996,0.05359451723300998,0.054772149433656686,325.1,325.5,5.7,321.5671033980599,328.63289660194016,3251.0,0.0,325.1,0.0,325.1,2.85745,2105141.655048999,3.060919134090774,2.8702346287983938,295.6,295.5,7.939773296511683,290.6788775264174,300.52112247358264,2956.0,1.4963374976880182,1.4958084243798528,0.03998526312665868,1.4715543748410262,1.52112062053501,14.963374976880182,0.9895421930580053,0.0788530942417608,0.06903956700359538,1.2264604559339687,2.8702346287983938,0.19308559237147224,2.5592270040390286,3.060919134090774,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p4_f442.json
synthetic | high_locality | FIFO | GlobalAllocation | f559 | p8,synthetic,high_locality,,FIFO,GlobalAllocation,559,8,1,10,0.0,0.08985833333333333,0.08966666666666667,0.002248780533731312,0.08846452471822308,0.09125214194844358,1078.3,1076.0,26.985366404775757,1061.574296618677,1095.025703381323,10783.0,519.3,1078.3,334.7,1413.0,6.53961,1870737.1442417204,3.830667293316063,3.1245900282315677,702.8,700.5,8.328265125462806,697.6380877961747,707.9619122038252,7028.0,0.7954996936950205,0.7980018341145303,0.009268686666175896,0.789754902181445,0.801244485208596,7.954996936950205,0.9905671189453449,0.6248296342222417,0.10858424401513381,1.4945702925449023,3.1245900282315677,0.31567053075358786,2.842458450791284,3.830667293316063,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p8_f559.json
synthetic | high_locality | FIFO | GlobalAllocation | f699 | p8,synthetic,high_locality,,FIFO,GlobalAllocation,699,8,1,10,0.0,0.08126666666666667,0.08104166666666666,0.0019038703270501942,0.08008663561246136,0.08244669772087197,975.2,972.5,22.846443924602358,961.0396273495363,989.3603726504638,9752.0,276.2,975.2,226.9,1202.1,6.60552,1857694.1470164054,3.4925676078807464,3.2704281707429,702.8,700.5,8.328265125462806,697.6380877961747,707.9619122038252,7028.0,0.9947303862125569,0.9978591807621765,0.011590003541425701,0.9875468275936137,1.0019139448315002,9.947303862125569,0.9935566451588781,0.047956733118825694,0.0516150855551148,1.1978595905531506,3.2704281707429,0.16252275476317704,2.9777435533303023,3.4925676078807464,1,21,results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p8_f699.json
