source_file,trial,workload_kind,workload_label,trace_name,algorithm,allocation_policy,total_frames,process_count,page_faults,page_replacements,disk_reads,disk_writes,total_disk_io,page_fault_rate,runtime_ms,throughput,worst_case_slowdown,mean_slowdown,aggregate_wss,memory_ratio_to_wss,slowdown_mean,slowdown_median,fairness_jains_index,fairness_variance,fairness_cv,fairness_max_ratio,fairness_mean,fairness_std,fairness_min,fairness_max,outlier_flag
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f110.json,0,synthetic,high_locality,,FIFO,GlobalAllocation,110,2,197.0,87.0,197.0,63.0,260.0,0.06566666666666666,1.4741,2035140.0854758834,3.337479718766901,3.0535212948934345,132.0,0.8333333333333334,3.0535212948934345,3.0535212948934345,0.9914263046968222,0.16126477297740677,0.09299375915548565,1.2050564923762797,3.0535212948934345,0.2839584238734667,2.769562871019968,3.337479718766901,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f110.json,1,synthetic,high_locality,,FIFO,GlobalAllocation,110,2,196.0,86.0,196.0,59.0,255.0,0.06533333333333333,1.4188,2114462.92641669,3.203852327447833,2.9516244632302246,132.0,0.8333333333333334,2.9516244632302246,2.9516244632302246,0.9927505665699308,0.12723779097555254,0.08545391439857257,1.186877218642024,2.9516244632302246,0.25222786421760834,2.6993965990126165,3.203852327447833,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f110.json,2,synthetic,high_locality,,FIFO,GlobalAllocation,110,2,199.0,89.0,199.0,58.0,257.0,0.06633333333333333,1.4419,2080588.1129065815,3.27438370846731,2.995935023632562,130.0,0.8461538461538461,2.995935023632562,2.995935023632562,0.9914357343502886,0.15506734017240145,0.0929421641785574,1.2049310650503071,2.995935023632562,0.27844868483474783,2.7174863387978143,3.27438370846731,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f110.json,3,synthetic,high_locality,,FIFO,GlobalAllocation,110,2,189.0,79.0,189.0,60.0,249.0,0.063,1.3717,2187067.142961289,3.0818428184281843,2.820003586375245,135.0,0.8148148148148148,2.820003586375245,2.820003586375245,0.991452443049182,0.13711956688414617,0.09285067342396554,1.2047086862191108,2.820003586375245,0.26183923205293946,2.5581643543223054,3.0818428184281843,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f110.json,4,synthetic,high_locality,,FIFO,GlobalAllocation,110,2,205.0,95.0,205.0,68.0,273.0,0.06833333333333333,1.4312,2096143.096702068,3.252676659528908,2.945887201944905,136.0,0.8088235294117647,2.945887201944905,2.945887201944905,0.9892708859011631,0.18823954256937342,0.10414161729663557,1.2324957142944295,2.945887201944905,0.3067894575840029,2.6390977443609023,3.252676659528908,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f110.json,5,synthetic,high_locality,,FIFO,GlobalAllocation,110,2,186.0,76.0,186.0,52.0,238.0,0.062,1.4112,2125850.3401360544,3.198051948051948,2.963092826393662,136.0,0.8088235294117647,2.963092826393662,2.963092826393662,0.9937515553477136,0.11041157770086651,0.07929522813642373,1.1722489783037058,2.963092826393662,0.23495912165828603,2.728133704735376,3.198051948051948,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f110.json,6,synthetic,high_locality,,FIFO,GlobalAllocation,110,2,195.0,85.0,195.0,67.0,262.0,0.065,1.441,2081887.5780707842,3.1863874345549736,2.887620636310084,141.0,0.7801418439716312,2.887620636310084,2.887620636310084,0.9894084382572707,0.17852319946700512,0.10346469840535066,1.230810093526312,2.887620636310084,0.2987667982448896,2.5888538380651944,3.1863874345549736,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f110.json,7,synthetic,high_locality,,FIFO,GlobalAllocation,110,2,207.0,97.0,207.0,59.0,266.0,0.069,1.5041,1994548.2348248123,2.7890204520990314,2.6335641744467013,131.0,0.8396946564885496,2.6335641744467013,2.6335641744467013,0.9965276932090407,0.0483333085230368,0.059028854949012534,1.125463687721931,2.6335641744467013,0.15545627765233028,2.478107896794371,2.7890204520990314,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f110.json,8,synthetic,high_locality,,FIFO,GlobalAllocation,110,2,190.0,80.0,190.0,53.0,243.0,0.06333333333333334,1.4201,2112527.286810788,3.306504961411246,2.9521336740993362,138.0,0.7971014492753623,2.9521336740993362,2.9521336740993362,0.9857953099180853,0.2511580185422,0.12003903834741646,1.2728280993783652,2.9521336740993362,0.35437128731190964,2.597762386787427,3.306504961411246,False
results\raw\campaign_20260404_140330_266\synthetic_high_locality\multiproc_high_locality_FIFO_GlobalAllocation_p2_f110.json,9,synthetic,high_locality,,FIFO,GlobalAllocation,110,2,194.0,84.0,194.0,61.0,255.0,0.06466666666666666,1.3957,2149459.052805044,3.1186974789915967,2.850385456558433,131.0,0.8396946564885496,2.850385456558433,2.850385456558433,0.9912170212920576,0.14398268276434878,0.09413183813992809,1.2078267944568042,2.850385456558433,0.26831202243316343,2.58207343412527,3.1186974789915967,False
