workload_label,workload_kind,trace_name,algorithm,allocation_policy,memory_frames,repetition_id,process_id,t_isolated_ms,t_shared_ms,slowdown,page_faults,replacements,disk_reads,disk_writes
high_locality,synthetic,,FIFO,GlobalAllocation,110,0,0,0.1853,0.5132,2.769562871019968,98,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,0,1,0.1849,0.6171,3.337479718766901,99,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,1,0,0.1823,0.4921,2.6993965990126165,94,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,1,1,0.1869,0.5988,3.203852327447833,102,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,2,0,0.183,0.4973,2.7174863387978143,96,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,2,1,0.1866,0.611,3.27438370846731,103,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,3,0,0.1874,0.4794,2.5581643543223054,91,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,3,1,0.1845,0.5686,3.0818428184281843,98,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,4,0,0.1862,0.4914,2.6390977443609023,89,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,4,1,0.1868,0.6076,3.252676659528908,116,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,5,0,0.1795,0.4897,2.728133704735376,90,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,5,1,0.1848,0.591,3.198051948051948,96,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,6,0,0.1902,0.4924,2.5888538380651944,97,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,6,1,0.191,0.6086,3.1863874345549736,98,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,7,0,0.1858,0.5182,2.7890204520990314,96,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,7,1,0.2558,0.6339,2.478107896794371,111,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,8,0,0.1877,0.4876,2.597762386787427,87,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,8,1,0.1814,0.5998,3.306504961411246,103,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,9,0,0.1852,0.4782,2.58207343412527,88,,,
high_locality,synthetic,,FIFO,GlobalAllocation,110,9,1,0.1904,0.5938,3.1186974789915967,106,,,
high_locality,synthetic,,FIFO,LocalAllocation,110,0,0,0.1816,0.3708,2.041850220264317,97,42,97,28
high_locality,synthetic,,FIFO,LocalAllocation,110,0,1,0.1833,0.3711,2.0245499181669393,100,45,100,35
high_locality,synthetic,,FIFO,LocalAllocation,110,1,0,0.1854,0.3544,1.9115426105717368,90,35,90,28
high_locality,synthetic,,FIFO,LocalAllocation,110,1,1,0.1867,0.3625,1.9416175682913765,104,49,104,30
high_locality,synthetic,,FIFO,LocalAllocation,110,2,0,0.1817,0.3695,2.033571821684095,95,40,95,28
high_locality,synthetic,,FIFO,LocalAllocation,110,2,1,0.1929,0.3769,1.9538621047174702,106,51,106,32
high_locality,synthetic,,FIFO,LocalAllocation,110,3,0,0.1859,0.3654,1.9655728886498118,90,35,90,25
high_locality,synthetic,,FIFO,LocalAllocation,110,3,1,0.1896,0.3614,1.9061181434599157,98,43,98,31
high_locality,synthetic,,FIFO,LocalAllocation,110,4,0,0.1822,0.3703,2.0323819978046105,86,31,86,24
high_locality,synthetic,,FIFO,LocalAllocation,110,4,1,0.1865,0.4357,2.336193029490617,142,87,142,62
high_locality,synthetic,,FIFO,LocalAllocation,110,5,0,0.1803,0.3513,1.9484193011647255,88,33,88,25
high_locality,synthetic,,FIFO,LocalAllocation,110,5,1,0.1828,0.3555,1.9447483588621444,98,43,98,28
high_locality,synthetic,,FIFO,LocalAllocation,110,6,0,0.1858,0.3605,1.9402583423035522,96,41,96,35
high_locality,synthetic,,FIFO,LocalAllocation,110,6,1,0.1841,0.3597,1.9538294405214558,98,43,98,33
high_locality,synthetic,,FIFO,LocalAllocation,110,7,0,0.1827,0.3643,1.9939792008757526,93,38,93,28
high_locality,synthetic,,FIFO,LocalAllocation,110,7,1,0.2159,0.3754,1.7387679481241316,115,60,115,39
high_locality,synthetic,,FIFO,LocalAllocation,110,8,0,0.1842,0.5125,2.7823018458197613,88,33,88,26
high_locality,synthetic,,FIFO,LocalAllocation,110,8,1,0.1834,0.5176,2.822246455834242,100,45,100,27
high_locality,synthetic,,FIFO,LocalAllocation,110,9,0,0.1846,0.3638,1.970747562296858,81,26,81,23
high_locality,synthetic,,FIFO,LocalAllocation,110,9,1,0.188,0.3854,2.05,113,58,113,37
high_locality,synthetic,,FIFO,ProportionalAllocation,110,0,0,0.1826,0.3975,2.1768893756845564,100,49,100,30
high_locality,synthetic,,FIFO,ProportionalAllocation,110,0,1,0.1844,0.384,2.0824295010845986,99,40,99,32
high_locality,synthetic,,FIFO,ProportionalAllocation,110,1,0,0.1867,0.3749,2.00803427959293,96,46,96,32
high_locality,synthetic,,FIFO,ProportionalAllocation,110,1,1,0.1824,0.377,2.066885964912281,102,42,102,27
high_locality,synthetic,,FIFO,ProportionalAllocation,110,2,0,0.1812,0.3691,2.0369757174392937,102,52,102,33
high_locality,synthetic,,FIFO,ProportionalAllocation,110,2,1,0.1855,0.3686,1.9870619946091643,104,44,104,30
high_locality,synthetic,,FIFO,ProportionalAllocation,110,3,0,0.1841,0.3655,1.9853340575774037,94,42,94,30
high_locality,synthetic,,FIFO,ProportionalAllocation,110,3,1,0.1913,0.3618,1.891270256142185,97,39,97,32
high_locality,synthetic,,FIFO,ProportionalAllocation,110,4,0,0.1835,0.361,1.9673024523160763,88,37,88,28
high_locality,synthetic,,FIFO,ProportionalAllocation,110,4,1,0.1967,0.3814,1.9389933909506862,117,58,117,43
high_locality,synthetic,,FIFO,ProportionalAllocation,110,5,0,0.1808,0.3726,2.060840707964602,89,38,89,26
high_locality,synthetic,,FIFO,ProportionalAllocation,110,5,1,0.1828,0.3769,2.0618161925601752,96,37,96,26
high_locality,synthetic,,FIFO,ProportionalAllocation,110,6,0,0.1954,0.3701,1.8940634595701127,102,51,102,35
high_locality,synthetic,,FIFO,ProportionalAllocation,110,6,1,0.1906,0.3611,1.8945435466946485,98,39,98,30
high_locality,synthetic,,FIFO,ProportionalAllocation,110,7,0,0.1827,0.3538,1.9365079365079365,97,46,97,28
high_locality,synthetic,,FIFO,ProportionalAllocation,110,7,1,0.1853,0.3604,1.944954128440367,109,50,109,32
high_locality,synthetic,,FIFO,ProportionalAllocation,110,8,0,0.18,0.4159,2.3105555555555557,94,42,94,30
