mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
isolation,0,high_locality,FIFO,GlobalAllocation,110,0,185300,{'trace_kind': 'synthetic'},0.1853
isolation,1,high_locality,FIFO,GlobalAllocation,110,0,184900,{'trace_kind': 'synthetic'},0.1849
isolation,0,high_locality,FIFO,GlobalAllocation,110,1,182300,{'trace_kind': 'synthetic'},0.1823
isolation,1,high_locality,FIFO,GlobalAllocation,110,1,186900,{'trace_kind': 'synthetic'},0.1869
isolation,0,high_locality,FIFO,GlobalAllocation,110,2,183000,{'trace_kind': 'synthetic'},0.183
isolation,1,high_locality,FIFO,GlobalAllocation,110,2,186600,{'trace_kind': 'synthetic'},0.1866
isolation,0,high_locality,FIFO,GlobalAllocation,110,3,187400,{'trace_kind': 'synthetic'},0.1874
isolation,1,high_locality,FIFO,GlobalAllocation,110,3,184500,{'trace_kind': 'synthetic'},0.1845
isolation,0,high_locality,FIFO,GlobalAllocation,110,4,186200,{'trace_kind': 'synthetic'},0.1862
isolation,1,high_locality,FIFO,GlobalAllocation,110,4,186800,{'trace_kind': 'synthetic'},0.1868
isolation,0,high_locality,FIFO,GlobalAllocation,110,5,179500,{'trace_kind': 'synthetic'},0.1795
isolation,1,high_locality,FIFO,GlobalAllocation,110,5,184800,{'trace_kind': 'synthetic'},0.1848
isolation,0,high_locality,FIFO,GlobalAllocation,110,6,190200,{'trace_kind': 'synthetic'},0.1902
isolation,1,high_locality,FIFO,GlobalAllocation,110,6,191000,{'trace_kind': 'synthetic'},0.191
isolation,0,high_locality,FIFO,GlobalAllocation,110,7,185800,{'trace_kind': 'synthetic'},0.1858
isolation,1,high_locality,FIFO,GlobalAllocation,110,7,255800,{'trace_kind': 'synthetic'},0.2558
isolation,0,high_locality,FIFO,GlobalAllocation,110,8,187700,{'trace_kind': 'synthetic'},0.1877
isolation,1,high_locality,FIFO,GlobalAllocation,110,8,181400,{'trace_kind': 'synthetic'},0.1814
isolation,0,high_locality,FIFO,GlobalAllocation,110,9,185200,{'trace_kind': 'synthetic'},0.1852
isolation,1,high_locality,FIFO,GlobalAllocation,110,9,190400,{'trace_kind': 'synthetic'},0.1904
isolation,0,high_locality,FIFO,LocalAllocation,110,0,181600,{'trace_kind': 'synthetic'},0.1816
isolation,1,high_locality,FIFO,LocalAllocation,110,0,183300,{'trace_kind': 'synthetic'},0.1833
isolation,0,high_locality,FIFO,LocalAllocation,110,1,185400,{'trace_kind': 'synthetic'},0.1854
isolation,1,high_locality,FIFO,LocalAllocation,110,1,186700,{'trace_kind': 'synthetic'},0.1867
isolation,0,high_locality,FIFO,LocalAllocation,110,2,181700,{'trace_kind': 'synthetic'},0.1817
isolation,1,high_locality,FIFO,LocalAllocation,110,2,192900,{'trace_kind': 'synthetic'},0.1929
isolation,0,high_locality,FIFO,LocalAllocation,110,3,185900,{'trace_kind': 'synthetic'},0.1859
isolation,1,high_locality,FIFO,LocalAllocation,110,3,189600,{'trace_kind': 'synthetic'},0.1896
isolation,0,high_locality,FIFO,LocalAllocation,110,4,182200,{'trace_kind': 'synthetic'},0.1822
isolation,1,high_locality,FIFO,LocalAllocation,110,4,186500,{'trace_kind': 'synthetic'},0.1865
isolation,0,high_locality,FIFO,LocalAllocation,110,5,180300,{'trace_kind': 'synthetic'},0.1803
isolation,1,high_locality,FIFO,LocalAllocation,110,5,182800,{'trace_kind': 'synthetic'},0.1828
isolation,0,high_locality,FIFO,LocalAllocation,110,6,185800,{'trace_kind': 'synthetic'},0.1858
isolation,1,high_locality,FIFO,LocalAllocation,110,6,184100,{'trace_kind': 'synthetic'},0.1841
isolation,0,high_locality,FIFO,LocalAllocation,110,7,182700,{'trace_kind': 'synthetic'},0.1827
isolation,1,high_locality,FIFO,LocalAllocation,110,7,215900,{'trace_kind': 'synthetic'},0.2159
isolation,0,high_locality,FIFO,LocalAllocation,110,8,184200,{'trace_kind': 'synthetic'},0.1842
isolation,1,high_locality,FIFO,LocalAllocation,110,8,183400,{'trace_kind': 'synthetic'},0.1834
isolation,0,high_locality,FIFO,LocalAllocation,110,9,184600,{'trace_kind': 'synthetic'},0.1846
isolation,1,high_locality,FIFO,LocalAllocation,110,9,188000,{'trace_kind': 'synthetic'},0.188
