mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared_total,,high_locality,FIFO,GlobalAllocation,110,0,1474100,{'interleave': 'random'},1.4741
shared,0,high_locality,FIFO,GlobalAllocation,110,0,513200,{'interleave': 'random'},0.5132
shared,1,high_locality,FIFO,GlobalAllocation,110,0,617100,{'interleave': 'random'},0.6171
shared_total,,high_locality,FIFO,GlobalAllocation,110,1,1418800,{'interleave': 'random'},1.4188
shared,0,high_locality,FIFO,GlobalAllocation,110,1,492100,{'interleave': 'random'},0.4921
shared,1,high_locality,FIFO,GlobalAllocation,110,1,598800,{'interleave': 'random'},0.5988
shared_total,,high_locality,FIFO,GlobalAllocation,110,2,1441900,{'interleave': 'random'},1.4419
shared,0,high_locality,FIFO,GlobalAllocation,110,2,497300,{'interleave': 'random'},0.4973
shared,1,high_locality,FIFO,GlobalAllocation,110,2,611000,{'interleave': 'random'},0.611
shared_total,,high_locality,FIFO,GlobalAllocation,110,3,1371700,{'interleave': 'random'},1.3717
shared,0,high_locality,FIFO,GlobalAllocation,110,3,479400,{'interleave': 'random'},0.4794
shared,1,high_locality,FIFO,GlobalAllocation,110,3,568600,{'interleave': 'random'},0.5686
shared_total,,high_locality,FIFO,GlobalAllocation,110,4,1431200,{'interleave': 'random'},1.4312
shared,0,high_locality,FIFO,GlobalAllocation,110,4,491400,{'interleave': 'random'},0.4914
shared,1,high_locality,FIFO,GlobalAllocation,110,4,607600,{'interleave': 'random'},0.6076
shared_total,,high_locality,FIFO,GlobalAllocation,110,5,1411200,{'interleave': 'random'},1.4112
shared,0,high_locality,FIFO,GlobalAllocation,110,5,489700,{'interleave': 'random'},0.4897
shared,1,high_locality,FIFO,GlobalAllocation,110,5,591000,{'interleave': 'random'},0.591
shared_total,,high_locality,FIFO,GlobalAllocation,110,6,1441000,{'interleave': 'random'},1.441
shared,0,high_locality,FIFO,GlobalAllocation,110,6,492400,{'interleave': 'random'},0.4924
shared,1,high_locality,FIFO,GlobalAllocation,110,6,608600,{'interleave': 'random'},0.6086
shared_total,,high_locality,FIFO,GlobalAllocation,110,7,1504100,{'interleave': 'random'},1.5041
shared,0,high_locality,FIFO,GlobalAllocation,110,7,518200,{'interleave': 'random'},0.5182
shared,1,high_locality,FIFO,GlobalAllocation,110,7,633900,{'interleave': 'random'},0.6339
