workload_label,workload_kind,trace_name,algorithm,allocation_policy,memory_frames,repetition_id,process_id,t_isolated_ms,t_shared_ms,slowdown,page_faults,replacements,disk_reads,disk_writes
mixed,synthetic,,FIFO,GlobalAllocation,158,0,0,0.1934,0.575,2.9731127197518097,157,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,0,1,0.1874,0.7314,3.902881536819637,263,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,1,0,0.1906,0.5297,2.779118572927597,148,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,1,1,0.1882,0.657,3.4909670563230604,235,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,2,0,0.1906,0.5336,2.799580272822665,156,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,2,1,0.1855,0.6642,3.5805929919137465,255,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,3,0,0.1913,0.5427,2.8369053842132774,147,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,3,1,0.1865,0.6764,3.626809651474531,262,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,4,0,0.1903,0.5117,2.6889122438255386,138,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,4,1,0.1916,0.6532,3.4091858037578286,236,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,5,0,0.1935,0.5278,2.7276485788113694,146,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,5,1,0.1875,0.6673,3.5589333333333335,255,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,6,0,0.1963,0.5288,2.693835965359144,152,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,6,1,0.187,0.6836,3.655614973262032,276,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,7,0,0.1923,0.5195,2.701508060322413,155,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,7,1,0.1895,0.6688,3.529287598944591,269,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,8,0,0.1905,0.5193,2.725984251968504,145,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,8,1,0.1877,0.6512,3.4693660095897707,244,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,9,0,0.1906,0.5222,2.739769150052466,139,,,
mixed,synthetic,,FIFO,GlobalAllocation,158,9,1,0.1868,0.6501,3.4801927194860816,231,,,
mixed,synthetic,,FIFO,LocalAllocation,158,0,0,0.1891,0.3731,1.973030142781597,116,37,116,29
mixed,synthetic,,FIFO,LocalAllocation,158,0,1,0.1878,0.6233,3.3189563365282213,549,470,549,190
mixed,synthetic,,FIFO,LocalAllocation,158,1,0,0.1938,0.369,1.9040247678018576,113,34,113,27
mixed,synthetic,,FIFO,LocalAllocation,158,1,1,0.184,0.5787,3.145108695652174,475,396,475,213
mixed,synthetic,,FIFO,LocalAllocation,158,2,0,0.2161,0.643,2.975474317445627,124,45,124,33
mixed,synthetic,,FIFO,LocalAllocation,158,2,1,0.2157,1.0154,4.707464070468243,542,463,542,203
mixed,synthetic,,FIFO,LocalAllocation,158,3,0,0.2248,0.3687,1.6401245551601424,113,34,113,23
mixed,synthetic,,FIFO,LocalAllocation,158,3,1,0.1863,0.609,3.2689210950080514,536,457,536,222
mixed,synthetic,,FIFO,LocalAllocation,158,4,0,0.1853,0.3566,1.9244468429573665,92,13,92,13
mixed,synthetic,,FIFO,LocalAllocation,158,4,1,0.1848,0.5898,3.1915584415584415,495,416,495,202
mixed,synthetic,,FIFO,LocalAllocation,158,5,0,0.1876,0.3733,1.9898720682302773,113,34,113,27
mixed,synthetic,,FIFO,LocalAllocation,158,5,1,0.1874,0.6037,3.22145144076841,511,432,511,202
mixed,synthetic,,FIFO,LocalAllocation,158,6,0,0.1903,0.3691,1.9395691014188123,114,35,114,31
mixed,synthetic,,FIFO,LocalAllocation,158,6,1,0.1833,0.6344,3.4609929078014185,555,476,555,212
mixed,synthetic,,FIFO,LocalAllocation,158,7,0,0.1904,0.3735,1.9616596638655461,121,42,121,30
mixed,synthetic,,FIFO,LocalAllocation,158,7,1,0.1858,0.6233,3.3546824542518836,554,475,554,223
mixed,synthetic,,FIFO,LocalAllocation,158,8,0,0.1916,0.367,1.9154488517745303,113,34,113,27
mixed,synthetic,,FIFO,LocalAllocation,158,8,1,0.186,0.5783,3.1091397849462368,483,404,483,200
mixed,synthetic,,FIFO,LocalAllocation,158,9,0,0.1906,0.3664,1.9223504721930744,109,30,109,27
mixed,synthetic,,FIFO,LocalAllocation,158,9,1,0.19,0.5687,2.993157894736842,466,387,466,197
mixed,synthetic,,FIFO,ProportionalAllocation,158,0,0,0.1942,0.3785,1.9490216271884655,129,61,129,37
