mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
isolation,0,high_locality,FIFO,GlobalAllocation,158,0,193400,{'trace_kind': 'synthetic'},0.1934
isolation,1,streaming,FIFO,GlobalAllocation,158,0,187400,{'trace_kind': 'synthetic'},0.1874
isolation,0,high_locality,FIFO,GlobalAllocation,158,1,190600,{'trace_kind': 'synthetic'},0.1906
isolation,1,streaming,FIFO,GlobalAllocation,158,1,188200,{'trace_kind': 'synthetic'},0.1882
isolation,0,high_locality,FIFO,GlobalAllocation,158,2,190600,{'trace_kind': 'synthetic'},0.1906
isolation,1,streaming,FIFO,GlobalAllocation,158,2,185500,{'trace_kind': 'synthetic'},0.1855
isolation,0,high_locality,FIFO,GlobalAllocation,158,3,191300,{'trace_kind': 'synthetic'},0.1913
isolation,1,streaming,FIFO,GlobalAllocation,158,3,186500,{'trace_kind': 'synthetic'},0.1865
isolation,0,high_locality,FIFO,GlobalAllocation,158,4,190300,{'trace_kind': 'synthetic'},0.1903
isolation,1,streaming,FIFO,GlobalAllocation,158,4,191600,{'trace_kind': 'synthetic'},0.1916
isolation,0,high_locality,FIFO,GlobalAllocation,158,5,193500,{'trace_kind': 'synthetic'},0.1935
isolation,1,streaming,FIFO,GlobalAllocation,158,5,187500,{'trace_kind': 'synthetic'},0.1875
isolation,0,high_locality,FIFO,GlobalAllocation,158,6,196300,{'trace_kind': 'synthetic'},0.1963
isolation,1,streaming,FIFO,GlobalAllocation,158,6,187000,{'trace_kind': 'synthetic'},0.187
isolation,0,high_locality,FIFO,GlobalAllocation,158,7,192300,{'trace_kind': 'synthetic'},0.1923
isolation,1,streaming,FIFO,GlobalAllocation,158,7,189500,{'trace_kind': 'synthetic'},0.1895
isolation,0,high_locality,FIFO,GlobalAllocation,158,8,190500,{'trace_kind': 'synthetic'},0.1905
isolation,1,streaming,FIFO,GlobalAllocation,158,8,187700,{'trace_kind': 'synthetic'},0.1877
isolation,0,high_locality,FIFO,GlobalAllocation,158,9,190600,{'trace_kind': 'synthetic'},0.1906
isolation,1,streaming,FIFO,GlobalAllocation,158,9,186800,{'trace_kind': 'synthetic'},0.1868
isolation,0,high_locality,FIFO,LocalAllocation,158,0,189100,{'trace_kind': 'synthetic'},0.1891
isolation,1,streaming,FIFO,LocalAllocation,158,0,187800,{'trace_kind': 'synthetic'},0.1878
isolation,0,high_locality,FIFO,LocalAllocation,158,1,193800,{'trace_kind': 'synthetic'},0.1938
isolation,1,streaming,FIFO,LocalAllocation,158,1,184000,{'trace_kind': 'synthetic'},0.184
isolation,0,high_locality,FIFO,LocalAllocation,158,2,216100,{'trace_kind': 'synthetic'},0.2161
isolation,1,streaming,FIFO,LocalAllocation,158,2,215700,{'trace_kind': 'synthetic'},0.2157
isolation,0,high_locality,FIFO,LocalAllocation,158,3,224800,{'trace_kind': 'synthetic'},0.2248
isolation,1,streaming,FIFO,LocalAllocation,158,3,186300,{'trace_kind': 'synthetic'},0.1863
isolation,0,high_locality,FIFO,LocalAllocation,158,4,185300,{'trace_kind': 'synthetic'},0.1853
isolation,1,streaming,FIFO,LocalAllocation,158,4,184800,{'trace_kind': 'synthetic'},0.1848
isolation,0,high_locality,FIFO,LocalAllocation,158,5,187600,{'trace_kind': 'synthetic'},0.1876
isolation,1,streaming,FIFO,LocalAllocation,158,5,187400,{'trace_kind': 'synthetic'},0.1874
isolation,0,high_locality,FIFO,LocalAllocation,158,6,190300,{'trace_kind': 'synthetic'},0.1903
isolation,1,streaming,FIFO,LocalAllocation,158,6,183300,{'trace_kind': 'synthetic'},0.1833
isolation,0,high_locality,FIFO,LocalAllocation,158,7,190400,{'trace_kind': 'synthetic'},0.1904
isolation,1,streaming,FIFO,LocalAllocation,158,7,185800,{'trace_kind': 'synthetic'},0.1858
isolation,0,high_locality,FIFO,LocalAllocation,158,8,191600,{'trace_kind': 'synthetic'},0.1916
isolation,1,streaming,FIFO,LocalAllocation,158,8,186000,{'trace_kind': 'synthetic'},0.186
isolation,0,high_locality,FIFO,LocalAllocation,158,9,190600,{'trace_kind': 'synthetic'},0.1906
isolation,1,streaming,FIFO,LocalAllocation,158,9,190000,{'trace_kind': 'synthetic'},0.19
isolation,0,high_locality,FIFO,ProportionalAllocation,158,0,194200,{'trace_kind': 'synthetic'},0.1942
isolation,1,streaming,FIFO,ProportionalAllocation,158,0,182900,{'trace_kind': 'synthetic'},0.1829
isolation,0,high_locality,FIFO,ProportionalAllocation,158,1,199100,{'trace_kind': 'synthetic'},0.1991
isolation,1,streaming,FIFO,ProportionalAllocation,158,1,194300,{'trace_kind': 'synthetic'},0.1943
isolation,0,high_locality,FIFO,ProportionalAllocation,158,2,190500,{'trace_kind': 'synthetic'},0.1905
isolation,1,streaming,FIFO,ProportionalAllocation,158,2,184000,{'trace_kind': 'synthetic'},0.184
isolation,0,high_locality,FIFO,ProportionalAllocation,158,3,192200,{'trace_kind': 'synthetic'},0.1922
isolation,1,streaming,FIFO,ProportionalAllocation,158,3,188700,{'trace_kind': 'synthetic'},0.1887
isolation,0,high_locality,FIFO,ProportionalAllocation,158,4,190100,{'trace_kind': 'synthetic'},0.1901
isolation,1,streaming,FIFO,ProportionalAllocation,158,4,189700,{'trace_kind': 'synthetic'},0.1897
isolation,0,high_locality,FIFO,ProportionalAllocation,158,5,192900,{'trace_kind': 'synthetic'},0.1929
isolation,1,streaming,FIFO,ProportionalAllocation,158,5,189600,{'trace_kind': 'synthetic'},0.1896
isolation,0,high_locality,FIFO,ProportionalAllocation,158,6,194500,{'trace_kind': 'synthetic'},0.1945
isolation,1,streaming,FIFO,ProportionalAllocation,158,6,189200,{'trace_kind': 'synthetic'},0.1892
isolation,0,high_locality,FIFO,ProportionalAllocation,158,7,192000,{'trace_kind': 'synthetic'},0.192
isolation,1,streaming,FIFO,ProportionalAllocation,158,7,189000,{'trace_kind': 'synthetic'},0.189
isolation,0,high_locality,FIFO,ProportionalAllocation,158,8,201600,{'trace_kind': 'synthetic'},0.2016
isolation,1,streaming,FIFO,ProportionalAllocation,158,8,186300,{'trace_kind': 'synthetic'},0.1863
isolation,0,high_locality,FIFO,ProportionalAllocation,158,9,193100,{'trace_kind': 'synthetic'},0.1931
isolation,1,streaming,FIFO,ProportionalAllocation,158,9,314300,{'trace_kind': 'synthetic'},0.3143
isolation,0,high_locality,LRU,GlobalAllocation,158,0,310500,{'trace_kind': 'synthetic'},0.3105
isolation,1,streaming,LRU,GlobalAllocation,158,0,313700,{'trace_kind': 'synthetic'},0.3137
isolation,0,high_locality,LRU,GlobalAllocation,158,1,355000,{'trace_kind': 'synthetic'},0.355
isolation,1,streaming,LRU,GlobalAllocation,158,1,310900,{'trace_kind': 'synthetic'},0.3109
isolation,0,high_locality,LRU,GlobalAllocation,158,2,313100,{'trace_kind': 'synthetic'},0.3131
isolation,1,streaming,LRU,GlobalAllocation,158,2,316200,{'trace_kind': 'synthetic'},0.3162
isolation,0,high_locality,LRU,GlobalAllocation,158,3,318000,{'trace_kind': 'synthetic'},0.318
isolation,1,streaming,LRU,GlobalAllocation,158,3,308300,{'trace_kind': 'synthetic'},0.3083
isolation,0,high_locality,LRU,GlobalAllocation,158,4,308200,{'trace_kind': 'synthetic'},0.3082
isolation,1,streaming,LRU,GlobalAllocation,158,4,312000,{'trace_kind': 'synthetic'},0.312
isolation,0,high_locality,LRU,GlobalAllocation,158,5,310900,{'trace_kind': 'synthetic'},0.3109
isolation,1,streaming,LRU,GlobalAllocation,158,5,309700,{'trace_kind': 'synthetic'},0.3097
isolation,0,high_locality,LRU,GlobalAllocation,158,6,310500,{'trace_kind': 'synthetic'},0.3105
isolation,1,streaming,LRU,GlobalAllocation,158,6,316800,{'trace_kind': 'synthetic'},0.3168
isolation,0,high_locality,LRU,GlobalAllocation,158,7,311000,{'trace_kind': 'synthetic'},0.311
isolation,1,streaming,LRU,GlobalAllocation,158,7,311800,{'trace_kind': 'synthetic'},0.3118
isolation,0,high_locality,LRU,GlobalAllocation,158,8,312100,{'trace_kind': 'synthetic'},0.3121
isolation,1,streaming,LRU,GlobalAllocation,158,8,328600,{'trace_kind': 'synthetic'},0.3286
isolation,0,high_locality,LRU,GlobalAllocation,158,9,309900,{'trace_kind': 'synthetic'},0.3099
isolation,1,streaming,LRU,GlobalAllocation,158,9,312800,{'trace_kind': 'synthetic'},0.3128
isolation,0,high_locality,LRU,LocalAllocation,158,0,314800,{'trace_kind': 'synthetic'},0.3148
isolation,1,streaming,LRU,LocalAllocation,158,0,305700,{'trace_kind': 'synthetic'},0.3057
isolation,0,high_locality,LRU,LocalAllocation,158,1,320600,{'trace_kind': 'synthetic'},0.3206
isolation,1,streaming,LRU,LocalAllocation,158,1,311700,{'trace_kind': 'synthetic'},0.3117
isolation,0,high_locality,LRU,LocalAllocation,158,2,314400,{'trace_kind': 'synthetic'},0.3144
isolation,1,streaming,LRU,LocalAllocation,158,2,340700,{'trace_kind': 'synthetic'},0.3407
isolation,0,high_locality,LRU,LocalAllocation,158,3,311500,{'trace_kind': 'synthetic'},0.3115
isolation,1,streaming,LRU,LocalAllocation,158,3,305700,{'trace_kind': 'synthetic'},0.3057
isolation,0,high_locality,LRU,LocalAllocation,158,4,309200,{'trace_kind': 'synthetic'},0.3092
isolation,1,streaming,LRU,LocalAllocation,158,4,305300,{'trace_kind': 'synthetic'},0.3053
isolation,0,high_locality,LRU,LocalAllocation,158,5,310600,{'trace_kind': 'synthetic'},0.3106
isolation,1,streaming,LRU,LocalAllocation,158,5,312100,{'trace_kind': 'synthetic'},0.3121
isolation,0,high_locality,LRU,LocalAllocation,158,6,615100,{'trace_kind': 'synthetic'},0.6151
isolation,1,streaming,LRU,LocalAllocation,158,6,688000,{'trace_kind': 'synthetic'},0.688
isolation,0,high_locality,LRU,LocalAllocation,158,7,317500,{'trace_kind': 'synthetic'},0.3175
isolation,1,streaming,LRU,LocalAllocation,158,7,321500,{'trace_kind': 'synthetic'},0.3215
isolation,0,high_locality,LRU,LocalAllocation,158,8,315700,{'trace_kind': 'synthetic'},0.3157
isolation,1,streaming,LRU,LocalAllocation,158,8,312700,{'trace_kind': 'synthetic'},0.3127
isolation,0,high_locality,LRU,LocalAllocation,158,9,312500,{'trace_kind': 'synthetic'},0.3125
isolation,1,streaming,LRU,LocalAllocation,158,9,309300,{'trace_kind': 'synthetic'},0.3093
isolation,0,high_locality,LRU,ProportionalAllocation,158,0,312500,{'trace_kind': 'synthetic'},0.3125
isolation,1,streaming,LRU,ProportionalAllocation,158,0,309200,{'trace_kind': 'synthetic'},0.3092
isolation,0,high_locality,LRU,ProportionalAllocation,158,1,309300,{'trace_kind': 'synthetic'},0.3093
isolation,1,streaming,LRU,ProportionalAllocation,158,1,310000,{'trace_kind': 'synthetic'},0.31
isolation,0,high_locality,LRU,ProportionalAllocation,158,2,312700,{'trace_kind': 'synthetic'},0.3127
isolation,1,streaming,LRU,ProportionalAllocation,158,2,306900,{'trace_kind': 'synthetic'},0.3069
isolation,0,high_locality,LRU,ProportionalAllocation,158,3,309600,{'trace_kind': 'synthetic'},0.3096
isolation,1,streaming,LRU,ProportionalAllocation,158,3,311400,{'trace_kind': 'synthetic'},0.3114
isolation,0,high_locality,LRU,ProportionalAllocation,158,4,304000,{'trace_kind': 'synthetic'},0.304
isolation,1,streaming,LRU,ProportionalAllocation,158,4,310100,{'trace_kind': 'synthetic'},0.3101
isolation,0,high_locality,LRU,ProportionalAllocation,158,5,311800,{'trace_kind': 'synthetic'},0.3118
isolation,1,streaming,LRU,ProportionalAllocation,158,5,306900,{'trace_kind': 'synthetic'},0.3069
isolation,0,high_locality,LRU,ProportionalAllocation,158,6,309700,{'trace_kind': 'synthetic'},0.3097
isolation,1,streaming,LRU,ProportionalAllocation,158,6,308000,{'trace_kind': 'synthetic'},0.308
isolation,0,high_locality,LRU,ProportionalAllocation,158,7,308100,{'trace_kind': 'synthetic'},0.3081
isolation,1,streaming,LRU,ProportionalAllocation,158,7,310100,{'trace_kind': 'synthetic'},0.3101
isolation,0,high_locality,LRU,ProportionalAllocation,158,8,316900,{'trace_kind': 'synthetic'},0.3169
isolation,1,streaming,LRU,ProportionalAllocation,158,8,309400,{'trace_kind': 'synthetic'},0.3094
isolation,0,high_locality,LRU,ProportionalAllocation,158,9,310800,{'trace_kind': 'synthetic'},0.3108
isolation,1,streaming,LRU,ProportionalAllocation,158,9,317200,{'trace_kind': 'synthetic'},0.3172
isolation,0,high_locality,NRU,GlobalAllocation,158,0,319400,{'trace_kind': 'synthetic'},0.3194
isolation,1,streaming,NRU,GlobalAllocation,158,0,336600,{'trace_kind': 'synthetic'},0.3366
isolation,0,high_locality,NRU,GlobalAllocation,158,1,301200,{'trace_kind': 'synthetic'},0.3012
isolation,1,streaming,NRU,GlobalAllocation,158,1,311300,{'trace_kind': 'synthetic'},0.3113
isolation,0,high_locality,NRU,GlobalAllocation,158,2,304500,{'trace_kind': 'synthetic'},0.3045
isolation,1,streaming,NRU,GlobalAllocation,158,2,323500,{'trace_kind': 'synthetic'},0.3235
isolation,0,high_locality,NRU,GlobalAllocation,158,3,560900,{'trace_kind': 'synthetic'},0.5609
isolation,1,streaming,NRU,GlobalAllocation,158,3,334100,{'trace_kind': 'synthetic'},0.3341
isolation,0,high_locality,NRU,GlobalAllocation,158,4,348200,{'trace_kind': 'synthetic'},0.3482
isolation,1,streaming,NRU,GlobalAllocation,158,4,372000,{'trace_kind': 'synthetic'},0.372
isolation,0,high_locality,NRU,GlobalAllocation,158,5,319200,{'trace_kind': 'synthetic'},0.3192
isolation,1,streaming,NRU,GlobalAllocation,158,5,336400,{'trace_kind': 'synthetic'},0.3364
isolation,0,high_locality,NRU,GlobalAllocation,158,6,340000,{'trace_kind': 'synthetic'},0.34
isolation,1,streaming,NRU,GlobalAllocation,158,6,343500,{'trace_kind': 'synthetic'},0.3435
isolation,0,high_locality,NRU,GlobalAllocation,158,7,327700,{'trace_kind': 'synthetic'},0.3277
isolation,1,streaming,NRU,GlobalAllocation,158,7,332400,{'trace_kind': 'synthetic'},0.3324
isolation,0,high_locality,NRU,GlobalAllocation,158,8,334400,{'trace_kind': 'synthetic'},0.3344
isolation,1,streaming,NRU,GlobalAllocation,158,8,323800,{'trace_kind': 'synthetic'},0.3238
isolation,0,high_locality,NRU,GlobalAllocation,158,9,316400,{'trace_kind': 'synthetic'},0.3164
isolation,1,streaming,NRU,GlobalAllocation,158,9,328300,{'trace_kind': 'synthetic'},0.3283
isolation,0,high_locality,NRU,LocalAllocation,158,0,332100,{'trace_kind': 'synthetic'},0.3321
isolation,1,streaming,NRU,LocalAllocation,158,0,335500,{'trace_kind': 'synthetic'},0.3355
isolation,0,high_locality,NRU,LocalAllocation,158,1,332000,{'trace_kind': 'synthetic'},0.332
isolation,1,streaming,NRU,LocalAllocation,158,1,326800,{'trace_kind': 'synthetic'},0.3268
isolation,0,high_locality,NRU,LocalAllocation,158,2,323200,{'trace_kind': 'synthetic'},0.3232
isolation,1,streaming,NRU,LocalAllocation,158,2,324900,{'trace_kind': 'synthetic'},0.3249
isolation,0,high_locality,NRU,LocalAllocation,158,3,343900,{'trace_kind': 'synthetic'},0.3439
isolation,1,streaming,NRU,LocalAllocation,158,3,332500,{'trace_kind': 'synthetic'},0.3325
isolation,0,high_locality,NRU,LocalAllocation,158,4,328600,{'trace_kind': 'synthetic'},0.3286
isolation,1,streaming,NRU,LocalAllocation,158,4,323500,{'trace_kind': 'synthetic'},0.3235
isolation,0,high_locality,NRU,LocalAllocation,158,5,314300,{'trace_kind': 'synthetic'},0.3143
isolation,1,streaming,NRU,LocalAllocation,158,5,329500,{'trace_kind': 'synthetic'},0.3295
isolation,0,high_locality,NRU,LocalAllocation,158,6,327400,{'trace_kind': 'synthetic'},0.3274
isolation,1,streaming,NRU,LocalAllocation,158,6,326800,{'trace_kind': 'synthetic'},0.3268
isolation,0,high_locality,NRU,LocalAllocation,158,7,319400,{'trace_kind': 'synthetic'},0.3194
isolation,1,streaming,NRU,LocalAllocation,158,7,339800,{'trace_kind': 'synthetic'},0.3398
isolation,0,high_locality,NRU,LocalAllocation,158,8,646800,{'trace_kind': 'synthetic'},0.6468
isolation,1,streaming,NRU,LocalAllocation,158,8,641400,{'trace_kind': 'synthetic'},0.6414
isolation,0,high_locality,NRU,LocalAllocation,158,9,314700,{'trace_kind': 'synthetic'},0.3147
isolation,1,streaming,NRU,LocalAllocation,158,9,321600,{'trace_kind': 'synthetic'},0.3216
isolation,0,high_locality,NRU,ProportionalAllocation,158,0,344700,{'trace_kind': 'synthetic'},0.3447
isolation,1,streaming,NRU,ProportionalAllocation,158,0,350400,{'trace_kind': 'synthetic'},0.3504
isolation,0,high_locality,NRU,ProportionalAllocation,158,1,321900,{'trace_kind': 'synthetic'},0.3219
isolation,1,streaming,NRU,ProportionalAllocation,158,1,327600,{'trace_kind': 'synthetic'},0.3276
isolation,0,high_locality,NRU,ProportionalAllocation,158,2,318000,{'trace_kind': 'synthetic'},0.318
isolation,1,streaming,NRU,ProportionalAllocation,158,2,327700,{'trace_kind': 'synthetic'},0.3277
isolation,0,high_locality,NRU,ProportionalAllocation,158,3,315500,{'trace_kind': 'synthetic'},0.3155
isolation,1,streaming,NRU,ProportionalAllocation,158,3,332100,{'trace_kind': 'synthetic'},0.3321
isolation,0,high_locality,NRU,ProportionalAllocation,158,4,318000,{'trace_kind': 'synthetic'},0.318
isolation,1,streaming,NRU,ProportionalAllocation,158,4,324500,{'trace_kind': 'synthetic'},0.3245
isolation,0,high_locality,NRU,ProportionalAllocation,158,5,347900,{'trace_kind': 'synthetic'},0.3479
isolation,1,streaming,NRU,ProportionalAllocation,158,5,330500,{'trace_kind': 'synthetic'},0.3305
isolation,0,high_locality,NRU,ProportionalAllocation,158,6,334700,{'trace_kind': 'synthetic'},0.3347
isolation,1,streaming,NRU,ProportionalAllocation,158,6,344200,{'trace_kind': 'synthetic'},0.3442
isolation,0,high_locality,NRU,ProportionalAllocation,158,7,335400,{'trace_kind': 'synthetic'},0.3354
isolation,1,streaming,NRU,ProportionalAllocation,158,7,348200,{'trace_kind': 'synthetic'},0.3482
isolation,0,high_locality,NRU,ProportionalAllocation,158,8,334500,{'trace_kind': 'synthetic'},0.3345
isolation,1,streaming,NRU,ProportionalAllocation,158,8,340900,{'trace_kind': 'synthetic'},0.3409
isolation,0,high_locality,NRU,ProportionalAllocation,158,9,318000,{'trace_kind': 'synthetic'},0.318
isolation,1,streaming,NRU,ProportionalAllocation,158,9,327200,{'trace_kind': 'synthetic'},0.3272
isolation,0,high_locality,SecondChance,GlobalAllocation,158,0,284200,{'trace_kind': 'synthetic'},0.2842
isolation,1,streaming,SecondChance,GlobalAllocation,158,0,296400,{'trace_kind': 'synthetic'},0.2964
isolation,0,high_locality,SecondChance,GlobalAllocation,158,1,286200,{'trace_kind': 'synthetic'},0.2862
isolation,1,streaming,SecondChance,GlobalAllocation,158,1,299700,{'trace_kind': 'synthetic'},0.2997
isolation,0,high_locality,SecondChance,GlobalAllocation,158,2,287000,{'trace_kind': 'synthetic'},0.287
isolation,1,streaming,SecondChance,GlobalAllocation,158,2,297900,{'trace_kind': 'synthetic'},0.2979
isolation,0,high_locality,SecondChance,GlobalAllocation,158,3,567700,{'trace_kind': 'synthetic'},0.5677
isolation,1,streaming,SecondChance,GlobalAllocation,158,3,461400,{'trace_kind': 'synthetic'},0.4614
isolation,0,high_locality,SecondChance,GlobalAllocation,158,4,275300,{'trace_kind': 'synthetic'},0.2753
isolation,1,streaming,SecondChance,GlobalAllocation,158,4,304200,{'trace_kind': 'synthetic'},0.3042
isolation,0,high_locality,SecondChance,GlobalAllocation,158,5,285100,{'trace_kind': 'synthetic'},0.2851
isolation,1,streaming,SecondChance,GlobalAllocation,158,5,297900,{'trace_kind': 'synthetic'},0.2979
isolation,0,high_locality,SecondChance,GlobalAllocation,158,6,297600,{'trace_kind': 'synthetic'},0.2976
isolation,1,streaming,SecondChance,GlobalAllocation,158,6,484800,{'trace_kind': 'synthetic'},0.4848
isolation,0,high_locality,SecondChance,GlobalAllocation,158,7,291300,{'trace_kind': 'synthetic'},0.2913
isolation,1,streaming,SecondChance,GlobalAllocation,158,7,298100,{'trace_kind': 'synthetic'},0.2981
isolation,0,high_locality,SecondChance,GlobalAllocation,158,8,291800,{'trace_kind': 'synthetic'},0.2918
isolation,1,streaming,SecondChance,GlobalAllocation,158,8,296300,{'trace_kind': 'synthetic'},0.2963
isolation,0,high_locality,SecondChance,GlobalAllocation,158,9,288800,{'trace_kind': 'synthetic'},0.2888
isolation,1,streaming,SecondChance,GlobalAllocation,158,9,303100,{'trace_kind': 'synthetic'},0.3031
isolation,0,high_locality,SecondChance,LocalAllocation,158,0,283900,{'trace_kind': 'synthetic'},0.2839
isolation,1,streaming,SecondChance,LocalAllocation,158,0,314500,{'trace_kind': 'synthetic'},0.3145
isolation,0,high_locality,SecondChance,LocalAllocation,158,1,281900,{'trace_kind': 'synthetic'},0.2819
isolation,1,streaming,SecondChance,LocalAllocation,158,1,293300,{'trace_kind': 'synthetic'},0.2933
isolation,0,high_locality,SecondChance,LocalAllocation,158,2,287500,{'trace_kind': 'synthetic'},0.2875
isolation,1,streaming,SecondChance,LocalAllocation,158,2,296300,{'trace_kind': 'synthetic'},0.2963
isolation,0,high_locality,SecondChance,LocalAllocation,158,3,285500,{'trace_kind': 'synthetic'},0.2855
isolation,1,streaming,SecondChance,LocalAllocation,158,3,295500,{'trace_kind': 'synthetic'},0.2955
isolation,0,high_locality,SecondChance,LocalAllocation,158,4,276000,{'trace_kind': 'synthetic'},0.276
isolation,1,streaming,SecondChance,LocalAllocation,158,4,292900,{'trace_kind': 'synthetic'},0.2929
isolation,0,high_locality,SecondChance,LocalAllocation,158,5,285100,{'trace_kind': 'synthetic'},0.2851
isolation,1,streaming,SecondChance,LocalAllocation,158,5,342900,{'trace_kind': 'synthetic'},0.3429
isolation,0,high_locality,SecondChance,LocalAllocation,158,6,286800,{'trace_kind': 'synthetic'},0.2868
isolation,1,streaming,SecondChance,LocalAllocation,158,6,298500,{'trace_kind': 'synthetic'},0.2985
isolation,0,high_locality,SecondChance,LocalAllocation,158,7,288500,{'trace_kind': 'synthetic'},0.2885
isolation,1,streaming,SecondChance,LocalAllocation,158,7,298300,{'trace_kind': 'synthetic'},0.2983
isolation,0,high_locality,SecondChance,LocalAllocation,158,8,288900,{'trace_kind': 'synthetic'},0.2889
isolation,1,streaming,SecondChance,LocalAllocation,158,8,295100,{'trace_kind': 'synthetic'},0.2951
isolation,0,high_locality,SecondChance,LocalAllocation,158,9,281600,{'trace_kind': 'synthetic'},0.2816
isolation,1,streaming,SecondChance,LocalAllocation,158,9,300900,{'trace_kind': 'synthetic'},0.3009
isolation,0,high_locality,SecondChance,ProportionalAllocation,158,0,286900,{'trace_kind': 'synthetic'},0.2869
isolation,1,streaming,SecondChance,ProportionalAllocation,158,0,293800,{'trace_kind': 'synthetic'},0.2938
isolation,0,high_locality,SecondChance,ProportionalAllocation,158,1,290100,{'trace_kind': 'synthetic'},0.2901
isolation,1,streaming,SecondChance,ProportionalAllocation,158,1,302800,{'trace_kind': 'synthetic'},0.3028
isolation,0,high_locality,SecondChance,ProportionalAllocation,158,2,284800,{'trace_kind': 'synthetic'},0.2848
isolation,1,streaming,SecondChance,ProportionalAllocation,158,2,293900,{'trace_kind': 'synthetic'},0.2939
isolation,0,high_locality,SecondChance,ProportionalAllocation,158,3,283000,{'trace_kind': 'synthetic'},0.283
isolation,1,streaming,SecondChance,ProportionalAllocation,158,3,296600,{'trace_kind': 'synthetic'},0.2966
isolation,0,high_locality,SecondChance,ProportionalAllocation,158,4,276100,{'trace_kind': 'synthetic'},0.2761
isolation,1,streaming,SecondChance,ProportionalAllocation,158,4,293500,{'trace_kind': 'synthetic'},0.2935
