mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared_total,,mixed,FIFO,GlobalAllocation,158,0,1671100,{'interleave': 'random'},1.6711
shared,0,high_locality,FIFO,GlobalAllocation,158,0,575000,{'interleave': 'random'},0.575
shared,1,streaming,FIFO,GlobalAllocation,158,0,731400,{'interleave': 'random'},0.7314
shared_total,,mixed,FIFO,GlobalAllocation,158,1,1525000,{'interleave': 'random'},1.525
shared,0,high_locality,FIFO,GlobalAllocation,158,1,529700,{'interleave': 'random'},0.5297
shared,1,streaming,FIFO,GlobalAllocation,158,1,657000,{'interleave': 'random'},0.657
shared_total,,mixed,FIFO,GlobalAllocation,158,2,1532900,{'interleave': 'random'},1.5329
shared,0,high_locality,FIFO,GlobalAllocation,158,2,533600,{'interleave': 'random'},0.5336
shared,1,streaming,FIFO,GlobalAllocation,158,2,664200,{'interleave': 'random'},0.6642
shared_total,,mixed,FIFO,GlobalAllocation,158,3,1552400,{'interleave': 'random'},1.5524
shared,0,high_locality,FIFO,GlobalAllocation,158,3,542700,{'interleave': 'random'},0.5427
shared,1,streaming,FIFO,GlobalAllocation,158,3,676400,{'interleave': 'random'},0.6764
shared_total,,mixed,FIFO,GlobalAllocation,158,4,1501700,{'interleave': 'random'},1.5017
shared,0,high_locality,FIFO,GlobalAllocation,158,4,511700,{'interleave': 'random'},0.5117
shared,1,streaming,FIFO,GlobalAllocation,158,4,653200,{'interleave': 'random'},0.6532
shared_total,,mixed,FIFO,GlobalAllocation,158,5,1528100,{'interleave': 'random'},1.5281
shared,0,high_locality,FIFO,GlobalAllocation,158,5,527800,{'interleave': 'random'},0.5278
shared,1,streaming,FIFO,GlobalAllocation,158,5,667300,{'interleave': 'random'},0.6673
shared_total,,mixed,FIFO,GlobalAllocation,158,6,1539700,{'interleave': 'random'},1.5397
shared,0,high_locality,FIFO,GlobalAllocation,158,6,528800,{'interleave': 'random'},0.5288
shared,1,streaming,FIFO,GlobalAllocation,158,6,683600,{'interleave': 'random'},0.6836
shared_total,,mixed,FIFO,GlobalAllocation,158,7,1516600,{'interleave': 'random'},1.5166
shared,0,high_locality,FIFO,GlobalAllocation,158,7,519500,{'interleave': 'random'},0.5195
shared,1,streaming,FIFO,GlobalAllocation,158,7,668800,{'interleave': 'random'},0.6688
shared_total,,mixed,FIFO,GlobalAllocation,158,8,1496400,{'interleave': 'random'},1.4964
shared,0,high_locality,FIFO,GlobalAllocation,158,8,519300,{'interleave': 'random'},0.5193
shared,1,streaming,FIFO,GlobalAllocation,158,8,651200,{'interleave': 'random'},0.6512
shared_total,,mixed,FIFO,GlobalAllocation,158,9,1499700,{'interleave': 'random'},1.4997
shared,0,high_locality,FIFO,GlobalAllocation,158,9,522200,{'interleave': 'random'},0.5222
shared,1,streaming,FIFO,GlobalAllocation,158,9,650100,{'interleave': 'random'},0.6501
shared_total,,mixed,FIFO,LocalAllocation,158,0,1319600,{'interleave': 'random'},1.3196
shared,0,high_locality,FIFO,LocalAllocation,158,0,373100,{'interleave': 'random'},0.3731
shared,1,streaming,FIFO,LocalAllocation,158,0,623300,{'interleave': 'random'},0.6233
shared_total,,mixed,FIFO,LocalAllocation,158,1,1268300,{'interleave': 'random'},1.2683
shared,0,high_locality,FIFO,LocalAllocation,158,1,369000,{'interleave': 'random'},0.369
shared,1,streaming,FIFO,LocalAllocation,158,1,578700,{'interleave': 'random'},0.5787
shared_total,,mixed,FIFO,LocalAllocation,158,2,2232200,{'interleave': 'random'},2.2322
shared,0,high_locality,FIFO,LocalAllocation,158,2,643000,{'interleave': 'random'},0.643
shared,1,streaming,FIFO,LocalAllocation,158,2,1015400,{'interleave': 'random'},1.0154
shared_total,,mixed,FIFO,LocalAllocation,158,3,1303700,{'interleave': 'random'},1.3037
shared,0,high_locality,FIFO,LocalAllocation,158,3,368700,{'interleave': 'random'},0.3687
shared,1,streaming,FIFO,LocalAllocation,158,3,609000,{'interleave': 'random'},0.609
shared_total,,mixed,FIFO,LocalAllocation,158,4,1271600,{'interleave': 'random'},1.2716
shared,0,high_locality,FIFO,LocalAllocation,158,4,356600,{'interleave': 'random'},0.3566
shared,1,streaming,FIFO,LocalAllocation,158,4,589800,{'interleave': 'random'},0.5898
shared_total,,mixed,FIFO,LocalAllocation,158,5,1301400,{'interleave': 'random'},1.3014
shared,0,high_locality,FIFO,LocalAllocation,158,5,373300,{'interleave': 'random'},0.3733
shared,1,streaming,FIFO,LocalAllocation,158,5,603700,{'interleave': 'random'},0.6037
shared_total,,mixed,FIFO,LocalAllocation,158,6,1331600,{'interleave': 'random'},1.3316
shared,0,high_locality,FIFO,LocalAllocation,158,6,369100,{'interleave': 'random'},0.3691
shared,1,streaming,FIFO,LocalAllocation,158,6,634400,{'interleave': 'random'},0.6344
shared_total,,mixed,FIFO,LocalAllocation,158,7,1322800,{'interleave': 'random'},1.3228
shared,0,high_locality,FIFO,LocalAllocation,158,7,373500,{'interleave': 'random'},0.3735
shared,1,streaming,FIFO,LocalAllocation,158,7,623300,{'interleave': 'random'},0.6233
shared_total,,mixed,FIFO,LocalAllocation,158,8,1263700,{'interleave': 'random'},1.2637
shared,0,high_locality,FIFO,LocalAllocation,158,8,367000,{'interleave': 'random'},0.367
shared,1,streaming,FIFO,LocalAllocation,158,8,578300,{'interleave': 'random'},0.5783
shared_total,,mixed,FIFO,LocalAllocation,158,9,1254500,{'interleave': 'random'},1.2545
shared,0,high_locality,FIFO,LocalAllocation,158,9,366400,{'interleave': 'random'},0.3664
shared,1,streaming,FIFO,LocalAllocation,158,9,568700,{'interleave': 'random'},0.5687
shared_total,,mixed,FIFO,ProportionalAllocation,158,0,1238600,{'interleave': 'random'},1.2386
shared,0,high_locality,FIFO,ProportionalAllocation,158,0,378500,{'interleave': 'random'},0.3785
shared,1,streaming,FIFO,ProportionalAllocation,158,0,532900,{'interleave': 'random'},0.5329
shared_total,,mixed,FIFO,ProportionalAllocation,158,1,1252700,{'interleave': 'random'},1.2527
shared,0,high_locality,FIFO,ProportionalAllocation,158,1,382100,{'interleave': 'random'},0.3821
shared,1,streaming,FIFO,ProportionalAllocation,158,1,523400,{'interleave': 'random'},0.5234
shared_total,,mixed,FIFO,ProportionalAllocation,158,2,1176800,{'interleave': 'random'},1.1768
shared,0,high_locality,FIFO,ProportionalAllocation,158,2,381000,{'interleave': 'random'},0.381
shared,1,streaming,FIFO,ProportionalAllocation,158,2,476000,{'interleave': 'random'},0.476
shared_total,,mixed,FIFO,ProportionalAllocation,158,3,1266300,{'interleave': 'random'},1.2663
