workload_label,workload_kind,trace_name,algorithm,allocation_policy,memory_frames,repetition_id,process_id,t_isolated_ms,t_shared_ms,slowdown,page_faults,replacements,disk_reads,disk_writes
streaming,synthetic,,FIFO,GlobalAllocation,272,0,0,0.2017,0.7205,3.572136836886465,439,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,0,1,0.2103,0.852,4.051355206847361,464,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,1,0,0.1997,0.6976,3.4932398597896843,419,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,1,1,0.207,0.8207,3.964734299516908,471,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,2,0,0.202,0.6574,3.2544554455445542,376,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,2,1,0.2091,0.782,3.7398373983739837,408,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,3,0,0.2014,0.705,3.500496524329692,437,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,3,1,0.2066,0.81,3.920619554695063,448,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,4,0,0.2006,0.7091,3.5348953140578265,424,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,4,1,0.2092,0.8244,3.9407265774378586,471,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,5,0,0.2002,0.6396,3.1948051948051948,366,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,5,1,0.2041,0.7699,3.7721705046545813,412,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,6,0,0.2041,0.6607,3.237138657520823,371,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,6,1,0.2091,0.7972,3.8125298900047824,428,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,7,0,0.2002,0.6955,3.4740259740259742,430,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,7,1,0.2108,0.8273,3.924573055028463,481,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,8,0,0.2112,0.6698,3.171401515151515,393,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,8,1,0.209,0.7812,3.737799043062201,409,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,9,0,0.2027,0.7336,3.619141588554514,456,,,
streaming,synthetic,,FIFO,GlobalAllocation,272,9,1,0.2062,0.8374,4.061105722599418,481,,,
streaming,synthetic,,FIFO,LocalAllocation,272,0,0,0.1961,0.5318,2.7118816930137686,438,302,438,164
