mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
isolation,0,streaming,FIFO,GlobalAllocation,272,0,201700,{'trace_kind': 'synthetic'},0.2017
isolation,1,streaming,FIFO,GlobalAllocation,272,0,210300,{'trace_kind': 'synthetic'},0.2103
isolation,0,streaming,FIFO,GlobalAllocation,272,1,199700,{'trace_kind': 'synthetic'},0.1997
isolation,1,streaming,FIFO,GlobalAllocation,272,1,207000,{'trace_kind': 'synthetic'},0.207
isolation,0,streaming,FIFO,GlobalAllocation,272,2,202000,{'trace_kind': 'synthetic'},0.202
isolation,1,streaming,FIFO,GlobalAllocation,272,2,209100,{'trace_kind': 'synthetic'},0.2091
isolation,0,streaming,FIFO,GlobalAllocation,272,3,201400,{'trace_kind': 'synthetic'},0.2014
isolation,1,streaming,FIFO,GlobalAllocation,272,3,206600,{'trace_kind': 'synthetic'},0.2066
isolation,0,streaming,FIFO,GlobalAllocation,272,4,200600,{'trace_kind': 'synthetic'},0.2006
isolation,1,streaming,FIFO,GlobalAllocation,272,4,209200,{'trace_kind': 'synthetic'},0.2092
isolation,0,streaming,FIFO,GlobalAllocation,272,5,200200,{'trace_kind': 'synthetic'},0.2002
isolation,1,streaming,FIFO,GlobalAllocation,272,5,204100,{'trace_kind': 'synthetic'},0.2041
isolation,0,streaming,FIFO,GlobalAllocation,272,6,204100,{'trace_kind': 'synthetic'},0.2041
isolation,1,streaming,FIFO,GlobalAllocation,272,6,209100,{'trace_kind': 'synthetic'},0.2091
isolation,0,streaming,FIFO,GlobalAllocation,272,7,200200,{'trace_kind': 'synthetic'},0.2002
isolation,1,streaming,FIFO,GlobalAllocation,272,7,210800,{'trace_kind': 'synthetic'},0.2108
isolation,0,streaming,FIFO,GlobalAllocation,272,8,211200,{'trace_kind': 'synthetic'},0.2112
isolation,1,streaming,FIFO,GlobalAllocation,272,8,209000,{'trace_kind': 'synthetic'},0.209
isolation,0,streaming,FIFO,GlobalAllocation,272,9,202700,{'trace_kind': 'synthetic'},0.2027
isolation,1,streaming,FIFO,GlobalAllocation,272,9,206200,{'trace_kind': 'synthetic'},0.2062
isolation,0,streaming,FIFO,LocalAllocation,272,0,196100,{'trace_kind': 'synthetic'},0.1961
isolation,1,streaming,FIFO,LocalAllocation,272,0,206900,{'trace_kind': 'synthetic'},0.2069
isolation,0,streaming,FIFO,LocalAllocation,272,1,394400,{'trace_kind': 'synthetic'},0.3944
