mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared_total,,streaming,FIFO,GlobalAllocation,272,0,1950200,{'interleave': 'random'},1.9502
shared,0,streaming,FIFO,GlobalAllocation,272,0,720500,{'interleave': 'random'},0.7205
shared,1,streaming,FIFO,GlobalAllocation,272,0,852000,{'interleave': 'random'},0.852
shared_total,,streaming,FIFO,GlobalAllocation,272,1,1868500,{'interleave': 'random'},1.8685
shared,0,streaming,FIFO,GlobalAllocation,272,1,697600,{'interleave': 'random'},0.6976
shared,1,streaming,FIFO,GlobalAllocation,272,1,820700,{'interleave': 'random'},0.8207
shared_total,,streaming,FIFO,GlobalAllocation,272,2,1787700,{'interleave': 'random'},1.7877
shared,0,streaming,FIFO,GlobalAllocation,272,2,657400,{'interleave': 'random'},0.6574
shared,1,streaming,FIFO,GlobalAllocation,272,2,782000,{'interleave': 'random'},0.782
shared_total,,streaming,FIFO,GlobalAllocation,272,3,1860900,{'interleave': 'random'},1.8609
shared,0,streaming,FIFO,GlobalAllocation,272,3,705000,{'interleave': 'random'},0.705
shared,1,streaming,FIFO,GlobalAllocation,272,3,810000,{'interleave': 'random'},0.81
shared_total,,streaming,FIFO,GlobalAllocation,272,4,1879400,{'interleave': 'random'},1.8794
shared,0,streaming,FIFO,GlobalAllocation,272,4,709100,{'interleave': 'random'},0.7091
shared,1,streaming,FIFO,GlobalAllocation,272,4,824400,{'interleave': 'random'},0.8244
shared_total,,streaming,FIFO,GlobalAllocation,272,5,1748900,{'interleave': 'random'},1.7489
shared,0,streaming,FIFO,GlobalAllocation,272,5,639600,{'interleave': 'random'},0.6396
shared,1,streaming,FIFO,GlobalAllocation,272,5,769900,{'interleave': 'random'},0.7699
shared_total,,streaming,FIFO,GlobalAllocation,272,6,1806300,{'interleave': 'random'},1.8063
shared,0,streaming,FIFO,GlobalAllocation,272,6,660700,{'interleave': 'random'},0.6607
shared,1,streaming,FIFO,GlobalAllocation,272,6,797200,{'interleave': 'random'},0.7972
shared_total,,streaming,FIFO,GlobalAllocation,272,7,1858300,{'interleave': 'random'},1.8583
shared,0,streaming,FIFO,GlobalAllocation,272,7,695500,{'interleave': 'random'},0.6955
shared,1,streaming,FIFO,GlobalAllocation,272,7,827300,{'interleave': 'random'},0.8273
shared_total,,streaming,FIFO,GlobalAllocation,272,8,1799200,{'interleave': 'random'},1.7992
shared,0,streaming,FIFO,GlobalAllocation,272,8,669800,{'interleave': 'random'},0.6698
shared,1,streaming,FIFO,GlobalAllocation,272,8,781200,{'interleave': 'random'},0.7812
shared_total,,streaming,FIFO,GlobalAllocation,272,9,1920600,{'interleave': 'random'},1.9206
shared,0,streaming,FIFO,GlobalAllocation,272,9,733600,{'interleave': 'random'},0.7336
shared,1,streaming,FIFO,GlobalAllocation,272,9,837400,{'interleave': 'random'},0.8374
shared_total,,streaming,FIFO,LocalAllocation,272,0,1424900,{'interleave': 'random'},1.4249
shared,0,streaming,FIFO,LocalAllocation,272,0,531800,{'interleave': 'random'},0.5318
shared,1,streaming,FIFO,LocalAllocation,272,0,570100,{'interleave': 'random'},0.5701
shared_total,,streaming,FIFO,LocalAllocation,272,1,3109100,{'interleave': 'random'},3.1091
shared,0,streaming,FIFO,LocalAllocation,272,1,1171400,{'interleave': 'random'},1.1714
shared,1,streaming,FIFO,LocalAllocation,272,1,1287400,{'interleave': 'random'},1.2874
shared_total,,streaming,FIFO,LocalAllocation,272,2,1285700,{'interleave': 'random'},1.2857
shared,0,streaming,FIFO,LocalAllocation,272,2,452500,{'interleave': 'random'},0.4525
shared,1,streaming,FIFO,LocalAllocation,272,2,530600,{'interleave': 'random'},0.5306
shared_total,,streaming,FIFO,LocalAllocation,272,3,1348600,{'interleave': 'random'},1.3486
shared,0,streaming,FIFO,LocalAllocation,272,3,489300,{'interleave': 'random'},0.4893
shared,1,streaming,FIFO,LocalAllocation,272,3,553600,{'interleave': 'random'},0.5536
