workload_label,workload_kind,trace_name,algorithm,allocation_policy,memory_frames,repetition_id,process_id,t_isolated_ms,t_shared_ms,slowdown,page_faults,replacements,disk_reads,disk_writes
thrashing,synthetic,,FIFO,GlobalAllocation,163,0,0,0.1871,1.5498,8.283270978086584,1449,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,0,1,0.1927,1.7886,9.281785158277115,1500,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,1,0,0.1875,1.0428,5.5616,883,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,1,1,0.1939,1.199,6.183599793708097,960,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,2,0,0.1832,1.4868,8.115720524017467,1499,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,2,1,0.1893,1.5851,8.373481246698363,1500,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,3,0,0.1861,1.0082,5.417517463729178,828,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,3,1,0.1905,1.1204,5.881364829396325,845,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,4,0,0.1861,0.9963,5.353573347662547,825,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,4,1,0.1881,1.1418,6.0701754385964914,896,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,5,0,0.188,1.6234,8.635106382978723,1475,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,5,1,0.1865,1.7417,9.33887399463807,1500,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,6,0,0.2599,1.272,4.89419007310504,1212,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,6,1,0.1888,1.3876,7.34957627118644,1282,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,7,0,0.1826,1.464,8.017524644030669,1500,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,7,1,0.1894,1.5591,8.231784582893347,1500,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,8,0,0.1891,1.192,6.3035430988894765,1080,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,8,1,0.1865,1.3472,7.223592493297587,1176,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,9,0,0.1896,1.0341,5.454113924050633,828,,,
thrashing,synthetic,,FIFO,GlobalAllocation,163,9,1,0.1917,1.1689,6.0975482524778295,921,,,
thrashing,synthetic,,FIFO,LocalAllocation,163,0,0,0.1854,1.1275,6.081445523193096,1500,1418,1500,401
thrashing,synthetic,,FIFO,LocalAllocation,163,0,1,0.1921,1.126,5.86153045288912,1500,1419,1500,451
thrashing,synthetic,,FIFO,LocalAllocation,163,1,0,0.1853,1.1262,6.077711818672423,1500,1418,1500,439
thrashing,synthetic,,FIFO,LocalAllocation,163,1,1,0.1913,1.1302,5.907997909043387,1500,1419,1500,432
thrashing,synthetic,,FIFO,LocalAllocation,163,2,0,0.1836,1.1289,6.148692810457517,1500,1418,1500,405
thrashing,synthetic,,FIFO,LocalAllocation,163,2,1,0.1864,1.1288,6.055793991416309,1500,1419,1500,415
thrashing,synthetic,,FIFO,LocalAllocation,163,3,0,0.1858,1.1303,6.083423035522067,1500,1418,1500,429
thrashing,synthetic,,FIFO,LocalAllocation,163,3,1,0.1908,1.1313,5.929245283018868,1500,1419,1500,418
thrashing,synthetic,,FIFO,LocalAllocation,163,4,0,0.1867,1.1304,6.054633101231923,1500,1418,1500,423
thrashing,synthetic,,FIFO,LocalAllocation,163,4,1,0.1893,1.1464,6.055995773903856,1500,1419,1500,450
thrashing,synthetic,,FIFO,LocalAllocation,163,5,0,0.2038,1.1178,5.4847890088321885,1500,1418,1500,412
thrashing,synthetic,,FIFO,LocalAllocation,163,5,1,0.1867,1.1226,6.012854847348688,1500,1419,1500,401
thrashing,synthetic,,FIFO,LocalAllocation,163,6,0,0.1851,1.1351,6.132360886007564,1500,1418,1500,427
thrashing,synthetic,,FIFO,LocalAllocation,163,6,1,0.1873,1.136,6.06513614522157,1500,1419,1500,426
thrashing,synthetic,,FIFO,LocalAllocation,163,7,0,0.192,1.1257,5.863020833333334,1500,1418,1500,411
