mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
isolation,0,thrashing,FIFO,GlobalAllocation,163,0,187100,{'trace_kind': 'synthetic'},0.1871
isolation,1,thrashing,FIFO,GlobalAllocation,163,0,192700,{'trace_kind': 'synthetic'},0.1927
isolation,0,thrashing,FIFO,GlobalAllocation,163,1,187500,{'trace_kind': 'synthetic'},0.1875
isolation,1,thrashing,FIFO,GlobalAllocation,163,1,193900,{'trace_kind': 'synthetic'},0.1939
isolation,0,thrashing,FIFO,GlobalAllocation,163,2,183200,{'trace_kind': 'synthetic'},0.1832
isolation,1,thrashing,FIFO,GlobalAllocation,163,2,189300,{'trace_kind': 'synthetic'},0.1893
isolation,0,thrashing,FIFO,GlobalAllocation,163,3,186100,{'trace_kind': 'synthetic'},0.1861
isolation,1,thrashing,FIFO,GlobalAllocation,163,3,190500,{'trace_kind': 'synthetic'},0.1905
isolation,0,thrashing,FIFO,GlobalAllocation,163,4,186100,{'trace_kind': 'synthetic'},0.1861
isolation,1,thrashing,FIFO,GlobalAllocation,163,4,188100,{'trace_kind': 'synthetic'},0.1881
isolation,0,thrashing,FIFO,GlobalAllocation,163,5,188000,{'trace_kind': 'synthetic'},0.188
isolation,1,thrashing,FIFO,GlobalAllocation,163,5,186500,{'trace_kind': 'synthetic'},0.1865
isolation,0,thrashing,FIFO,GlobalAllocation,163,6,259900,{'trace_kind': 'synthetic'},0.2599
isolation,1,thrashing,FIFO,GlobalAllocation,163,6,188800,{'trace_kind': 'synthetic'},0.1888
isolation,0,thrashing,FIFO,GlobalAllocation,163,7,182600,{'trace_kind': 'synthetic'},0.1826
isolation,1,thrashing,FIFO,GlobalAllocation,163,7,189400,{'trace_kind': 'synthetic'},0.1894
isolation,0,thrashing,FIFO,GlobalAllocation,163,8,189100,{'trace_kind': 'synthetic'},0.1891
isolation,1,thrashing,FIFO,GlobalAllocation,163,8,186500,{'trace_kind': 'synthetic'},0.1865
isolation,0,thrashing,FIFO,GlobalAllocation,163,9,189600,{'trace_kind': 'synthetic'},0.1896
isolation,1,thrashing,FIFO,GlobalAllocation,163,9,191700,{'trace_kind': 'synthetic'},0.1917
isolation,0,thrashing,FIFO,LocalAllocation,163,0,185400,{'trace_kind': 'synthetic'},0.1854
isolation,1,thrashing,FIFO,LocalAllocation,163,0,192100,{'trace_kind': 'synthetic'},0.1921
isolation,0,thrashing,FIFO,LocalAllocation,163,1,185300,{'trace_kind': 'synthetic'},0.1853
isolation,1,thrashing,FIFO,LocalAllocation,163,1,191300,{'trace_kind': 'synthetic'},0.1913
isolation,0,thrashing,FIFO,LocalAllocation,163,2,183600,{'trace_kind': 'synthetic'},0.1836
isolation,1,thrashing,FIFO,LocalAllocation,163,2,186400,{'trace_kind': 'synthetic'},0.1864
isolation,0,thrashing,FIFO,LocalAllocation,163,3,185800,{'trace_kind': 'synthetic'},0.1858
isolation,1,thrashing,FIFO,LocalAllocation,163,3,190800,{'trace_kind': 'synthetic'},0.1908
isolation,0,thrashing,FIFO,LocalAllocation,163,4,186700,{'trace_kind': 'synthetic'},0.1867
isolation,1,thrashing,FIFO,LocalAllocation,163,4,189300,{'trace_kind': 'synthetic'},0.1893
isolation,0,thrashing,FIFO,LocalAllocation,163,5,203800,{'trace_kind': 'synthetic'},0.2038
isolation,1,thrashing,FIFO,LocalAllocation,163,5,186700,{'trace_kind': 'synthetic'},0.1867
isolation,0,thrashing,FIFO,LocalAllocation,163,6,185100,{'trace_kind': 'synthetic'},0.1851
isolation,1,thrashing,FIFO,LocalAllocation,163,6,187300,{'trace_kind': 'synthetic'},0.1873
isolation,0,thrashing,FIFO,LocalAllocation,163,7,192000,{'trace_kind': 'synthetic'},0.192
isolation,1,thrashing,FIFO,LocalAllocation,163,7,188700,{'trace_kind': 'synthetic'},0.1887
isolation,0,thrashing,FIFO,LocalAllocation,163,8,282100,{'trace_kind': 'synthetic'},0.2821
isolation,1,thrashing,FIFO,LocalAllocation,163,8,186400,{'trace_kind': 'synthetic'},0.1864
isolation,0,thrashing,FIFO,LocalAllocation,163,9,185500,{'trace_kind': 'synthetic'},0.1855
isolation,1,thrashing,FIFO,LocalAllocation,163,9,188900,{'trace_kind': 'synthetic'},0.1889
isolation,0,thrashing,FIFO,ProportionalAllocation,163,0,184800,{'trace_kind': 'synthetic'},0.1848
isolation,1,thrashing,FIFO,ProportionalAllocation,163,0,191400,{'trace_kind': 'synthetic'},0.1914
isolation,0,thrashing,FIFO,ProportionalAllocation,163,1,184600,{'trace_kind': 'synthetic'},0.1846
isolation,1,thrashing,FIFO,ProportionalAllocation,163,1,188100,{'trace_kind': 'synthetic'},0.1881
isolation,0,thrashing,FIFO,ProportionalAllocation,163,2,182900,{'trace_kind': 'synthetic'},0.1829
