mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared_total,,thrashing,FIFO,GlobalAllocation,163,0,3728500,{'interleave': 'random'},3.7285
shared,0,thrashing,FIFO,GlobalAllocation,163,0,1549800,{'interleave': 'random'},1.5498
shared,1,thrashing,FIFO,GlobalAllocation,163,0,1788600,{'interleave': 'random'},1.7886
shared_total,,thrashing,FIFO,GlobalAllocation,163,1,2596300,{'interleave': 'random'},2.5963
shared,0,thrashing,FIFO,GlobalAllocation,163,1,1042800,{'interleave': 'random'},1.0428
shared,1,thrashing,FIFO,GlobalAllocation,163,1,1199000,{'interleave': 'random'},1.199
shared_total,,thrashing,FIFO,GlobalAllocation,163,2,3436400,{'interleave': 'random'},3.4364
shared,0,thrashing,FIFO,GlobalAllocation,163,2,1486800,{'interleave': 'random'},1.4868
shared,1,thrashing,FIFO,GlobalAllocation,163,2,1585100,{'interleave': 'random'},1.5851
shared_total,,thrashing,FIFO,GlobalAllocation,163,3,2470300,{'interleave': 'random'},2.4703
shared,0,thrashing,FIFO,GlobalAllocation,163,3,1008200,{'interleave': 'random'},1.0082
shared,1,thrashing,FIFO,GlobalAllocation,163,3,1120400,{'interleave': 'random'},1.1204
shared_total,,thrashing,FIFO,GlobalAllocation,163,4,2475100,{'interleave': 'random'},2.4751
shared,0,thrashing,FIFO,GlobalAllocation,163,4,996300,{'interleave': 'random'},0.9963
shared,1,thrashing,FIFO,GlobalAllocation,163,4,1141800,{'interleave': 'random'},1.1418
shared_total,,thrashing,FIFO,GlobalAllocation,163,5,3758100,{'interleave': 'random'},3.7581
shared,0,thrashing,FIFO,GlobalAllocation,163,5,1623400,{'interleave': 'random'},1.6234
shared,1,thrashing,FIFO,GlobalAllocation,163,5,1741700,{'interleave': 'random'},1.7417
shared_total,,thrashing,FIFO,GlobalAllocation,163,6,2993000,{'interleave': 'random'},2.993
shared,0,thrashing,FIFO,GlobalAllocation,163,6,1272000,{'interleave': 'random'},1.272
shared,1,thrashing,FIFO,GlobalAllocation,163,6,1387600,{'interleave': 'random'},1.3876
shared_total,,thrashing,FIFO,GlobalAllocation,163,7,3366600,{'interleave': 'random'},3.3666
shared,0,thrashing,FIFO,GlobalAllocation,163,7,1464000,{'interleave': 'random'},1.464
shared,1,thrashing,FIFO,GlobalAllocation,163,7,1559100,{'interleave': 'random'},1.5591
shared_total,,thrashing,FIFO,GlobalAllocation,163,8,2870400,{'interleave': 'random'},2.8704
shared,0,thrashing,FIFO,GlobalAllocation,163,8,1192000,{'interleave': 'random'},1.192
shared,1,thrashing,FIFO,GlobalAllocation,163,8,1347200,{'interleave': 'random'},1.3472
shared_total,,thrashing,FIFO,GlobalAllocation,163,9,2549400,{'interleave': 'random'},2.5494
shared,0,thrashing,FIFO,GlobalAllocation,163,9,1034100,{'interleave': 'random'},1.0341
shared,1,thrashing,FIFO,GlobalAllocation,163,9,1168900,{'interleave': 'random'},1.1689
shared_total,,thrashing,FIFO,LocalAllocation,163,0,2593000,{'interleave': 'random'},2.593
shared,0,thrashing,FIFO,LocalAllocation,163,0,1127500,{'interleave': 'random'},1.1275
shared,1,thrashing,FIFO,LocalAllocation,163,0,1126000,{'interleave': 'random'},1.126
shared_total,,thrashing,FIFO,LocalAllocation,163,1,2589400,{'interleave': 'random'},2.5894
shared,0,thrashing,FIFO,LocalAllocation,163,1,1126200,{'interleave': 'random'},1.1262
shared,1,thrashing,FIFO,LocalAllocation,163,1,1130200,{'interleave': 'random'},1.1302
shared_total,,thrashing,FIFO,LocalAllocation,163,2,2594100,{'interleave': 'random'},2.5941
shared,0,thrashing,FIFO,LocalAllocation,163,2,1128900,{'interleave': 'random'},1.1289
shared,1,thrashing,FIFO,LocalAllocation,163,2,1128800,{'interleave': 'random'},1.1288
shared_total,,thrashing,FIFO,LocalAllocation,163,3,2600800,{'interleave': 'random'},2.6008
shared,0,thrashing,FIFO,LocalAllocation,163,3,1130300,{'interleave': 'random'},1.1303
shared,1,thrashing,FIFO,LocalAllocation,163,3,1131300,{'interleave': 'random'},1.1313
shared_total,,thrashing,FIFO,LocalAllocation,163,4,2622400,{'interleave': 'random'},2.6224
shared,0,thrashing,FIFO,LocalAllocation,163,4,1130400,{'interleave': 'random'},1.1304
