workload_label,workload_kind,trace_name,algorithm,allocation_policy,memory_frames,repetition_id,process_id,t_isolated_ms,t_shared_ms,slowdown,page_faults,replacements,disk_reads,disk_writes
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,0,0,0.0034,0.004,1.1764705882352942,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,0,1,0.0025,0.0033,1.32,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,1,0,0.0024,0.0023,0.9583333333333334,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,1,1,0.0023,0.0026,1.1304347826086956,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,2,0,0.0024,0.0023,0.9583333333333334,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,2,1,0.0023,0.0024,1.0434782608695652,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,3,0,0.0021,0.0026,1.2380952380952381,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,3,1,0.0021,0.003,1.4285714285714286,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,4,0,0.0023,0.0023,1.0,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,4,1,0.0021,0.0021,1.0,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,5,0,0.0021,0.0022,1.0476190476190477,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,5,1,0.0022,0.0022,1.0,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,6,0,0.0022,0.0026,1.1818181818181819,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,6,1,0.0025,0.0024,0.96,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,7,0,0.0021,0.0023,1.0952380952380953,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,7,1,0.0021,0.0021,1.0,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,8,0,0.0022,0.0028,1.2727272727272727,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,8,1,0.002,0.0022,1.1,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,9,0,0.002,0.0022,1.1,1,,,
trace-driven,trace,demo_locality,FIFO,GlobalAllocation,4,9,1,0.002,0.0022,1.1,1,,,
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,0,0,0.0024,0.0024,1.0,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,0,1,0.002,0.0017,0.85,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,1,0,0.0022,0.002,0.9090909090909091,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,1,1,0.0021,0.0015,0.7142857142857143,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,2,0,0.002,0.0019,0.95,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,2,1,0.0021,0.0015,0.7142857142857143,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,3,0,0.0021,0.0017,0.8095238095238095,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,3,1,0.002,0.0014,0.7,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,4,0,0.0021,0.0022,1.0476190476190477,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,4,1,0.002,0.0019,0.95,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,5,0,0.0021,0.0018,0.8571428571428571,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,5,1,0.0022,0.0015,0.6818181818181818,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,6,0,0.0019,0.0019,1.0,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,6,1,0.0019,0.0016,0.8421052631578947,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,7,0,0.0021,0.0018,0.8571428571428571,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,7,1,0.0021,0.0014,0.6666666666666666,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,8,0,0.0021,0.0017,0.8095238095238095,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,8,1,0.002,0.0014,0.7,1,0,1,0
trace-driven,trace,demo_locality,FIFO,LocalAllocation,4,9,0,0.0019,0.0018,0.9473684210526315,1,0,1,0
