mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
isolation,0,demo_locality,FIFO,GlobalAllocation,4,0,3400,{'trace_kind': 'trace'},0.0034
isolation,1,demo_locality,FIFO,GlobalAllocation,4,0,2500,{'trace_kind': 'trace'},0.0025
isolation,0,demo_locality,FIFO,GlobalAllocation,4,1,2400,{'trace_kind': 'trace'},0.0024
isolation,1,demo_locality,FIFO,GlobalAllocation,4,1,2300,{'trace_kind': 'trace'},0.0023
isolation,0,demo_locality,FIFO,GlobalAllocation,4,2,2400,{'trace_kind': 'trace'},0.0024
isolation,1,demo_locality,FIFO,GlobalAllocation,4,2,2300,{'trace_kind': 'trace'},0.0023
isolation,0,demo_locality,FIFO,GlobalAllocation,4,3,2100,{'trace_kind': 'trace'},0.0021
isolation,1,demo_locality,FIFO,GlobalAllocation,4,3,2100,{'trace_kind': 'trace'},0.0021
isolation,0,demo_locality,FIFO,GlobalAllocation,4,4,2300,{'trace_kind': 'trace'},0.0023
isolation,1,demo_locality,FIFO,GlobalAllocation,4,4,2100,{'trace_kind': 'trace'},0.0021
isolation,0,demo_locality,FIFO,GlobalAllocation,4,5,2100,{'trace_kind': 'trace'},0.0021
isolation,1,demo_locality,FIFO,GlobalAllocation,4,5,2200,{'trace_kind': 'trace'},0.0022
isolation,0,demo_locality,FIFO,GlobalAllocation,4,6,2200,{'trace_kind': 'trace'},0.0022
isolation,1,demo_locality,FIFO,GlobalAllocation,4,6,2500,{'trace_kind': 'trace'},0.0025
isolation,0,demo_locality,FIFO,GlobalAllocation,4,7,2100,{'trace_kind': 'trace'},0.0021
isolation,1,demo_locality,FIFO,GlobalAllocation,4,7,2100,{'trace_kind': 'trace'},0.0021
isolation,0,demo_locality,FIFO,GlobalAllocation,4,8,2200,{'trace_kind': 'trace'},0.0022
isolation,1,demo_locality,FIFO,GlobalAllocation,4,8,2000,{'trace_kind': 'trace'},0.002
isolation,0,demo_locality,FIFO,GlobalAllocation,4,9,2000,{'trace_kind': 'trace'},0.002
isolation,1,demo_locality,FIFO,GlobalAllocation,4,9,2000,{'trace_kind': 'trace'},0.002
isolation,0,demo_locality,FIFO,LocalAllocation,4,0,2400,{'trace_kind': 'trace'},0.0024
isolation,1,demo_locality,FIFO,LocalAllocation,4,0,2000,{'trace_kind': 'trace'},0.002
isolation,0,demo_locality,FIFO,LocalAllocation,4,1,2200,{'trace_kind': 'trace'},0.0022
isolation,1,demo_locality,FIFO,LocalAllocation,4,1,2100,{'trace_kind': 'trace'},0.0021
isolation,0,demo_locality,FIFO,LocalAllocation,4,2,2000,{'trace_kind': 'trace'},0.002
isolation,1,demo_locality,FIFO,LocalAllocation,4,2,2100,{'trace_kind': 'trace'},0.0021
isolation,0,demo_locality,FIFO,LocalAllocation,4,3,2100,{'trace_kind': 'trace'},0.0021
isolation,1,demo_locality,FIFO,LocalAllocation,4,3,2000,{'trace_kind': 'trace'},0.002
isolation,0,demo_locality,FIFO,LocalAllocation,4,4,2100,{'trace_kind': 'trace'},0.0021
isolation,1,demo_locality,FIFO,LocalAllocation,4,4,2000,{'trace_kind': 'trace'},0.002
isolation,0,demo_locality,FIFO,LocalAllocation,4,5,2100,{'trace_kind': 'trace'},0.0021
isolation,1,demo_locality,FIFO,LocalAllocation,4,5,2200,{'trace_kind': 'trace'},0.0022
isolation,0,demo_locality,FIFO,LocalAllocation,4,6,1900,{'trace_kind': 'trace'},0.0019
isolation,1,demo_locality,FIFO,LocalAllocation,4,6,1900,{'trace_kind': 'trace'},0.0019
isolation,0,demo_locality,FIFO,LocalAllocation,4,7,2100,{'trace_kind': 'trace'},0.0021
isolation,1,demo_locality,FIFO,LocalAllocation,4,7,2100,{'trace_kind': 'trace'},0.0021
isolation,0,demo_locality,FIFO,LocalAllocation,4,8,2100,{'trace_kind': 'trace'},0.0021
isolation,1,demo_locality,FIFO,LocalAllocation,4,8,2000,{'trace_kind': 'trace'},0.002
isolation,0,demo_locality,FIFO,LocalAllocation,4,9,1900,{'trace_kind': 'trace'},0.0019
isolation,1,demo_locality,FIFO,LocalAllocation,4,9,2000,{'trace_kind': 'trace'},0.002
isolation,0,demo_locality,FIFO,ProportionalAllocation,4,0,2300,{'trace_kind': 'trace'},0.0023
isolation,1,demo_locality,FIFO,ProportionalAllocation,4,0,1900,{'trace_kind': 'trace'},0.0019
isolation,0,demo_locality,FIFO,ProportionalAllocation,4,1,2400,{'trace_kind': 'trace'},0.0024
isolation,1,demo_locality,FIFO,ProportionalAllocation,4,1,2200,{'trace_kind': 'trace'},0.0022
