mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared_total,,trace-driven,FIFO,GlobalAllocation,4,0,15200,{'interleave': 'trace-order'},0.0152
shared,0,demo_locality,FIFO,GlobalAllocation,4,0,4000,{'interleave': 'trace-order'},0.004
shared,1,demo_locality,FIFO,GlobalAllocation,4,0,3300,{'interleave': 'trace-order'},0.0033
shared_total,,trace-driven,FIFO,GlobalAllocation,4,1,9900,{'interleave': 'trace-order'},0.0099
shared,0,demo_locality,FIFO,GlobalAllocation,4,1,2300,{'interleave': 'trace-order'},0.0023
shared,1,demo_locality,FIFO,GlobalAllocation,4,1,2600,{'interleave': 'trace-order'},0.0026
shared_total,,trace-driven,FIFO,GlobalAllocation,4,2,8900,{'interleave': 'trace-order'},0.0089
shared,0,demo_locality,FIFO,GlobalAllocation,4,2,2300,{'interleave': 'trace-order'},0.0023
shared,1,demo_locality,FIFO,GlobalAllocation,4,2,2400,{'interleave': 'trace-order'},0.0024
shared_total,,trace-driven,FIFO,GlobalAllocation,4,3,10300,{'interleave': 'trace-order'},0.0103
shared,0,demo_locality,FIFO,GlobalAllocation,4,3,2600,{'interleave': 'trace-order'},0.0026
shared,1,demo_locality,FIFO,GlobalAllocation,4,3,3000,{'interleave': 'trace-order'},0.003
shared_total,,trace-driven,FIFO,GlobalAllocation,4,4,8400,{'interleave': 'trace-order'},0.0084
shared,0,demo_locality,FIFO,GlobalAllocation,4,4,2300,{'interleave': 'trace-order'},0.0023
shared,1,demo_locality,FIFO,GlobalAllocation,4,4,2100,{'interleave': 'trace-order'},0.0021
shared_total,,trace-driven,FIFO,GlobalAllocation,4,5,7800,{'interleave': 'trace-order'},0.0078
shared,0,demo_locality,FIFO,GlobalAllocation,4,5,2200,{'interleave': 'trace-order'},0.0022
shared,1,demo_locality,FIFO,GlobalAllocation,4,5,2200,{'interleave': 'trace-order'},0.0022
shared_total,,trace-driven,FIFO,GlobalAllocation,4,6,9000,{'interleave': 'trace-order'},0.009
shared,0,demo_locality,FIFO,GlobalAllocation,4,6,2600,{'interleave': 'trace-order'},0.0026
shared,1,demo_locality,FIFO,GlobalAllocation,4,6,2400,{'interleave': 'trace-order'},0.0024
shared_total,,trace-driven,FIFO,GlobalAllocation,4,7,7900,{'interleave': 'trace-order'},0.0079
shared,0,demo_locality,FIFO,GlobalAllocation,4,7,2300,{'interleave': 'trace-order'},0.0023
shared,1,demo_locality,FIFO,GlobalAllocation,4,7,2100,{'interleave': 'trace-order'},0.0021
shared_total,,trace-driven,FIFO,GlobalAllocation,4,8,8500,{'interleave': 'trace-order'},0.0085
shared,0,demo_locality,FIFO,GlobalAllocation,4,8,2800,{'interleave': 'trace-order'},0.0028
shared,1,demo_locality,FIFO,GlobalAllocation,4,8,2200,{'interleave': 'trace-order'},0.0022
shared_total,,trace-driven,FIFO,GlobalAllocation,4,9,7900,{'interleave': 'trace-order'},0.0079
shared,0,demo_locality,FIFO,GlobalAllocation,4,9,2200,{'interleave': 'trace-order'},0.0022
shared,1,demo_locality,FIFO,GlobalAllocation,4,9,2200,{'interleave': 'trace-order'},0.0022
shared_total,,trace-driven,FIFO,LocalAllocation,4,0,10300,{'interleave': 'trace-order'},0.0103
shared,0,demo_locality,FIFO,LocalAllocation,4,0,2400,{'interleave': 'trace-order'},0.0024
shared,1,demo_locality,FIFO,LocalAllocation,4,0,1700,{'interleave': 'trace-order'},0.0017
shared_total,,trace-driven,FIFO,LocalAllocation,4,1,7800,{'interleave': 'trace-order'},0.0078
shared,0,demo_locality,FIFO,LocalAllocation,4,1,2000,{'interleave': 'trace-order'},0.002
shared,1,demo_locality,FIFO,LocalAllocation,4,1,1500,{'interleave': 'trace-order'},0.0015
shared_total,,trace-driven,FIFO,LocalAllocation,4,2,6900,{'interleave': 'trace-order'},0.0069
shared,0,demo_locality,FIFO,LocalAllocation,4,2,1900,{'interleave': 'trace-order'},0.0019
shared,1,demo_locality,FIFO,LocalAllocation,4,2,1500,{'interleave': 'trace-order'},0.0015
shared_total,,trace-driven,FIFO,LocalAllocation,4,3,6700,{'interleave': 'trace-order'},0.0067
shared,0,demo_locality,FIFO,LocalAllocation,4,3,1700,{'interleave': 'trace-order'},0.0017
shared,1,demo_locality,FIFO,LocalAllocation,4,3,1400,{'interleave': 'trace-order'},0.0014
shared_total,,trace-driven,FIFO,LocalAllocation,4,4,8100,{'interleave': 'trace-order'},0.0081
shared,0,demo_locality,FIFO,LocalAllocation,4,4,2200,{'interleave': 'trace-order'},0.0022
shared,1,demo_locality,FIFO,LocalAllocation,4,4,1900,{'interleave': 'trace-order'},0.0019
shared_total,,trace-driven,FIFO,LocalAllocation,4,5,7100,{'interleave': 'trace-order'},0.0071
shared,0,demo_locality,FIFO,LocalAllocation,4,5,1800,{'interleave': 'trace-order'},0.0018
shared,1,demo_locality,FIFO,LocalAllocation,4,5,1500,{'interleave': 'trace-order'},0.0015
shared_total,,trace-driven,FIFO,LocalAllocation,4,6,7200,{'interleave': 'trace-order'},0.0072
shared,0,demo_locality,FIFO,LocalAllocation,4,6,1900,{'interleave': 'trace-order'},0.0019
shared,1,demo_locality,FIFO,LocalAllocation,4,6,1600,{'interleave': 'trace-order'},0.0016
shared_total,,trace-driven,FIFO,LocalAllocation,4,7,7300,{'interleave': 'trace-order'},0.0073
shared,0,demo_locality,FIFO,LocalAllocation,4,7,1800,{'interleave': 'trace-order'},0.0018
shared,1,demo_locality,FIFO,LocalAllocation,4,7,1400,{'interleave': 'trace-order'},0.0014
shared_total,,trace-driven,FIFO,LocalAllocation,4,8,6500,{'interleave': 'trace-order'},0.0065
shared,0,demo_locality,FIFO,LocalAllocation,4,8,1700,{'interleave': 'trace-order'},0.0017
shared,1,demo_locality,FIFO,LocalAllocation,4,8,1400,{'interleave': 'trace-order'},0.0014
shared_total,,trace-driven,FIFO,LocalAllocation,4,9,6900,{'interleave': 'trace-order'},0.0069
shared,0,demo_locality,FIFO,LocalAllocation,4,9,1800,{'interleave': 'trace-order'},0.0018
shared,1,demo_locality,FIFO,LocalAllocation,4,9,1600,{'interleave': 'trace-order'},0.0016
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,0,9100,{'interleave': 'trace-order'},0.0091
shared,0,demo_locality,FIFO,ProportionalAllocation,4,0,2000,{'interleave': 'trace-order'},0.002
shared,1,demo_locality,FIFO,ProportionalAllocation,4,0,1800,{'interleave': 'trace-order'},0.0018
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,1,7600,{'interleave': 'trace-order'},0.0076
shared,0,demo_locality,FIFO,ProportionalAllocation,4,1,1900,{'interleave': 'trace-order'},0.0019
shared,1,demo_locality,FIFO,ProportionalAllocation,4,1,1800,{'interleave': 'trace-order'},0.0018
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,2,7200,{'interleave': 'trace-order'},0.0072
shared,0,demo_locality,FIFO,ProportionalAllocation,4,2,1900,{'interleave': 'trace-order'},0.0019
shared,1,demo_locality,FIFO,ProportionalAllocation,4,2,1700,{'interleave': 'trace-order'},0.0017
