mode,process_id,workload_name,algorithm,allocation_policy,memory_frames,repetition_id,duration_ns,metadata,duration_ms
shared_total,,trace-driven,FIFO,GlobalAllocation,4,0,18700,{'interleave': 'trace-order'},0.0187
shared,0,sample_trace,FIFO,GlobalAllocation,4,0,3900,{'interleave': 'trace-order'},0.0039
shared,1,sample_trace,FIFO,GlobalAllocation,4,0,6000,{'interleave': 'trace-order'},0.006
shared_total,,trace-driven,FIFO,GlobalAllocation,4,1,11900,{'interleave': 'trace-order'},0.0119
shared,0,sample_trace,FIFO,GlobalAllocation,4,1,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,FIFO,GlobalAllocation,4,1,3800,{'interleave': 'trace-order'},0.0038
shared_total,,trace-driven,FIFO,LocalAllocation,4,0,11700,{'interleave': 'trace-order'},0.0117
shared,0,sample_trace,FIFO,LocalAllocation,4,0,2700,{'interleave': 'trace-order'},0.0027
shared,1,sample_trace,FIFO,LocalAllocation,4,0,3100,{'interleave': 'trace-order'},0.0031
shared_total,,trace-driven,FIFO,LocalAllocation,4,1,12200,{'interleave': 'trace-order'},0.0122
shared,0,sample_trace,FIFO,LocalAllocation,4,1,2500,{'interleave': 'trace-order'},0.0025
shared,1,sample_trace,FIFO,LocalAllocation,4,1,2700,{'interleave': 'trace-order'},0.0027
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,0,11100,{'interleave': 'trace-order'},0.0111
shared,0,sample_trace,FIFO,ProportionalAllocation,4,0,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,FIFO,ProportionalAllocation,4,0,2700,{'interleave': 'trace-order'},0.0027
shared_total,,trace-driven,FIFO,ProportionalAllocation,4,1,9600,{'interleave': 'trace-order'},0.0096
shared,0,sample_trace,FIFO,ProportionalAllocation,4,1,2800,{'interleave': 'trace-order'},0.0028
shared,1,sample_trace,FIFO,ProportionalAllocation,4,1,2700,{'interleave': 'trace-order'},0.0027
shared_total,,trace-driven,LRU,GlobalAllocation,4,0,18500,{'interleave': 'trace-order'},0.0185
shared,0,sample_trace,LRU,GlobalAllocation,4,0,4300,{'interleave': 'trace-order'},0.0043
shared,1,sample_trace,LRU,GlobalAllocation,4,0,7100,{'interleave': 'trace-order'},0.0071
shared_total,,trace-driven,LRU,GlobalAllocation,4,1,13400,{'interleave': 'trace-order'},0.0134
shared,0,sample_trace,LRU,GlobalAllocation,4,1,4000,{'interleave': 'trace-order'},0.004
shared,1,sample_trace,LRU,GlobalAllocation,4,1,4900,{'interleave': 'trace-order'},0.0049
shared_total,,trace-driven,LRU,LocalAllocation,4,0,12700,{'interleave': 'trace-order'},0.0127
shared,0,sample_trace,LRU,LocalAllocation,4,0,3700,{'interleave': 'trace-order'},0.0037
shared,1,sample_trace,LRU,LocalAllocation,4,0,3600,{'interleave': 'trace-order'},0.0036
shared_total,,trace-driven,LRU,LocalAllocation,4,1,10300,{'interleave': 'trace-order'},0.0103
shared,0,sample_trace,LRU,LocalAllocation,4,1,3200,{'interleave': 'trace-order'},0.0032
shared,1,sample_trace,LRU,LocalAllocation,4,1,3000,{'interleave': 'trace-order'},0.003
shared_total,,trace-driven,LRU,ProportionalAllocation,4,0,12500,{'interleave': 'trace-order'},0.0125
shared,0,sample_trace,LRU,ProportionalAllocation,4,0,3200,{'interleave': 'trace-order'},0.0032
shared,1,sample_trace,LRU,ProportionalAllocation,4,0,3300,{'interleave': 'trace-order'},0.0033
shared_total,,trace-driven,LRU,ProportionalAllocation,4,1,9800,{'interleave': 'trace-order'},0.0098
shared,0,sample_trace,LRU,ProportionalAllocation,4,1,2600,{'interleave': 'trace-order'},0.0026
shared,1,sample_trace,LRU,ProportionalAllocation,4,1,3100,{'interleave': 'trace-order'},0.0031
shared_total,,trace-driven,NRU,GlobalAllocation,4,0,18500,{'interleave': 'trace-order'},0.0185
shared,0,sample_trace,NRU,GlobalAllocation,4,0,4500,{'interleave': 'trace-order'},0.0045
shared,1,sample_trace,NRU,GlobalAllocation,4,0,7300,{'interleave': 'trace-order'},0.0073
shared_total,,trace-driven,NRU,GlobalAllocation,4,1,15800,{'interleave': 'trace-order'},0.0158
shared,0,sample_trace,NRU,GlobalAllocation,4,1,4500,{'interleave': 'trace-order'},0.0045
shared,1,sample_trace,NRU,GlobalAllocation,4,1,6300,{'interleave': 'trace-order'},0.0063
shared_total,,trace-driven,NRU,LocalAllocation,4,0,15900,{'interleave': 'trace-order'},0.0159
shared,0,sample_trace,NRU,LocalAllocation,4,0,3500,{'interleave': 'trace-order'},0.0035
shared,1,sample_trace,NRU,LocalAllocation,4,0,4700,{'interleave': 'trace-order'},0.0047
shared_total,,trace-driven,NRU,LocalAllocation,4,1,13000,{'interleave': 'trace-order'},0.013
shared,0,sample_trace,NRU,LocalAllocation,4,1,3600,{'interleave': 'trace-order'},0.0036
shared,1,sample_trace,NRU,LocalAllocation,4,1,4300,{'interleave': 'trace-order'},0.0043
shared_total,,trace-driven,NRU,ProportionalAllocation,4,0,13200,{'interleave': 'trace-order'},0.0132
shared,0,sample_trace,NRU,ProportionalAllocation,4,0,3100,{'interleave': 'trace-order'},0.0031
shared,1,sample_trace,NRU,ProportionalAllocation,4,0,4400,{'interleave': 'trace-order'},0.0044
shared_total,,trace-driven,NRU,ProportionalAllocation,4,1,10200,{'interleave': 'trace-order'},0.0102
shared,0,sample_trace,NRU,ProportionalAllocation,4,1,2600,{'interleave': 'trace-order'},0.0026
shared,1,sample_trace,NRU,ProportionalAllocation,4,1,3700,{'interleave': 'trace-order'},0.0037
shared_total,,trace-driven,SecondChance,GlobalAllocation,4,0,29800,{'interleave': 'trace-order'},0.0298
shared,0,sample_trace,SecondChance,GlobalAllocation,4,0,7200,{'interleave': 'trace-order'},0.0072
shared,1,sample_trace,SecondChance,GlobalAllocation,4,0,11800,{'interleave': 'trace-order'},0.0118
shared_total,,trace-driven,SecondChance,GlobalAllocation,4,1,24200,{'interleave': 'trace-order'},0.0242
shared,0,sample_trace,SecondChance,GlobalAllocation,4,1,6500,{'interleave': 'trace-order'},0.0065
shared,1,sample_trace,SecondChance,GlobalAllocation,4,1,9300,{'interleave': 'trace-order'},0.0093
shared_total,,trace-driven,SecondChance,LocalAllocation,4,0,36600,{'interleave': 'trace-order'},0.0366
shared,0,sample_trace,SecondChance,LocalAllocation,4,0,6000,{'interleave': 'trace-order'},0.006
shared,1,sample_trace,SecondChance,LocalAllocation,4,0,20700,{'interleave': 'trace-order'},0.0207
shared_total,,trace-driven,SecondChance,LocalAllocation,4,1,19100,{'interleave': 'trace-order'},0.0191
shared,0,sample_trace,SecondChance,LocalAllocation,4,1,4600,{'interleave': 'trace-order'},0.0046
shared,1,sample_trace,SecondChance,LocalAllocation,4,1,5700,{'interleave': 'trace-order'},0.0057
