# Report trace: mixed/heterogeneous replay built from the mixed workload archetype with locality, stream, and loop phases.
# Canonical columns: timestamp,process_id,address,is_write
timestamp,process_id,address,is_write
0,0,0x00000000,0
1,1,0x00008000,0
2,2,0x00012000,1
3,0,0x00000010,1
4,1,0x00009000,0
5,2,0x00013000,0
6,0,0x00001000,0
7,1,0x0000A000,0
8,2,0x00012010,0
9,0,0x00000020,0
10,1,0x0000B000,1
11,2,0x00014000,0
12,0,0x00000000,1
13,1,0x0000C000,0
14,2,0x00012008,1
15,0,0x00000030,0
16,1,0x0000D000,0
17,2,0x00013008,0
