# Report trace: pressure/thrashing-heavy replay built from the thrashing archetype and trimmed to two 5-page cycles per process.
# Canonical columns: timestamp,process_id,address,is_write
timestamp,process_id,address,is_write
0,0,0x00000000,0
1,1,0x00008000,0
2,0,0x00001000,0
3,1,0x00009000,0
4,0,0x00002000,1
5,1,0x0000A000,0
6,0,0x00003000,0
7,1,0x0000B000,1
8,0,0x00004000,0
9,1,0x0000C000,0
10,0,0x00000010,0
11,1,0x00008010,0
12,0,0x00001010,1
13,1,0x00009010,0
14,0,0x00002010,0
15,1,0x0000A010,1
16,0,0x00003010,0
17,1,0x0000B010,0
18,0,0x00004010,1
19,1,0x0000C010,0
